,processo,objeto,decisao,texto
0,092.005049/2018,nan, por razoes administrativas," PUBLICA NACIONAL - LPN 019/2018
1. A Caesb, no ambito de seu Programa de Saneamento Ambiental, financiado pelo Banco Interamericano
de Desenvolvimento - BID, torna publica a revogacao da Licitacao Publica Nacional LPN 019/2018, para
a execucao das obras de implantacao do Subsistema Gama - Melhorias nas Captacoes dos Corregos
Crispim 1 e 2, Olho D`Agua, Ponte de Terra 2 e 3 e Alagado, do Distrito Federal e recuperacao e
revitalizacao dos Reservatorios Rap Brasilia (RAP.PPL.002), Rap Brazlandia (RAP.BRZ.001), Rap Gama
01 (RAP.GAM.001), Rap Santa Maria (RAP.STM.001) e REQ Gama (REQ.GAM.001). Processo no
092.005049/2018. Foi revogada por razoes administrativas. 2. Mais informacoes poderao ser obtidas no
site www.caesb.df.gov.br e telefone (61) 3213-7122"
1,092.001172/2019," Contratacao
de servico de operacao, conservacao e manutencao da Rede Hidrometeorologica e Piezometrica da Caesb,
no ambito de sua area de atuacao, no Distrito Federal e Entorno"," por razoes
administrativas"," PUBLICA NACIONAL - LPN 022/2018
1. A Caesb, no ambito de seu Programa de Saneamento Ambiental, financiado pelo Banco Interamericano
de Desenvolvimento - BID, torna publica a revogacao da Licitacao Publica Nacional LPN 022/2018, para
a execucao das obras de setorizacao e adequacao de redes nas localidades de Sobradinho I e Sobradinho
II (Lote 1) e Itapoa e Paranoa (Lote 2). Processo no 092.006322/2018. Foi revogada por razoes
administrativas. 2. Mais informacoes poderao ser obtidas no site www.caesb.df.gov.bre telefone (61) 3213-
7122
MAURICIO KENJI SUEMORI
Presidente da Comissao
AVISO DE LICITACAO
LICITACAO FECHADA LF no 004/2019-Caesb, PROCESSO no 092.001172/2019, OBJETO: Contratacao
de servico de operacao, conservacao e manutencao da Rede Hidrometeorologica e Piezometrica da Caesb,
no ambito de sua area de atuacao, no Distrito Federal e Entorno. CRITERIO DE JULGAMENTO: Maior
Desconto. ABERTURA DA LICITACAO: 21/05/2019 as 09:00 horas. VALOR ESTIMADO: R$
1.872.442,11.  DOTACAO ORCAMENTARIA:  UO: 22.202;  PROGRAMA DE  TRABALHO:
Projeto/Subtitulo 17.122.60018517/6977, NATUREZA DA DESPESA: 33.90.39, Codigo de Aplicacao
12.103.110.300-6. FONTE DE RECURSO: Recursos Proprios, Codigo 11.101.000.00-3. PRAZO DE
VIGENCIA: 365 dias consecutivos. A partir do dia 29/04/2019, o edital e seus anexos poderao ser
encontrados no site www.caesb.df.gov.br - menu Licitacoes, em atendimento a Lei Distrital no 5.453/2015"
2,nan,nan,nan,"
PREGAO ELETRONICO No 001-S001079/2018
A CEB Distribuicao S.A., por meio da Comissao Permanente de Licitacao - CPL, localizada no Setor
de Areas Publicas, Lote C, Bloco H, SIA - Brasilia-DF, torna publico que, em cumprimento a
Resolucao da Diretoria no 025, de 08.03.2019, fica revogada a licitacao em epigrafe, relativa a
No 63, quarta-feira, 3 de abril de 2019
PAGINA 53
Diario Oficial do Distrito Federal
Este documento pode ser verificado no endereco eletronico h t t p : / / w w w. i n . g o v. b r / a u t e n t i c i d a d e . h t m l
pelo codigo 50012019040300053
Documento assinado digitalmente conforme MP no 2.200-2 de 24/08/2001, que institui a
Infraestrutura de Chaves Publicas Brasileira - ICP-Brasil"
3,nan,"s:
Contratacao de uma empresa de Engenharia/Arquitetura especializada em elaboracao de projetos
referente: Arquitetura, Estrutura Metalica, Fundacoes, Drenagem Pluvial, Instalacoes Eletricas e SPDA,
Combate a Incendio e Elaboracao de Orcamento",nan,"
A Centrais de Abastecimento do Distrito Federal S.A torna publico, que seguindo o interesse publico
e por determinacao do Ordenador de Despesas revogou o Pregao Eletronico no 26/2018 objetos:
Contratacao de uma empresa de Engenharia/Arquitetura especializada em elaboracao de projetos
referente: Arquitetura, Estrutura Metalica, Fundacoes, Drenagem Pluvial, Instalacoes Eletricas e SPDA,
Combate a Incendio e Elaboracao de Orcamento. Sendo projetos basico e executivo, com a finalidade
de construir novas coberturas dos pavilhoes desta Ceasa/DF"
4,092.005939/2018,nan, por razoes administrativas," PUBLICA NACIONAL 20/2018
A Caesb, no ambito de seu Programa de Saneamento Ambiental, financiado pelo Banco Interamericano de
Desenvolvimento - BID, torna publica a revogacao da Licitacao Publica Nacional LPN 020/2018, para a
execucao das obras de setorizacao e adequacao de redes nas localidades da Asa Sul e Cruzeiro (Lote 1), Asa
Norte (Lote 2) e Jardim Botanico, inclusive o fornecimento e instalacao do novo Booster (Lote 3). Processo no
092.005939/2018. Foi revogada por razoes administrativas. 2. Mais informacoes poderao ser obtidas no site
www.caesb.df.gov.br e telefone (61) 3213-7122"
5,092.000196/2019,nan, por razoes administrativas," PUBLICA NACIONAL - LPN 03/2019
A Caesb, no ambito de seu Programa de Saneamento Ambiental, financiado pelo Banco Interamericano de
Desenvolvimento - BID, torna publica a revogacao da Licitacao Publica Nacional LPN 003/2019, para a
execucao das obras de setorizacao, adequacao e substituicao de redes nas localidades do Guara, Vicente Pires,
Nucleo Bandeirante e Metropolitana. Processo no 092.000196/2019. Foi revogada por razoes administrativas. 2"
6,092.000436/2019,nan, por razoes administrativas," PUBLICA NACIONAL - LPN 04/2019
A Caesb, no ambito de seu Programa de Saneamento Ambiental, financiado pelo Banco Interamericano de
Desenvolvimento - BID, torna publica a revogacao da Licitacao Publica Nacional LPN 004/2019 para
setorizacao, adequacao e substituicao de redes nas localidades do Gama, Recanto das Emas, Samambaia e Santa
Maria. Processo no 092.000436/2019. Foi revogada por razoes administrativas. 2. Mais informacoes poderao ser
obtidas no site www.caesb.df.gov.br e telefone (61) 3213-7122"
7,nan," Contratacao empresa especializada para prestacao de servicos
graficos - incluindo material e mao de obra necessaria para a execucao e acabamento dos servicos
graficos, sob demanda, necessarios a realizacao da eleicao dos Conselheiros Tutelares do Distrito
Federal para o Quadrienio 2020/2023, conforme condicoes e exigencias estabelecidas no Projeto
Basico constante do Anexo I do Edital",nan,"
PREGAO ELETRONICO PE No 2/2019 (UASG: 927507)
A Secretaria de Estado de Justica e Cidadania do Distrito Federal, torna publico que, seguindo o
interesse publico e com suporte na Manifestacao 233 da AJL, documento SEI no 26459672, revoga
o Pregao Eletronico no 02/2019 objeto: Contratacao empresa especializada para prestacao de servicos
graficos - incluindo material e mao de obra necessaria para a execucao e acabamento dos servicos
graficos, sob demanda, necessarios a realizacao da eleicao dos Conselheiros Tutelares do Distrito
Federal para o Quadrienio 2020/2023, conforme condicoes e exigencias estabelecidas no Projeto
Basico constante do Anexo I do Edital. Processo SEI no 00400-00023725/2019-17, Informacoes pelo
telefone: (61) 3213-0712"
8,nan,nan,nan,"
LICITACAO CEB-D No 1-P00944/2018
A CEB Distribuicao S.A., por meio da Comissao Permanente de Licitacao - CPL, localizada no SIA Setor
de Areas Publicas, Lote C, Bloco H, CEB - Brasilia-DF, torna publico que fica revogada a licitacao em
epigrafe, relativa a contratacao de solucao de Data Center modular outdoor, incluindo implantacao e
integracao com a rede logica existente. Demais informacoes, no horario das 8h as 12h e das 14h as 17h
ou por meio dos telefones: 3465-9012/9297"
9,092.002144/2015,nan,nan,"
A Caesb torna publico que a Concorrencia CP 003/2015-Caesb, processo no 092.002144/2015, para
execucao das obras/servicos de implantacao da 1a Etapa do Sistema Produtor de Agua Paranoa - Grupo I
- obras civis e equipamentos em Brasilia/DF, incluindo as unidades de producao de agua: Captacao,
Estacao Elevatoria de Agua Bruta EEAB, Adutora de Agua Bruta AD 05, Estacao de Tratamento de Agua
ETA Paranoa, Reservatorio Pulmao e Estacoes Elevatorias de EAT06 e EAT07, incluindo ainda a
elaboracao dos projetos executivos, na forma de execucao indireta, sob regime de empreitada parte por
preco unitario parte por preco global, foi revogada por conveniencia administrativa"
