,processo,tipo,objeto,CNPJ,valor,valor_total,modo_disputa,texto
0,00097-00003259/2018-27, Menor Preco,nan,08.012.469/0001-52,"121.500,00",nan,nan,"
PREGAO ELETRONICO No 21/2018-METRO-DF,
OCORRIDA NA 1201a REUNIAO ORDINARIA, OCORRIDA EM 27/09/2018
Processo: 00097-00003259/2018-27 METRO-DF. Tipo: Menor Preco. A Companhia do
Metropolitano do DF informa a Adjudicacao pelo Pregoeiro, a empresa EUROS TEC COMERCIO
DE MAQUINAS E ACESSORIOS LTDA. (CNPJ no. 08.012.469/0001-52), no valor total de
R$121.500,00 (cento e vinte e um mil e quinhentos reais), visando a aquisicao de 01 (um) touro
mecanico industrial e seus acessorios para o METRO-DF, e a consequente HOMOLOGACAO do
certame acima mencionado, com fulcro no art. 6, IV, do Decreto Distrital no. 23.460/2002 c/c art"
1,nan, Menor Preco,nan,92.863.505/0001-06,"210.540,00",nan,nan,"
PREGAO ELETRONICO No 23/2018-METRO-DF, OCORRIDA NA 94a
REUNIAO EXTRAORDINARIA, OCORRIDA EM 09/10/2018
Processo: 00097-00009132/2018 METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano
do DF informa a Adjudicacao pelo Pregoeiro, a empresa UNIMED SEGURADORA S/A. (CNPJ
no. 92.863.505/0001-06), no valor total de R$210.540,00 (duzentos e dez mil e quarenta reais),
visando a contratacao da prestacao de servicos de seguro de vida em grupo para os empregados
da Companhia, e a consequente HOMOLOGACAO do certame acima mencionado, com fulcro no
art. 6, IV, do Decreto Distrital no. 23.460/2002 c/c art. 18, XI do Estatuto Social da Companhia,
ficando as demais condicoes reguladas pelo Termo de Referencia e Edital, correlatos, bem assim
na proposta das empresas vencedoras do certame licitatorio. Os Termos de Adjudicacao e
Homologacao encontram-se no sitio www.comprasgovernamentais.gov.br e ww w. m e t r o . d f . g o v. b r"
2,nan, Menor Preco,nan,51.832.889/0001-57,"200.100,00",nan,nan,"
PREGAO ELETRONICO No 17/2018-METRO-DF,
OCORRIDA NA 1205a REUNIAO ORDINARIA, REALIZADA EM 25/10/2018
Processo: 0097-000448/2017 METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano do
DF informa a Adjudicacao pelo Pregoeiro, a empresa VOESTALPINE VAE BRASIL PR O D U TO S
FERROVIARIOS LTDA. (CNPJ no. 51.832.889/0001-57), no valor total de R$200.100,00
(duzentos mil e cem reais), visando a aquisicao de componentes sobressalentes para aparelhos de
mudanca de vias, padrao Arema, para a Via Permanente do METRO-DF, e a consequente
HOMOLOGACAO do certame acima mencionado, com fulcro no art. 6, IV, do Decreto Distrital
no. 23.460/2002 c/c art. 18, XI do Estatuto Social da Companhia, ficando as demais condicoes
reguladas pelo Termo de Referencia e Edital, correlatos, bem assim na proposta das empresas
vencedoras do certame licitatorio. Os Termos de Adjudicacao e Homologacao encontram-se no
sitio www.comprasgovernamentais.gov.br e www.metro.df.gov.br"
3,00097-00001909/2018-08, Menor Preco,nan,72.649.361/0001-74,"42.023,90",nan,nan,"
PREGAO ELETRONICO No 27/2018-METRO-DF,
OCORRIDA NA 1205a REUNIAO ORDINARIA, REALIZADA EM 25/10/2018
Processo: 00097-00001909/2018-08 METRO-DF. Tipo: Menor Preco. A Companhia do
Metropolitano do DF informa a Adjudicacao pelo Pregoeiro, a empresa HBL CARIMBOS E
PLACAS INDUSTRIA E COMERCIO LTDA. (CNPJ no. 72.649.361/0001-74), no valor total de
R$42.023,90 (quarenta e dois mil vinte e tres reais e noventa centavos), visando a contratacao da
prestacao de servicos de fornecimento e instalacao de mapas tateis em 15 Estacoes da Linha 1
do METRO-DF, e a consequente HOMOLOGACAO do certame acima mencionado, com fulcro no
art. 6, IV, do Decreto Distrital no. 23.460/2002 c/c art. 18, XI do Estatuto Social da Companhia,
ficando as demais condicoes reguladas pelo Termo de Referencia e Edital, correlatos, bem assim
na proposta das empresas vencedoras do certame licitatorio. Os Termos de Adjudicacao e
Homologacao encontram-se no sitio www.comprasgovernamentais.gov.br e ww w. m e t r o . d f . g o v. b r"
4,00097-00006864/2018-50, Menor Preco,nan,10.336.598/0001-48,"7.468,47",nan,nan,"
PREGAO ELETRONICO No 24/2018-METRO-DF,
OCORRIDA NA 1205a REUNIAO ORDINARIA, DE 25/10/2018
Processo: 00097-00006864/2018-50 METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano
do DF informa a Adjudicacao pelo Pregoeiro, as empresas JB COMERCIO ATACADISTA DE
ARTIGOS DE PAPELARIA LTDA., CNPJ n.o 26.536.069/0001-28, vencedora do Grupo 2 e do Grupo
3, no valor total de R$7.468,47 (sete mil quatrocentos e sessenta e oito reais quarenta e sete
centavos); RT COMERCIO E SERVICO EIRELI-ME, CNPJ no. 10.336.598/0001-48, vencedora do
Grupo 4, pelo valor total de R$4.379,89 (quatro mil trezentos e setenta e nove reais e oitenta e nove
centavos); GRAFIA ARTES GRAFICAS PAPELARIA E INFORMATICA LTDA/ME, CNPJ no"
5,nan, Menor Preco,nan,27.384.730/0001-90,nan,nan,nan,"
PREGAO ELETRONICO No 26/2018-METRO-DF,
OCORRIDA NA 1205a REUNIAO ORDINARIA, DE 25/10/2018
Processo: 0097-000331/2017 METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano do DF
informa a Adjudicacao pelo Pregoeiro, as empresas CIDADE VERDE MOVEIS E EQUI PA M E N TO S
EIRELI, CNPJ no. 04.194.679/0001-58, vencedora do Item 1, pelo valor de R$18.889,99 (dezoito mil
oitocentos e oitenta e nove reais e noventa e nove centavos). Sobre o valor arrematado houve
incidencia de 6% (seis por cento) referente ao diferencial de ICMS, visto que a empresa possui
domicilio fiscal fora do DF, restando a contratacao o custo final de R$20.023,39 (vinte mil vinte e
tres reais e trinta e nove centavos), e IM DA SILVA, CNPJ no. 27.384.730/0001-90, vencedora do
Item 2, pelo valor total de R$22.900,00 (vinte e dois mil e novecentos reais), visando a aquisicao de
armarios de aco para guarda de coletes balisticos de propriedade do METRO-DF, e a consequente
HOMOLOGACAO do certame acima mencionado, com fulcro no art. 6, IV, do Decreto Distrital no"
6,nan, Menor Preco,nan,28.787.582/0001-17,nan,nan,nan,"
PREGAO ELETRONICO No 28/2018-METRO-DF,
OCORRIDA NA 1205a REUNIAO ORDINARIA, DE 25/10/2018
Processo no. 0097-000828/2017 METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano do DF
informa a Adjudicacao pelo Pregoeiro, a empresa AEF ENGENHARIA E CONSTRUCAO LTDA. - ME,
CNPJ no. 28.787.582/0001-17, vencedora do certame acima, pelo valor de R$51.300,00 (cinquenta e um
mil e trezentos reais), visando a contratacao da prestacao de servicos para a realizacao de obras de
acessibilidade no acesso ao lote e as edificacoes do CAO - Complexo Administrativo e Operacional do
METRO-DF (Etapa I), e a consequente HOMOLOGACAO do pregao acima mencionado, com fulcro no
art. 6, IV, do Decreto Distrital no. 23.460/2002 c/c art. 18, XI do Estatuto Social da Companhia, ficando as
demais condicoes reguladas pelo Termo de Referencia e Edital, correlatos, bem assim na proposta das
empresas vencedoras do certame licitatorio. Os Termos de Adjudicacao e Homologacao encontram-se no
sitio www.comprasgovernamentais.gov.br e www.metro.df.gov.br"
7,00097-00002144/2018-15, Menor Preco,nan,26.517.495/0001-14,nan,nan,nan,"
PREGAO ELETRONICO No 25/2018-METRO-DF,
OCORRIDA NA 96a REUNIAO EXTRAORDINARIA, REALIZADA EM 29/10/2018
Processo: 00097-00002144/2018-15 METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano do
DF informa a Adjudicacao pelo Pregoeiro, as empresas ALTIUS SERVICOS E PRODUTOS LTDA. -
CNPJ no. 22.609.001/0001-70, Grupo 1, pelo valor de R$6.689,00 (seis mil seiscentos e oitenta e nove
reais)e Item 1, pelo valor de R$6.579,00 (seis mil quinhentos e setenta e nove reais); VIDENTE
CONSTRUCOES E COMERCIO LTDA. - CNPJ no. 26.517.495/0001-14, Grupo 2, pelo valor de
R$1.528,46 (um mil quinhentos e vinte e oito reais e quarenta e seis centavos), equalizado ao valor de
R$1.620,17 (hum mil seiscentos e vinte reais e dezessete centavos) e Item 2, pelo valor de R$5.298,40
(cinco mil duzentos e noventa e oito reais e quarenta centavos), equalizado ao valor de R$5.616,30 (cinco
mil seiscentos e dezesseis reais e trinta centavos), visando a aquisicao de eletrodomesticos e aparelhos
telefonicos para o METRO-DF, e a consequente HOMOLOGACAO do certame acima mencionado, com
fulcro no art. 6, IV, do Decreto Distrital no. 23.460/2002 c/c art. 18, XI do Estatuto Social da Companhia,
ficando as demais condicoes reguladas pelo Termo de Referencia e Edital, correlatos, bem assim na
proposta das empresas vencedoras do certame licitatorio. Os Termos de Adjudicacao e Homologacao
encontram-se no sitio www.comprasgovernamentais.gov.br e www.metro.df. g o v. b r"
8,00097-00005775/2018-41, Menor Preco,nan,10.965.978/0001-41,nan,nan,nan,"
PREGAO ELETRONICO No 29/2018-METRO-DF,
OCORRIDA NA 96a REUNIAO EXTRAORDINARIA, DE 29/10/2018
Processo: 00097-00005775/2018-41 METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano
do DF informa a Adjudicacao pelo Pregoeiro, a empresa A.S.R. COMERCIO E PRESTADORA DE
SERVICOS DE ENGENHARIA LTDA. - ME, CNPJ no. 10.965.978/0001-41, vencedora do pregao
mencionado acima, pelo valor global de R$776.658,74 (setecentos e setenta e seis mil e seiscentos e
cinquenta e oito reais e setenta e quatro centavos), para contratacao de servicos de fornecimento e
instalacao de elevadores nas Estacoes 106 Sul e 110 Sul da Linha 1 do METRO-DF, e a consequente
HOMOLOGACAO do prefalado certame, com fulcro no art. 6, IV, do Decreto Distrital no"
9,nan, Menor Preco,nan,04.242.521/0001-20,nan,nan,nan,"
PREGAO ELETRONICO No 19/2018-METRO-DF,
OCORRIDA NA 1209a REUNIAO ORDINARIA, REALIZADA EM 23/11/2018
Processo: 0097-000329/2017-METRO-DF. Tipo: Menor Preco. A Companhia do Metropolitano do DF
informa a Adjudicacao pelo Pregoeiro, a empresa WS INTERCOM SISTEMAS DE SEGURANCA
ELETRONICO LTDA. EPP, CNPJ no. 04.242.521/0001-20, vencedora do pregao descrito acima, para
regular aquisicao de 101 (cento e um) intercomunicadores para as
Bilheterias das Estacoes
Operacionais do METRO-DF, pelo valor total de R$93.930,00 (noventa e tres mil, novecentos e trinta
reais), e a consequente HOMOLOGACAO do certame, com fulcro no art. 6, IV, do Decreto Distrital
no. 23.460/2002 c/c art. 18, XI do Estatuto Social da Companhia, ficando as demais condicoes
reguladas pelo Termo de Referencia, Edital e na proposta da empresa vencedora do certame. Os
Termos de Adjudicacao e Homologacao encontram-se no sitio www.comprasgovernamentais.gov.br e
w w w. m e t r o . d f . g o v. b r"
