,processo,CNPJ,empresa,valor,texto
0,00112-00019341/2019-37,nan," GW CONSTRUCOES E INCORPORACOES LTDA, com o valor total de R$
7.850.000,00, na forma do Instrumento Convocatorio, ficando aberto o prazo de recursos. Processo no
00112","7.850.000,00","
Comunicamos aos interessados no Procedimento Licitatorio no 004/2019 - ASCAL/PRES, que apos a
realizacao do certame e verificado o atendimento das exigencias do Edital, fica declarada vencedora do
certame a empresa GW CONSTRUCOES E INCORPORACOES LTDA, com o valor total de R$
7.850.000,00, na forma do Instrumento Convocatorio, ficando aberto o prazo de recursos. Processo no
00112-00019341/2019-37.  Contatos:  (061)  3403-2321  ou  (061)  3403-  2322  e  email
a s c a l @ n o v a c a p . d f . g o v. b r"
1,nan,nan,nan,"868.218,66","
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 008/2019 - ASCAL/PRES,
que apos a realizacao do certame e verificada a aceitabilidade da documentacao e proposta de precos,
na forma do Instrumento Convocatorio, fica declarada vencedora do certame a empresa OLIMPIO
CONSTRUCOES EIRELI, com o valor total de R$ 868.218,66, ficando aberto o prazo recursal"
2,00112-00016896/2019-27,nan, ConcrEpoxi ,"468.378,54","
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 011/2019 - ASCAL/PRES, que
apos a realizacao do certame e verificada a aceitabilidade da documentacao e proposta de precos, na forma
do Instrumento Convocatorio, ficam declaradas vencedoras do certame as empresas: WM Paisagismo,
Urbanismo e Comercio Eireli - ME - Lotes: 01 - R$ 317.721,36; 03 - R$ 219.673,08 e 05 - R$ 367.538,21
e Via Verde Projetos e Servicos Ambientais Eireli - Lotes: 02 - R$ 290.999,00 e 04 - R$ 413.000,00. Fica
aberto o prazo recursal. Processo: 00112-00024219/2019-82. Contatos: (061) 3403-2321 ou (061) 3403-
2322 e email ascal@novacap.df.gov.br. Comunicamos aos interessados no Procedimento Licitatorio
Eletronico no 013/2019 - ASCAL/PRES, que apos a realizacao do certame e verificada a aceitabilidade da
documentacao e proposta de precos, na forma do Instrumento Convocatorio, fica declarada vencedora do
certame a empresa ConcrEpoxi - Engenharia Ltda, com o valor total de R$ 468.378,54. Fica aberto o prazo
recursal. Processo: 00112-00016896/2019-27. Contatos: (061) 3403-2321 ou (061) 3403- 2322 e email
a s c a l @ n o v a c a p . d f . g o v. b r"
3,nan,02.237.437/0001-79, Infra Engeth ,"1.590.739,82","
Comunicamos aos interessados no Procedimento Licitatorio no 005/2019 - ASCAL/PRES, que apos a
realizacao do certame e verificada a aceitabilidade da proposta de precos e documentacao, na forma
do Instrumento Convocatorio, foi declarada vencedora do certame a empresa: Infra Engeth - Infra-
Estrutura, Construcao e Comercio Ltda - CNPJ 02.237.437/0001-79, com o valor total de R$
1.590.739,82. Fica aberto o prazo para apresentacoes de recursos. Processo no 00112-00016080/2019-
01. Contatos: (061) 3403-2321 ou (061) 3403- 2322 e email ascal@novacap.df. g o v. b r"
4,00112-00024192/2019-28,25.451.351/0001-40," GALAXI ENGENHARIA
EIRELI ","3.200.000,00","
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 016/2019 - ASCAL/PRES, que
apos finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na forma do
Instrumento Convocatorio, foi declarada vencedora do Lote 10 a empresa GALAXI ENGENHARIA
EIRELI - CNPJ 25.451.351/0001-40, com o valor total de R$ 3.200.000,00. Fica aberto o prazo para
apresentacoes de recursos. Processo no 00112-00024192/2019-28. Contatos: (061) 3403-2321 ou (061)
3403- 2322 e email ascal@novacap.df.gov.br"
5,00110-00001761/2018-32,18.695.016/0001-21," CONSTRUTORA PREMIUM E
SERVICOS GERAIS LTDA ","90.297,58","
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 019/2019 - ASCAL/PRES, que
apos finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na forma do
Instrumento Convocatorio, foi declarada vencedora do certame a empresa CONSTRUTORA PREMIUM E
SERVICOS GERAIS LTDA - CNPJ 18.695.016/0001-21, com o valor total de R$ 90.297,58. Fica aberto
o prazo para apresentacoes de recursos. Processo: 00110-00001761/2018-32. Contatos: (061) 3403-2321 ou
(061) 3403- 2322 e email ascal@novacap.df.gov.br"
6,00300-00001751/2019-22,01.251.610/0001-20," LA DART
INDUSTRIA E COMERCIO EIRELI ","353.830,00","
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 020/2019 - ASCAL/PRES,
que apos finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na
forma do Instrumento Convocatorio, foi declarada vencedora do certame a empresa LA DART
INDUSTRIA E COMERCIO EIRELI - EPP - CNPJ 01.251.610/0001-20, com o valor total de R$
353.830,00. Fica aberto o prazo para apresentacao de recurso. Processo no 00300-00001751/2019-22"
7,nan,06.224.599/0001-23, C.Q.O. ,"3.106.000,00","
Comunicamos aos interessados no Procedimento Licitatorio Eletronico no 17/2019 - ASCAL/PRES, que
apos finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na forma do
Instrumento Convocatorio, foi declarada vencedora do certame a empresa C.Q.O. - CONSTRUTORA
QUEIROZ OLIVEIRA - CNPJ 06.224.599/0001-23, com o valor total de R$ 3.106.000,00. Fica aberto o
prazo para apresentacao de recurso. Processo: 0112-003718/2017. Contatos: (061) 3403-2321 ou (061)
3403- 2322 e email: ascal@novacap.df.gov.br"
8,nan,00.070.698/0001-11," CONSTRUTORA PREMIUM E SERVICOS
GERAIS LTDA ","468.116,00"," publicado no DODF no 5, de 08 de janeiro de 2020,
pagina 45, que declarou vencedora do certame a empresa CONSTRUTORA PREMIUM E SERVICOS
GERAIS LTDA - CPNJ 18.695.016/0001-21, com o valor total de R$ 468.116,00, fica o mesmo sem
efeito. Contatos: (061) 3403-2321 ou (061) 3403- 2322 e email ascal@novacap . d f . g o v. b r
Brasilia/DF, 16 de janeiro de 2020
DELCIMAR PIRES MARTINS
Chefe
COMPANHIA ENERGETICA DE BRASILIA
EXTRATO DE CONTRATO
Especie: Aquisicao de luminarias de tecnologia LED para eficientizacao da Iluminacao Publica em
diversas localidades do Distrito Federal // Contrato no 002/2020-CJU/CEB // Processo no 00093-
00000228/2019-16. Contratada:  GLOBAL Iluminacao LTDA  EPP, inscrita sob  o CNPJ
03.204.444/0001-37. Contratante: Companhia Energetica de Brasilia - CEB, inscrita sob o CNPJ
00.070.698/0001-11. Do objeto: Aquisicao de Luminarias para Iluminacao Publica a LED, potencia de
120 Watts (1.744 unidades), de 80 Watts (1.230 unidades), e de 60 Watts (073 unidades). Do valor:
R$ 1.378.691,00 (um milhao, trezentos e setenta e oito mil, e seiscentos e noventa e um reais). Do
prazo de vigencia: o prazo de vigencia do contrato sera de 12 (doze) meses, contados da data de
publicacao do instrumento contratual na imprensa oficial. Da assinatura do contrato: 13 de janeiro de
2020. Pela CEB: Fabiano Cardoso Pinto - Diretor Tecnico e Edison Antonio Costa Britto Garcia -
Diretor-Presidente. Pela Contratada: Janaina Andreeta Munhoz Velasquez"
9,nan,nan, ANGLOS CONSTRUCOES LTDA,"1.590.020,38","
Comunicamos aos interessados no Procedimento Licitatorio Presencial no 005/2019 - ASCAL/PRES, que apos
finalizado o exame e verificada a aceitabilidade da proposta de precos e documentacao, na forma do
Instrumento Convocatorio e com base no estabelecido na Lei Complementar no 123/2006, os beneficios ali
estabelecidos por tratar-se de empresa de pequeno porte, foi declarada nova vencedora do certame e adjudicado
o objeto da licitacao, em favor da empresa ANGLOS CONSTRUCOES LTDA-EPP - CNPJ 37.068.772/0001-
75, com o valor total de R$ 1.590.020,38. Fica aberto o prazo para apresentacao de recurso. Processo no 00112-
00016080/2019-01. Contatos: (061) 3403-2321 ou (061) 3403- 2322 e email asc a l @ n o v a c a p . d f . g o v. b r"
