,UASG,objeto,empresa,CNPJ,valor,texto
0,974200," e o registro de precos
para aquisicao de materiais em aco para adutoras e redes de agua (arruela, barra, flange, junta, niple,
parafuso e porca), da forma que se segue: Empresa KLM COMERCO SERVICOS E MANUTENCAO
- EIRELI, CNPJ: 19"," KLM COMERCO SERVICOS E MANUTENCAO
- EIRELI",78.334.307/0001-16,"60.917,66","
PREGAO ELETRONICO PE No 008/2019
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o registro de precos
para aquisicao de materiais em aco para adutoras e redes de agua (arruela, barra, flange, junta, niple,
parafuso e porca), da forma que se segue: Empresa KLM COMERCO SERVICOS E MANUTENCAO
- EIRELI, CNPJ: 19.879.315/0001-89, vencedora dos itens 1, 2, 7, 8, 9, 10, 11, 12, 13, 14, 22, 23, 27,
28, 29, 30, 31, 32, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51 e 52 com o valor total de R$ 60.917,66;
Empresa NOVA ATACADISTA PARA CONSTRUCAO LTDA, CNPJ: 26.392.294/0001-38, vencedora
dos itens 3, 4, 5, 6, 15, 16, 17, 18, 19 e 20 com o valor total de R$ 87.120,89; e Empresa VISUAL
REPRESENTACOES COMERCIAIS LTDA, CNPJ: 78.334.307/0001-16, vencedora dos itens 21, 24, 25,
26, 35, 36, 37 e 38 com o valor total de R$ 193.604,60. Os itens 33, 34, 39, 40, 53, 54, 55, 56, 57
e 58 restaram fracassados"
1,974200," e o Registro de precos para
aquisicao de elementos filtrantes e consumiveis para purificadores de agua para laboratorio (cartucho, filtro,
modulo, pastilha e outros), da forma que se segue: Empresa OMEGA 3 SUPRIMENTOS PARA
LABORATORIOS LTDA, CNPJ:07"," OMEGA 3 SUPRIMENTOS PARA
LABORATORIOS LTDA",96.591.128/0001-46,"56.279,62","
PREGAO ELETRONICO PE No 069/2019
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o Registro de precos para
aquisicao de elementos filtrantes e consumiveis para purificadores de agua para laboratorio (cartucho, filtro,
modulo, pastilha e outros), da forma que se segue: Empresa OMEGA 3 SUPRIMENTOS PARA
LABORATORIOS LTDA, CNPJ:07.319.546/0001-59, vencedora dos itens 1, 2, 5, 28 e 29 com o valor total
de R$ 56.279,62; Empresa PURI AZUL SOLUCOES AMBIENTAIS EIRELI, CNPJ: 13.718.642/0001-72,
vencedora dos itens 6, 22, 23, 32 e 33 com o valor total de R$ 44.034,56; Empresa PRONTONS BRASIL
EQUIPAMENTOS E SERVICOS PARA TRATAMENTO DE AGUA LTDA, CNPJ: 31.765.131/0001-93,
vencedora dos itens 11, 12, 19 e 20 com o valor total de R$ 3.161,4.6; Empresa MERCK S.A, CNPJ:
33.069.212/0008-50, vencedora do item 7, 8, 9, 10, 21, 25, 30 e 31 com o valor total de R$ 19.475,59;
Empresa INDUSTRIA E COMERCIO ELETRO ELETRONICA GEHAKA, CNPJ: 60.637.667/0001-21,
vencedora dos itens 24, 26 e 27 com o valor total de R$ 11.447,02; e Empresa VEOLIA WATER
TECHNOLOGIES BRASIL LTDA, CNPJ: 96.591.128/0001-46, vencedora do itens 3, 4, 13, 14, 15, 16, 17,
18, 34 e 35 com o valor total de R$ 40.036,56. O item 36 restou fracassado"
2,974200," e o Registro de precos para
aquisicao de reagentes para laboratorio, da forma que se segue: Empresa LUDWIG BIOTECNOLOGIA
LTDA, CNPJ: 01"," LUDWIG BIOTECNOLOGIA
LTDA",73.264.251/0001-57,"194,75","
PREGAO ELETRONICO PE No 053/2019
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o Registro de precos para
aquisicao de reagentes para laboratorio, da forma que se segue: Empresa LUDWIG BIOTECNOLOGIA
LTDA, CNPJ: 01.151.850/0001-53, vencedora dos itens 46 e 52 com o valor total de R$ 194,75; Empresa
JKLAB QUIMICA DIAGNOSTICA E SEGURANCA LTDA, CNPJ: 07.913.192/0001-76, vencedora dos
itens 48, 49, 57 e 60 com o valor total de R$ 2.405,00; Empresa CM EQUIPAMENTOS PA R A
LABORATORIOS EIRELI, CNPJ: 32.612.587/0001-86, vencedora do itens 18, 44, 45 e 47com o valor
total de R$ 1.904,10; e Empresa HEXAGONO QUIMICA E EQUIPAMENTOS EIRELI EPP, CNPJ:
73.264.251/0001-57, vencedora do itens 5, 6, 7, 8, 9, 10, 23 e 24 com o valor total de R$ 10.664,00. Os
itens 1, 2, 3, 4, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36,
37, 38, 39, 40, 41, 42, 43, 50, 51, 53, 54, 55, 56, 58, 59, 61, 62, 63, 64, 65 e 66 restaram fracassados"
3,974200," e o registro de precos para
aquisicao de tintas e acessorios para pintura (bisnaga, brocha, espatula, lixa, massa corrida, rolo de espuma,
tinta acrilica e outros)", NA ATIVA COMERCIAL EIRELI,26.392.294/0001-38,"41,58","
PREGAO ELETRONICO PE No 018/2019
O Pregoeiro da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o registro de precos para
aquisicao de tintas e acessorios para pintura (bisnaga, brocha, espatula, lixa, massa corrida, rolo de espuma,
tinta acrilica e outros)., da forma que se segue: Empresa NA ATIVA COMERCIAL EIRELI, CNPJ:
09.043.182/0001-52, vencedora dos itens 7 e 8 com o valor total de R$ 41,58; Empresa GRANDES
MARCAS DE MATERIAIS E EQUIPAMENTOS EIRELI, CNPJ: 14.396.046/0001-86, vencedora dos
itens 2, 5, 6, 31 e 32 com o valor total de R$ 11.851,80; Empresa COMERCIO DE MATERIAIS DE
CONSTRUCOES CAVALHEIROS LTDA, CNPJ: 21.875.005/0001-38, vencedora dos itens 22, 44 e 45
com o valor total de R$ 762,27; Empresa VALENTE TINTAS - EIRELI, CNPJ: 23.678.498/0001-41,
vencedora dos itens 29 e 30 com o valor total de R$ 2.891,21; Empresa ELETROPOS I T I VA
COMERCIAL EIRELI, CNPJ: 24.514.337/0001-85, vencedora dos itens 1, 3, 4, 9, 10, 11, 12, 13, 14, 15,
16, 17 e 18 com o valor total de R$ 4.906,13; e Empresa NOVA ATACADISTA PARA CONSTRUCAO
LTDA, CNPJ: 26.392.294/0001-38, vencedora dos itens 19, 20, 21, 23, 24 e 28 com o valor total de R$
39.657,65. Os itens 25, 26, 27, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42 e 43 restaram fracassado"
4,974200," e o registro de precos para
aquisicao de reagentes para laboratorio, da forma que se segue: Empresa PRO ANALISE QUIMICA E
DIAGNOSTICA LTDA, CNPJ: 00"," PRO ANALISE QUIMICA E
DIAGNOSTICA LTDA",73.264.251/0001-57,"1.740,16","
PREGAO ELETRONICO PE No 071/2019
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o registro de precos para
aquisicao de reagentes para laboratorio, da forma que se segue: Empresa PRO ANALISE QUIMICA E
DIAGNOSTICA LTDA, CNPJ: 00.398.022/0002-32, vencedora dos itens 23 e 24 com o valor total de R$
1.740,16; Empresa AMMER COMERCIO DE PRODUTOS QUIMICOS DO BRASIL - EIRELI, CNPJ:
19.876.529/0001-00, vencedora dos itens 62, 63, 102 e 103 com o valor total de R$ 24.926,92; Empresa
JK LAB PRODUTOS E SOLUCOES PARA LABORATORIOS EIRELI, CNPJ: 23.239.321/0001-49,
vencedora dos itens 4, 5, 10, 12, 14, 39, 40, 84, 88, 89, 90 e 96 com o valor total de R$ 6.190,03;
Empresa V.J. DONZELLA, CNPJ: 29.413.872/0001-63, vencedora dos itens 29, 31, 34, 37, 38, 50, 51, 52,
53, 59, 60 e 101 com o valor total de R$ 37.210,12; Empresa CM EQUIPAMENTOS PARA
LABORATORIOS EIRELI, CNPJ: 32.612.587/0001-86, vencedora dos itens 13, 22 e 55 com o valor total
de R$ 797,38; Empresa MERCK S.A., CNPJ: 33.069.212/0008-50, vencedora dos itens 1, 2, 6, 7, 8, 9,
11, 15, 17, 18, 19, 20, 21, 32, 33, 35, 36, 41, 42, 43, 44, 45, 46, 47, 54, 61, 104, 105, 110 e 111 com
o valor total de R$ 25.094,73; Empresa HEXIS CIENTIFICA LTDA, CNPJ: 53.276.010/0001-10,
vencedora dos itens 3, 25, 26, 48, 49, 56, 58, 69, 71, 72, 73, 75, 76, 79, 80, 82, 83, 86, 87, 91, 93, 100,
106, 107, 113 e 114 com o valor total de R$ 23.988,23; Empresa SIGMA - ALDRICH BRASIL LTDA,
CNPJ: 68.337.658/0001-27, vencedora dos itens 81 e 94 com o valor total de R$ 902,50 e Empresa
HEXAGONO  QUIMICA  E  EQUIPAMENTOS PARA  LABORATORIOS  EIRELI,  CNPJ:
73.264.251/0001-57, vencedora do item 57 com o valor total de R$ 355,00. Os itens 16, 27, 28, 30, 64,
65, 66, 67, 68, 70, 74, 77, 78, 85, 92, 95, 97, 98, 99, 108, 109 e 112 restaram fracassados ou
desertos"
5,974200," e o Servico de natureza
continua e essencial de apoio a operacao, limpeza e conservacao de areas internas e de instalacoes
fisicas das unidades operacionais do sistema produtor de agua na Caesb, incluindo as atividades de
limpeza de tanques de processo, retirada, selecao e reposicao de leito filtrante, varricao de vias e
acessos, carregamento e descarregamento de produtos quimicos e de materiais necessarios para
operacao do sistema produtor de agua (SPA), limpeza de caixas e equipamentos eletromecanicos,
limpeza e desinfeccao de reservatorios de agua potavel da Caesb, envasamento de agua tratada e
outras atividades correlacionadas", INTERAT I VA - D E D E T I Z A C A O ,05.058.935/0001-42,nan,"
PREGAO ELETRONICO PE No 52/2019
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o Servico de natureza
continua e essencial de apoio a operacao, limpeza e conservacao de areas internas e de instalacoes
fisicas das unidades operacionais do sistema produtor de agua na Caesb, incluindo as atividades de
limpeza de tanques de processo, retirada, selecao e reposicao de leito filtrante, varricao de vias e
acessos, carregamento e descarregamento de produtos quimicos e de materiais necessarios para
operacao do sistema produtor de agua (SPA), limpeza de caixas e equipamentos eletromecanicos,
limpeza e desinfeccao de reservatorios de agua potavel da Caesb, envasamento de agua tratada e
outras atividades correlacionadas., da forma que se segue: Empresa INTERAT I VA - D E D E T I Z A C A O ,
HIGIENIZACAO E CONSERVACAO LTDA, CNPJ: 05.058.935/0001-42, vencedora do item 1 com
o valor total de R$ 4.966.988,43"
6,974200," e Registro de precos para
aquisicao de equipamentos e utensilios para refeitorio, copa e cozinha"," IGATU FILTROS PARA AGUA INDUSTRIA E
COMERCIO",28.199.997/0001-70,"1.797,75","
PREGAO ELETRONICO PE No 126/2019
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e Registro de precos para
aquisicao de equipamentos e utensilios para refeitorio, copa e cozinha. (cartucho, filtro, garrafa termica,
entre outros), da forma que se segue: Empresa IGATU FILTROS PARA AGUA INDUSTRIA E
COMERCIO, CNPJ: 07.545.560/0001-70, vencedora do item 7 com o valor total de R$ 1.797,75; Empresa
COMERCIAL SANTANA WERNECK LTDA, CNPJ: 11.186.469/0001-83, vencedora do item 13 com o
valor total de R$ 6.620,40; Empresa BIOPURE COMERCIO E SERVICOS EM EQUIPAMEN TO S
MEDICOS LTDA, CNPJ: 13.332.007/0001-52, vencedora do item 3 com o valor total de R$ 2.439,60;
Empresa MULTI FILTROS EIRELI, CNPJ: 15.801.523/0001-04, vencedora do item 4 com o valor total de
R$ 780,80; Empresa DINAMICA DISTRIBUIDORA DE EQUIPAMENTOS EIRELI, CNPJ:
21.034.428/0001-25, vencedora dos itens 1, 2, 10, 11, 12, 16, 17 e 18 com o valor total de R$ 38.847,70;
Empresa A&R COMERCIAL PRODUTOS E EQUIPAMENTOS EIRELI, CNPJ: 22.858.929/0001-99,
vencedora do item 8 com o valor total de R$ 516,15; Empresa VIDENTE CONSTRUCOES E
COMERCIO LTDA, CNPJ: 26.517.495/0001-14, vencedora do item 14 com o valor total de R$ 2.055,60
e Empresa MOGI MEDICAL EQUIPAMENTOS EIRELI, CNPJ: 28.199.997/0001-70, vencedora do item
9 com o valor total de R$ 4.500,00. Os itens 5, 6 e 15 restaram fracassados"
7,974200," e Registro de precos para
aquisicao de materiais de aco para adutoras e redes de agua (parafuso, porca, tubo, valvula e outros), da forma
que se segue: Empresa EDYTUDO COMERCIO DE FERRAGENS E VARIEDADES LTDA, CNPJ:
10", EDYTUDO COMERCIO DE FERRAGENS E VARIEDADES LTDA,78.334.307/0001-16,"11.012,05","
PREGAO ELETRONICO No 142/2019
A Pregoeira da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e Registro de precos para
aquisicao de materiais de aco para adutoras e redes de agua (parafuso, porca, tubo, valvula e outros), da forma
que se segue: Empresa EDYTUDO COMERCIO DE FERRAGENS E VARIEDADES LTDA, CNPJ:
10.214.272/0001-48, vencedora dos itens 1, 2, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 23, 29, 30, 33, 34, 35 e
36 com o valor total de R$ 11.012,05; Empresa SOLUX DISTRIBUIDORA EIRELI, CNPJ: 23.291.920/0001-
01, vencedora dos itens 3, 4, 21, 22, 25, 26, 27, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 50, 51, 52, 57, 58, 59, 60,
61, 62, 65, 66 com o valor total de R$ 26.456,26; e Empresa VISUAL REPRESENTACOES COMERCIAIS
LTDA, CNPJ: 78.334.307/0001-16, vencedora dos itens 73, 74, 75, 76, 77, 78, 81, 82, 83, 84, 87, 88, 89 e 90
com o valor total de R$ 954.918,20. Os itens 5, 6, 10, 14, 24, 28, 31, 32, 47, 48, 49, 53, 54, 55, 56, 63, 64, 67,
68, 69, 70, 71, 72, 79, 80, 85, 86, 91, 92, 93, 94, 95 e 96 restaram fracassados"
8,974200," e o registro de precos
para aquisicao de tintas e acessorios para pintura (tinta epoxi, verniz e outros), da forma que se segue:
Empresa FLEXICOAT INDUSTRIA E COMERCIO LTDA, CNPJ: 00", FLEXICOAT INDUSTRIA E COMERCIO LTDA,31.483.566/0001-45,"49.278,88","
PREGAO ELETRONICO PE No 164/2019
O Pregoeiro da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o registro de precos
para aquisicao de tintas e acessorios para pintura (tinta epoxi, verniz e outros), da forma que se segue:
Empresa FLEXICOAT INDUSTRIA E COMERCIO LTDA, CNPJ: 00.768.990/0001-02, vencedora do
item 5 com o valor total de R$ 49.278,88; Empresa ALMIX COMERCIO DE SUPRIMENTOS
EIRELI, CNPJ: 11.594.621/0001-67, vencedora do item 16 com o valor total de R$ 145,08; Empresa
GRANDES MARCAS DE MATERIAIS E EQUIPAMENTOS EIRELI, CNPJ: 14.396.046/0001-86,
vencedora dos itens 1, 2, 15 e 18 com o valor total de R$ 2.527,56; Empresa NOVA ATA C A D I S TA
PARA CONSTRUCAO LTDA, CNPJ: 26.392.294/0001-38, vencedora dos itens 4, 7, 8, 9, 10, 11, 12,
13, 14 e 17 com o valor total de R$ 79.676,74; Empresa MB ENGENHARIA E COMERCIO EIRELI,
CNPJ: 31.483.566/0001-45, vencedora dos itens 3 e 6 com o valor total de R$ 59.099,30"
9,974200," e o Registro de precos para
aquisicao de cabos de aco, correntes, cordoalhas e acessorios, da forma que se segue: Empresa GRANDES
MARCAS DE MATERIAIS E EQUIPAMENTOS EIRELI, CNPJ: 14"," GRANDES
MARCAS DE MATERIAIS E EQUIPAMENTOS EIRELI",14.396.046/0001-86,"83.315,30","
PREGAO ELETRONICO PE No 115/2019
O Pregoeiro da CAESB no uso de suas atribuicoes, torna publico o resultado de julgamento do pregao
supracitado, realizado no www.comprasnet.gov.br, UASG: 974200, cujo objeto e o Registro de precos para
aquisicao de cabos de aco, correntes, cordoalhas e acessorios, da forma que se segue: Empresa GRANDES
MARCAS DE MATERIAIS E EQUIPAMENTOS EIRELI, CNPJ: 14.396.046/0001-86, vencedora dos
itens 11, 12, 13, 14, 21, 22, 23, 24, 25 e 26 com o valor total de R$ 83.315,30. Os itens 1, 2, 3, 4, 5, 6,
7, 8, 9, 10, 15, 16, 17, 18, 19 e 20 restaram fracassados"
