ato,dodf,treated_text,PROCESSO,ORGAO_LICITANTE,NUM_LICITACAO,OBJ_LICITACAO,MODALIDADE_LICITACAO,DECISAO_TCDF,NOME_RESPONSAVEL,IOB
AVISO_SUSPENSAO_LICITACAO,12_22.11.2018,"AVISO DE SUSPENSAO PREGAO ELETRONICO POR SRP No 459/2018 UASG UASG 926119 A Pregoeira da Central de Compras/SUAG, da Secretaria de Estado de Saude do Distrito Federal, comunica a suspensao da licitacao supracitada, por acatar a impugnacao apresentada. LARISSA ALVIM DE OLIVEIRA",,Secretaria de Estado de Saude do Distrito Federal,459/2018,,PREGAO ELETRONICO,,LARISSA ALVIM DE OLIVEIRA,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O O O B-NUM_LICITACAO O O O O O O O O O O O B-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE O O O O O O O O O O O O O O B-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL
AVISO_SUSPENSAO_LICITACAO,12_22.11.2018,"AVISO DE SUSPENSAO CONCORRENCIA No 02/2018 O METRO-DF, por meio do Presidente da Comissao Especial de Licitacao, comunica a suspensao sine die da Concorrencia no 02/2018, cujo objeto e a contratacao de empresa para execucao de Obras Civis para Expansao da Linha 1 Trecho Trecho Samambaia do METRO-DF, conforme processo n.o 00097-00004868/201801, 01, cuja data da sessao estava prevista para o dia 21/11/2018. A suspensao se da por forca da Decisao no 5531/2018 TCDF. TCDF. ANDERSON LUIZ SENNA COSTA Presidente da Comissao",00097-00004868/201801 01,METRO-DF,02/2018,contratacao de empresa para execucao de Obras Civis para Expansao da Linha 1 Trecho Trecho Samambaia do METRO-DF,Concorrencia,5531/2018,ANDERSON LUIZ SENNA COSTA,O O O O O B-NUM_LICITACAO O B-ORGAO_LICITANTE O O O O O O O O O O O O O O O O O B-MODALIDADE_LICITACAO O B-NUM_LICITACAO O O O O O B-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO O O O O B-PROCESSO O O O O O O O O O O O O O O O O O O O O O O O B-DECISAO_TCDF O O O O B-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL O O O
AVISO_SUSPENSAO_LICITACAO,12_22.11.2018,"AVISO DE SUSPENSAO DE LICITACAO PREGAO ELETRONICO No 001-S001061/2018 A CEB DISTRIBUICAO S.A., por sua Comissao Permanente de Licitacao CPL, CPL, situada no SIA Setor de Areas Publicas, Lote ""C"", bloco ""H"", Brasilia DF, DF, torna publico que, fica suspensa sine die, a abertura da licitacao em epigrafe. Demais informacoes, no horario das 08:00 as 12:00 e das 14:00 as 17:00 horas, pelos telefones: 3465-9021/9297 e fax 3465-9015. Brasilia/DF, 21 de novembro de 2018. WANDERLON ARAUJO DE CARVALHO Presidente da Comissao",PREGAO ELETRONICO,CEB DISTRIBUICAO S.A.,001-S001061/2018,,,,WANDERLON ARAUJO DE CARVALHO,O O O O O B-PROCESSO I-PROCESSO O B-NUM_LICITACAO O B-ORGAO_LICITANTE I-ORGAO_LICITANTE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL O O O
AVISO_SUSPENSAO_LICITACAO,24_24.12.2019,"AVISO DE SUSPENSAO PREGAO ELETRONICO No 07/2019 Processo: 00055-00034558/2019-90. Comunico a suspensao do aludido pregao, pelo interesse da Administracao, para fins de alteracao no Termo de Referencia. Objeto: Contratacao de empresa especializada, por meio de licitacao, para prestacao de servicos de monitoramento e gestao das informacoes de trafego e fiscalizacao eletronica nas vias urbanas do distrito federal com uso do registrador eletronico de infracoes de transito REIT lll ""Avanco de Sinal"", conforme condicoes, especificacoes, quantidades e exigencias estabelecidas no Termo de Referencia e seus anexos, constantes do ANEXO A do Edital. Mais informacoes na Gerencia de Licitacao tel. tel. (61) 3343-5180. Brasilia/DF, 20 de dezembro de 2019 EDUARDO DA CRUZ OLIVEIRA Pregoeiro",00055-00034558/2019-90,,07/2019,"Contratacao de empresa especializada, por meio de licitacao, para prestacao de servicos de monitoramento e gestao das informacoes de trafego e fiscalizacao eletronica nas vias urbanas do distrito federal com uso do registrador eletronico de infracoes de transito REIT lll ""Avanco de Sinal"", conforme condicoes, especificacoes, quantidades e exigencias estabelecidas no Termo de Referencia e seus anexos, constantes do ANEXO A do Edital.",PREGAO ELETRONICO,,EDUARDO DA CRUZ OLIVEIRA,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O B-NUM_LICITACAO O O B-PROCESSO O O O O O O O O O O O O O O O O O O O O O O O O B-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO O O O O O O O O O O O O O O O O O O O O O O B-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL O
AVISO_SUSPENSAO_LICITACAO,24_24.12.2019,"AVISO DE SUSPENSAO DE LICITACAO LICITACAO CEB-DIS No 001-P01189/2019 A CEB DISTRIBUICAO S.A, por sua Comissao Permanente de Licitacao CPL, CPL, situada no SIA Setor de Areas Publicas, Lote ""C"", Bloco ""H"", Brasilia/DF, torna publico que fica suspensa a abertura da Licitacao em epigrafe. Demais informacoes pelo telefone: (61) 3465-9317. Brasilia/DF, 23 de dezembro de 2019 MARCELO ANDRADE CRUZ Presidente da Comissao",,CEB DISTRIBUICAO S.A,001-P01189/2019,abertura da Licitacao em epigrafe,LICITACAO,,MARCELO ANDRADE CRUZ,O O O O B-MODALIDADE_LICITACAO O O O B-NUM_LICITACAO O B-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO O O O O O O O O O O O O O O O O O O B-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL O O O
AVISO_SUSPENSAO_LICITACAO,4_12.7.2019,"AVISO DE SUSPENSAO PREGAO ELETRONICO No 49/2019 UASG UASG 926119 Objeto: Contratacao de SERVICOS GRAFICOS, redacao, editoracao, ilustracao, padronizacao, diagramacao, publicacao, impressao e versao digital dos LIVROS: ASSISTENCIA AO RECEM NASCIDO DE RISCO 4a 4a edicao e NEUROSSONOGRAFIA NEONATAL 4a 4a edicao, incluindo prova de impressao, acabamento, embalagem, empacotamento, etiquetagem e entrega, em sistema de registro de precos, para atender as necessidades da Secretaria de Saude DF, DF, para analise e resposta do pedido de impugnacao. ERICA NEGRYS OLIVEIRA CALDAS Pregoeira",,,49/2019,"Contratacao de SERVICOS GRAFICOS, redacao, editoracao, ilustracao, padronizacao, diagramacao, publicacao, impressao e versao digital dos LIVROS: ASSISTENCIA AO RECEM NASCIDO DE RISCO 4a 4a edicao e NEUROSSONOGRAFIA NEONATAL 4a 4a edicao, incluindo prova de impressao, acabamento, embalagem, empacotamento, etiquetagem e entrega, em sistema de registro de precos, para atender as necessidades da Secretaria de Saude DF DF",PREGAO ELETRONICO,,ERICA NEGRYS OLIVEIRA CALDAS,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O B-NUM_LICITACAO O O O O O B-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO O O O O O O O O O O O O B-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL O
AVISO_SUSPENSAO_LICITACAO,4_12.7.2019,"PREGAO ELETRONICO POR SRP No 127/2019 UASG UASG 926119 A Pregoeira da Central de Compras/SUAG, da Secretaria de Estado de Saude do Distrito Federal, comunica a suspensao da licitacao supracitada, para atender os esclarecimentos apresentados. LARISSA ALVIM DE OLIVEIRA",,Secretaria de Estado de Saude do Distrito Federal,127/2019,,PREGAO ELETRONICO POR SRP,,LARISSA ALVIM DE OLIVEIRA,B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O B-NUM_LICITACAO O O O O O O O O O O O B-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE O O O O O O O O O O O O O O B-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL
AVISO_SUSPENSAO_LICITACAO,2_19.6.2019,"AVISO DE SUSPENSAO PREGAO ELETRONICO No 123/2019 UASG UASG 926119 A Pregoeira da Central de Compras/SUAG comunica a suspensao da licitacao supracitada, que tem como objeto a contratacao de empresa especializada para a Operacao Logistica da cadeia de suprimentos, por determinacao do TCDF, atraves do Despacho Singular no 157/2019/GCMA. MERITA SIMIONI BORGES",,,123/2019,a contratacao de empresa especializada para a Operacao Logistica da cadeia de suprimentos,PREGAO ELETRONICO,Despacho Singular no 157/2019/GCMA,MERITA SIMIONI BORGES,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O B-NUM_LICITACAO O O O O O O O O O O B-OBJ_LICITACAO O O O O O O O O O B-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO O O O O O O O O B-DECISAO_TCDF I-DECISAO_TCDF I-DECISAO_TCDF I-DECISAO_TCDF O B-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL
AVISO_SUSPENSAO_LICITACAO,3_4.7.2019,"AVISO DE SUSPENSAO PREGAO ELETRONICO No 39/2019 Objeto: contratacao de empresa especializada, para prestacao de servicos de monitoramento e gestao das informacoes de trafego atraves da fiscalizacao eletronica da velocidade e registro de dados volumetricos, em rodovias do sistema rodoviario do distrito federal (equipamento tipo barreira eletronica bet), bet), conforme especificacoes e condicoes no anexo I do edital, Processo SEI no 00113.00032554/2018-45. Conforme decisao no 2187/2019 do TCDF. Brasilia/DF, 03 de julho de 2019. CELIA MARIA SIQUEIRA LEAL Diretora",00113.00032554/2018-45,,39/2019,"contratacao de empresa especializada, para prestacao de servicos de monitoramento e gestao das informacoes de trafego atraves da fiscalizacao eletronica da velocidade e registro de dados volumetricos, em rodovias do sistema rodoviario do distrito federal (equipamento tipo barreira eletronica bet), bet), conforme especificacoes e condicoes no anexo I do edital",PREGAO ELETRONICO,decisao no 2187/2019,CELIA MARIA SIQUEIRA LEAL,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O B-NUM_LICITACAO O O B-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO O O O O B-PROCESSO O O B-DECISAO_TCDF I-DECISAO_TCDF I-DECISAO_TCDF O O O O O O O O O O O B-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL I-NOME_RESPONSAVEL O
AVISO_SUSPENSAO_LICITACAO,251_108.8.6.2018,"AVISO DE SUSPENSAO PREGAO ELETRONICO No 42/2018 Objeto: contratacao de empresa prestadora de servicos graficos e diagramacao com vistas a confeccao de livros, livretos, manuais, cartilhas, cartazes, folders, banners e demais servicos especificados neste termo de referencia, de varios formatos e gramaturas, incluindo prova de impressao acabamento, embalagem, empacotamento, etiquetagem e transporte, para atendimento das diversas demandas do Departamento de Estradas de Rodagem do Distrito Federal (DER-DF), conforme especificacoes e condicoes no anexo I do edital, Processo SEI no 00113001433/2017. Data e horario para recebimento das propostas: ate 9h00min do dia 15 de junho de 2018, com valor estimado de R$ 924.068,33.",,,42/2018,"contratacao de empresa prestadora de servicos graficos e diagramacao com vistas a confeccao de livros, livretos, manuais, cartilhas, cartazes, folders, banners e demais servicos especificados neste termo de referencia, de varios formatos e gramaturas, incluindo prova de impressao acabamento, embalagem, empacotamento, etiquetagem e transporte, para atendimento das diversas demandas do Departamento de Estradas de Rodagem do Distrito Federal (DER-DF), conforme especificacoes e condicoes no anexo I do edital, Processo SEI no 00113001433/2017",PREGAO ELETRONICO,,,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O B-NUM_LICITACAO O O B-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO I-OBJ_LICITACAO O O O O O O O O O O O O O O O O O O O O O O O O O O O
