,arquivo_rast,text,ato,dodf,treated_text,PROCESSO,ORGAO_LICITANTE,NUM_LICITACAO,OBJ_LICITACAO,MODALIDADE_LICITACAO,DECISAO_TCDF,PRAZO_SUSPENSAO,NOME_RESPONSAVEL,IOB
0,69_aviso_de_suspensao_de_licitacao_DODF_217_13-11-2019.txt,"xxbcet AVISO DE SUSPENSÃO xxecet
. -
xxbcet PREGÃO ELETRÔNICO POR SRP Nº 113/2019 UASG 926119 xxecet
-
A Pregoeira da Central de Compras/SUAG, da Secretaria de Estado de Saúde do Distrito Federal,
comunica a suspensão da licitação supracitada, que tem como objeto aquisição de material de ORTESES,
PROTESES E MATERIAIS ESPECIAIS (OPME) GRAMPEADORES E CARGAS, para conclusão de
xxbcet - xxecet
análise de impugnação.
xxbcet , xxecet
xxbcet JULIANA ARAUJO E SOUZA xxece",AVISO_SUSPENSAO_LICITACAO,DODF_217_13-11-2019,"AVISO DE SUSPENSÃO PREGÃO ELETRÔNICO POR SRP Nº 113/2019 UASG 926119 A Pregoeira da Central de Compras/SUAG, da Secretaria de Estado de Saúde do Distrito Federal, comunica a suspensão da licitação supracitada, que tem como objeto aquisição de material de ORTESES, PROTESES E MATERIAIS ESPECIAIS (OPME) GRAMPEADORES E CARGAS, para conclusão de análise de impugnação. JULIANA ARAUJO E SOUZA",,Pregoeira da Central de Compras/SUAG,113/2019,,PREGÃO ELETRÔNICO,,,,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O O O B-NUM_LICITACAO O O O B-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1,124_aviso_de_suspensao_de_licitacao_DODF_118_22-06-2018.txt,"xxbcet AVISO DE SUSPENSÃO xxecet
xxbcet PREGÃO ELETRÔNICO POR SRP Nº 201/2018 UASG 926119 xxecet
-
A Pregoeira da Central de Compras/SUAG, da Secretaria de Estado de Saúde do Distrito
Federal, comunica a suspensão da licitação supracitada, em razão de análise de escla-
recimentos por parte da área responsável, cuja abertura da sessão estava agendada para o dia
21/06/2018, às 9 horas, horário de Brasília, no site www.comprasgovernamentais.gov.br.
Objeto: Aquisição regular do medicamento BOSENTANA COMPRIMIDO REVESTIDO
125 MG (FRASCO OU BLISTER) e outros em sistema de registro de preços, para atender
às necessidades da Secretaria de Saúde DF, conforme especificações e quantitativos cons-
-
tantes no Anexo 1 do Edital.
xxbcet MERITA SIMIONE BORGES xxece",AVISO_SUSPENSAO_LICITACAO,DODF_118_22-06-2018,"AVISO DE SUSPENSÃO PREGÃO ELETRÔNICO POR SRP Nº 201/2018 UASG 926119 A Pregoeira da Central de Compras/SUAG, da Secretaria de Estado de Saúde do Distrito Federal, comunica a suspensão da licitação supracitada, em razão de análise de esclarecimentos recimentos por parte da área responsável, cuja abertura da sessão estava agendada para o dia 21/06/2018, às 9 horas, horário de Brasília, no site www.comprasgovernamentais.gov.br. Objeto: Aquisição regular do medicamento BOSENTANA COMPRIMIDO REVESTIDO 125 MG (FRASCO OU BLISTER) e outros em sistema de registro de preços, para atender às necessidades da Secretaria de Saúde DF, conforme especificações e quantitativos constantes tantes no Anexo 1 do Edital. MERITA SIMIONE BORGES",,Pregoeira da Central de Compras/SUAG,201/2018,,PREGÃO ELETRÔNICO,,,,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O O O B-NUM_LICITACAO O O O B-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2,703_aviso_de_suspensao_de_licitacao_DODF_082_30-04-2018.txt,"AVISO DE SUSPENSÃO xxecet
xxbcet EDITAL DE CONVOCAÇÃO DAS ENTIDADES HABITACIONAIS Nº 002/2018 xxecet
A COMPANHIA DE DESENVOLVIMENTO HABITACIONAL DO DISTRITO FEDERAL
CODHAB comunica a SUSPENSÃO do sorteio, para venda de imóveis de propriedade do
-
Governo do Distrito Federal ou da CODHAB/DF, no GUARÁ, às Associações e Co-
operativas habitacionais credenciadas junto à CODHAB/DF. Com o horário previsto para
habilitação dos representantes legais: de 13h30 às 14h30. Data e horário previsto para o
início sorteio: às 14h30 do dia 03 de maio de 2018. Os interessados teriam prazo de
manifestação de interesse até o dia 25 de abril de 2018, por meio eletrônico no endereço
www.codhab.df.gov.br.
xxbcet Brasília/DF, 27 de abril de 2018 xxecet
xxbcet CLAYLTON FERREIRA ARAGÃO xxecet
xxbcet Presidente da CPL CODHAB/D",AVISO_SUSPENSAO_LICITACAO,DODF_082_30-04-2018,"AVISO DE SUSPENSÃO EDITAL DE CONVOCAÇÃO DAS ENTIDADES HABITACIONAIS Nº 002/2018 A COMPANHIA DE DESENVOLVIMENTO HABITACIONAL DO DISTRITO FEDERAL CODHAB comunica a SUSPENSÃO do sorteio, para venda de imóveis de propriedade do Governo do Distrito Federal ou da CODHAB/DF, no GUARÁ, às Associações e Cooperativas operativas habitacionais credenciadas junto à CODHAB/DF. Com o horário previsto para habilitação dos representantes legais: de 13h30 às 14h30. Data e horário previsto para o início sorteio: às 14h30 do dia 03 de maio de 2018. Os interessados teriam prazo de manifestação de interesse até o dia 25 de abril de 2018, por meio eletrônico no endereço www.codhab.df.gov.br. Brasília/DF, 27 de abril de 2018 CLAYLTON FERREIRA ARAGÃO Presidente da CPL CODHAB/D",,,002/2018,,sorteio,,,,O O O O O O O O O O B-NUM_LICITACAO O O O O O O O O O O O O O B-MODALIDADE_LICITACAO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-MODALIDADE_LICITACAO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3,23_aviso_de_suspensao_de_licitacao_DODF_058_24-03-2017.txt,"xxbob
xxbcet AVISO DE SUSPENSÃO xxecet
xxbcet PREGÃO Nº. 63/2016 xxecet
A Pregoeira responsável pelo certame acima, processo nº. 052.001.791/2016, referente à
contratação de empresa especializada para prestação de Serviço Móvel Pessoal SMP, para
-
comunicação de voz e dados, nas modalidades: em Viagem (Roaming) e de Longa Distância
Internacional, em Viagem (Roaming) e de Longa Distância Nacional e Local, pós pago, com
tecnologia digital 4G(LTE), a fim de atender às necessidades de telefonia móvel da Polícia
Civil do Distrito Federal, conforme especificações e condições estabelecidas no termo de
referência constante do Anexo | do Edital, comunica a suspensão ""sine die"" da licitação
supracitada, para responder as impugnações tempestivamente encaminhadas, e possível re-
visão do ato convocatório. Maiores informações na CPL/PCDF fone: 3207-4071.
xxbcet Brasília/DF, 23 de março de 2017, xxecet
,
xxbcet JUNIA MARIA DE ALMEIDA SANTOS xxecet
xxbcet Pregoeira Substituta xxecet
xxeo",AVISO_SUSPENSAO_LICITACAO,DODF_058_24-03-2017,"AVISO DE SUSPENSÃO PREGÃO Nº. 63/2016 A Pregoeira responsável pelo certame acima, processo nº. 052.001.791/2016, referente à contratação de empresa especializada para prestação de Serviço Móvel Pessoal SMP, para comunicação de voz e dados, nas modalidades: em Viagem (Roaming) e de Longa Distância Internacional, em Viagem (Roaming) e de Longa Distância Nacional e Local, pós pago, com tecnologia digital 4G(LTE), a fim de atender às necessidades de telefonia móvel da Polícia Civil do Distrito Federal, conforme especificações e condições estabelecidas no termo de referência constante do Anexo | do Edital, comunica a suspensão ""sine die"" da licitação supracitada, para responder as impugnações tempestivamente encaminhadas, e possível revisão visão do ato convocatório. Maiores informações na CPL/PCDF fone: 3207-4071. Brasília/DF, 23 de março de 2017, JUNIA MARIA DE ALMEIDA SANTOS Pregoeira Substituta",,,63/2016,,PREGÃO,,,,O O O B-MODALIDADE_LICITACAO O O B-NUM_LICITACAO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
4,132_aviso_de_suspensao_de_licitacao_DODF_162_26-08-2020.txt,"AVISO DE SUSPENSÃO xxecet
xxbcet PREGÃO ELETRÔNICO POR SRP Nº 166/2019 UASG 926119 xxecet
-
A Pregoeira da Central de Compras/SUAG, da Secretaria de Estado de Saúde do Distrito Federal,
comunica a suspensão da licitação supracitada, por solicitação da área demandante/técnica para
avaliação dos questionamentos apresentados e alterações no Termo de Referência.
xxbcet PRISCILLA MOREIRA FALCAO FIGUEIREDO xxecet
xxbcet Substitut",AVISO_SUSPENSAO_LICITACAO,DODF_162_26-08-2020,"AVISO DE SUSPENSÃO PREGÃO ELETRÔNICO POR SRP Nº 166/2019 UASG 926119 A Pregoeira da Central de Compras/SUAG, da Secretaria de Estado de Saúde do Distrito Federal, comunica a suspensão da licitação supracitada, por solicitação da área demandante/técnica para avaliação dos questionamentos apresentados e alterações no Termo de Referência. PRISCILLA MOREIRA FALCAO FIGUEIREDO Substitut",,"Central de Compras/SUAG, da Secretaria de Estado de Saúde do Distrito Federal",166/2019,,PREGÃO ELETRÔNICO,,,,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O O O B-NUM_LICITACAO O O O O O B-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5,702_aviso_de_suspensao_de_licitacao_DODF_082_30-04-2018.txt,"AVISO DE SUSPENSÃO xxecet
xxbcet PREGÃO ELETRÔNICO Nº 019-2018 xxecet
Aquisição de Material Permanente: Caminhão espargidor de asfalto, caminhão basculante,
caminhão comboio de abastecimento e lubrificantes, caminhão guincho plataforma, conforme
especificações constantes do termo de referência em anexo, Processo nº
00113.00002065/2018-69.
Conforme Decisão n.º 1929/2018 TCDF está suspensa o Pregão em epígrafe.
-
Os respectivos editais poderão ser retirados exclusivamente nos endereços eletrônicos
www.der.df.gov.br e wwwlicitacoes-e.com.br. Demais informações no próprio edital.
xxbcet Brasília/DF, 27 de abril de 2018. xxecet
xxbcet CÉLIA MARIA SIQUEIRA LEAL xxecet
xxbcet Diretora de Materiais e Serviço",AVISO_SUSPENSAO_LICITACAO,DODF_082_30-04-2018,"AVISO DE SUSPENSÃO PREGÃO ELETRÔNICO Nº 019-2018 Aquisição de Material Permanente: Caminhão espargidor de asfalto, caminhão basculante, caminhão comboio de abastecimento e lubrificantes, caminhão guincho plataforma, conforme especificações constantes do termo de referência em anexo, Processo nº 00113.00002065/2018-69. Conforme Decisão n.º 1929/2018 TCDF está suspensa o Pregão em epígrafe. Os respectivos editais poderão ser retirados exclusivamente nos endereços eletrônicos www.der.df.gov.br e wwwlicitacoes-e.com.br. Demais informações no próprio edital. Brasília/DF, 27 de abril de 2018. CÉLIA MARIA SIQUEIRA LEAL Diretora de Materiais e Serviço",,,019-2018,,PREGÃO ELETRÔNICO,1929/2018,,,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O B-NUM_LICITACAO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-DECISAO_TCDF O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6,716_aviso_de_suspensao_de_licitacao_DODF_206_01-11-2016.txt,"xxbcet AVISO DE SUSPENSÃO xxecet
xxbcet PREGÃO Nº 33/2016 xxecet
A Pregoeira responsável pelo certame acima, processo: 052.000.626/2016. Aquisição de
equipamentos laboratoriais pi (Tomégrafo atender às necessidades do Setor de Perícias Médicas do
Instituto de Medicina Legal Computadorizado e Scanner Radiográfico) da Po-
lícia Civil do Distrito Federal, conforme especificações e condições estabelecidas no termo
de referência constante do Anexo 1 do Edital, comunica a suspensão ""sine die"" da licitação
supracitada, para revisão do ato convocatório. Maiores informações na CPL/PCDF fone:
3207-
xxeob

xxbob
71.
xxbcet Brasília/DF, 27 de outubro de 2016. xxecet
xxbcet KELLY CRISTINA CORDEIRO GUEDES xxecet
xxeo",AVISO_SUSPENSAO_LICITACAO,DODF_206_01-11-2016,"AVISO DE SUSPENSÃO PREGÃO Nº 33/2016 A Pregoeira responsável pelo certame acima, processo: 052.000.626/2016. Aquisição de equipamentos laboratoriais pi (Tomégrafo atender às necessidades do Setor de Perícias Médicas do Instituto de Medicina Legal Computadorizado e Scanner Radiográfico) da Polícia lícia Civil do Distrito Federal, conforme especificações e condições estabelecidas no termo de referência constante do Anexo 1 do Edital, comunica a suspensão ""sine die"" da licitação supracitada, para revisão do ato convocatório. Maiores informações na CPL/PCDF fone: 320771. 71. Brasília/DF, 27 de outubro de 2016. KELLY CRISTINA CORDEIRO GUEDES",,,33/2016,,PREGÃO,,,,O O O B-MODALIDADE_LICITACAO O B-NUM_LICITACAO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
7,25_aviso_de_suspensao_de_licitacao_DODF_008_13-01-2016.txt,"xxbcet AVISO DE SUSPENSÃO xxecet
xxbcet PREGÃO ELETRÔNICO (SRP) Nº 26/2015. xxecet
O Pregoeiro da Secretaria de Estado de Educação, Esporte e lazer do Distrito Federal
comunica aos interessados a suspensão ""Sine die"" do pregão em epígrafe, devido às al-
terações e correções a serem feitas no Edital e no Termo de Referência, em atendimento às
determinações da Decisão Liminar nº 011/2016-P/AT - TCDF. A nova data de abertura será
definida após autorização daquela egrégia corte. Os autos ficam com vistas franqueadas aos
interessados.
xxbcet Brasília/DF, 11 de janeiro de 2016. xxecet
xxbcet JOSEMAR SALVIANO DA SILVA xxecet
xxeo",AVISO_SUSPENSAO_LICITACAO,DODF_008_13-01-2016,"AVISO DE SUSPENSÃO PREGÃO ELETRÔNICO (SRP) Nº 26/2015. O Pregoeiro da Secretaria de Estado de Educação, Esporte e lazer do Distrito Federal comunica aos interessados a suspensão ""Sine die"" do pregão em epígrafe, devido às alterações terações e correções a serem feitas no Edital e no Termo de Referência, em atendimento às determinações da Decisão Liminar nº 011/2016-P/A TCDF. A nova data de abertura será definida após autorização daquela egrégia corte. Os autos ficam com vistas franqueadas aos interessados. Brasília/DF, 11 de janeiro de 2016. JOSEMAR SALVIANO DA SILVA",,,26/2015,,PREGÃO ELETRÔNICO,Decisão Liminar nº 011/2016-P/AT TCDF TCDF,,,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O O O O B-NUM_LICITACAO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-DECISAO_TCDF I-DECISAO_TCDF I-DECISAO_TCDF O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8,35_aviso_de_suspensao_de_licitacao_DODF_079_28-04-2008.txt,"AVISO DE SUSPENSÃO
CONCORRÊNCIA DE SERVIÇOS Nº 03/2008.
A CEB DISTRIBUIÇÃO S.A, através da Comissão Permanente de Licitação, situada no Sia
trecho 01, lote 03, Área Especial da CEB, bloco 2.4, sala 01, em Brasília/DF, torna público que
fica suspensa por tempo indeterminado a data de abertura da Concorrência de Serviços nº 03/
2008, que trata da Contratação de empresa para prestar serviços comerciais e de manutenção de
emergência plantão em redes de distribuição de energia rural urbana aérea e subterrânea com turma
leve em todo DF. Demais informações, no horário das 08:00 às 12:00 e das 14:00 às 17:00 horas,
pelos telefones: 3363-2438/2949 e fax 3363-3271.
Brasília/DF, 24 de abril de 2008.
EDUARDO FERREIRA DE AGUIAR
President",AVISO_SUSPENSAO_LICITACAO,DODF_079_28-04-2008,"AVISO DE SUSPENSÃO CONCORRÊNCIA DE SERVIÇOS Nº 03/2008. A CEB DISTRIBUIÇÃO S.A, através da Comissão Permanente de Licitação, situada no Sia trecho 01, lote 03, Área Especial da CEB, bloco 2.4, sala 01, em Brasília/DF, torna público que fica suspensa por tempo indeterminado a data de abertura da Concorrência de Serviços nº 03/ 2008, que trata da Contratação de empresa para prestar serviços comerciais e de manutenção de emergência plantão em redes de distribuição de energia rural urbana aérea e subterrânea com turma leve em todo DF. Demais informações, no horário das 08:00 às 12:00 e das 14:00 às 17:00 horas, pelos telefones: 3363-2438/2949 e fax 3363-3271. Brasília/DF, 24 de abril de 2008. EDUARDO FERREIRA DE AGUIAR President",,CEB DISTRIBUIÇÃO S.A,03/2008,,CONCORRÊNCIA,,por tempo indeterminado,,O O O B-MODALIDADE_LICITACAO O O O B-NUM_LICITACAO O O B-ORGAO_LICITANTE I-ORGAO_LICITANTE I-ORGAO_LICITANTE O O O O O O O O O O O O O O O O O O O O B-ORGAO_LICITANTE O O O O O O O O O O O O O O O B-PRAZO_SUSPENSAO I-PRAZO_SUSPENSAO I-PRAZO_SUSPENSAO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
9,49_aviso_de_suspensao_de_licitacao_DODF_104_03-06-2020.txt,"xxbcet AVISO DE SUSPENSÃO xxecet
xxbcet PREGÃO ELETRÔNICO Nº 03/2020 xxecet
A pregoeira responsável pelo certame acima, Processo: 00052-00014816/2019-04,
Objeto: Aquisição de Cones para Sinalização Viária, para atender às necessidades
das unidades circunscricionais e para a Divisão de Polícia Especializada da Polícia
Civil do Distrito Federal, conforme Anexo I do Edital, comunica a suspensão “sine
die” da licitação supracitada, para revisão do Edital. Maiores informações na
CPL/PCDF fone: 3207-4071.
xxbcet Brasília/DF, 02 de junho de 2020. xxecet
xxbcet KELLY CRISTINA CORDEIRO GUEDES xxecet
xxeo",AVISO_SUSPENSAO_LICITACAO,DODF_104_03-06-2020,"AVISO DE SUSPENSÃO PREGÃO ELETRÔNICO Nº 03/2020 A pregoeira responsável pelo certame acima, Processo: 00052-00014816/2019-04, Objeto: Aquisição de Cones para Sinalização Viária, para atender às necessidades das unidades circunscricionais e para a Divisão de Polícia Especializada da Polícia Civil do Distrito Federal, conforme Anexo I do Edital, comunica a suspensão “sine die” da licitação supracitada, para revisão do Edital. Maiores informações na CPL/PCDF fone: 3207-4071. Brasília/DF, 02 de junho de 2020. KELLY CRISTINA CORDEIRO GUEDES",,,03/2020,,PREGÃO ELETRÔNICO,,,,O O O B-MODALIDADE_LICITACAO I-MODALIDADE_LICITACAO O B-NUM_LICITACAO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
