dodf,num_doc_dodf,data_doc_dodf,ato,texto_ato,hierarquia_lotacao,orgao,motivo,nome,matricula,cargo_efetivo,vigencia,matricula_SIAPE,cargo_comissionado,simbolo,a_pedido_ou_nao,IOB
42_173.8.9.2015,173,8.9.2015,Ato_Exoneracao_Comissionado,"EXONERAR, nos termos do inciso I do art. 52 da Lei Complementar no 840, de 23 de dezembro de 2011, LAIS SUELLEN CARDOSO DE JESUS CERDEIRA, matricula no 1564-0, servidora comissionada sem vinculo efetivo, do cargo em comissao de Assessor, simbolo TC-CCA-1, do Gabinete da Conselheira Anilceia Luzia Machado.",Gabinete da Conselheira Anilceia Luzia Machado,,,LAIS SUELLEN CARDOSO DE JESUS CERDEIRA,1564-0,,,,Assessor,TC-CCA-1,,O O O O O O O O O O O O O O O O O O O O O O O O B-nome I-nome I-nome I-nome I-nome I-nome O O O B-matricula O O O O O O O O O O O O B-cargo_comissionado O O B-simbolo O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O
43_182.21.9.2015,182,21.9.2015,Ato_Exoneracao_Comissionado,"EXONERAR, a pedido, o CAP QOPM JOSE WILSON CARDOSO DIAS, matricula GDF 1.669.335-3, do Cargo em Comissao, Simbolo DFA-14, de Assessor, da Assessoria de Gestao da Estrategia e de Projetos, do Gabinete, da Casa Militar, da Governadoria do Distrito Federal.","Assessoria de Gestao da Estrategia e de Projetos, do Gabinete","Casa Militar, da Governadoria do Distrito Federal",,CAP QOPM JOSE WILSON CARDOSO DIAS,1.669.335-3,,,,Assessor,DFA-14,a pedido,O O B-a_pedido_ou_nao I-a_pedido_ou_nao O O B-nome I-nome I-nome I-nome I-nome I-nome O O O B-matricula O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR PAULO HENRIQUE FRANCISCO DE MOURA do Cargo de Natureza Especial, Simbolo CNE-06, de Chefe, da Assessoria Tecnica, do Gabinete, da Administracao Regional de Brazlandia do Distrito Federal.","Assessoria Tecnica, do Gabinete, da Administracao Regional de Brazlandia do Distrito Federal",,,PAULO HENRIQUE FRANCISCO DE MOURA,,,,,Chefe,CNE-06,,O B-nome I-nome I-nome I-nome I-nome O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por estar sendo nomeada para outro cargo, FERNANDA DA PENHA CORTES ALMEIDA do Cargo de Natureza Especial, Simbolo CNE-06, de Chefe, da Assessoria Tecnica, do Gabinete, da Administracao Regional de Santa Maria do Distrito Federal.","Assessoria Tecnica, do Gabinete, da Administracao Regional de Santa Maria do Distrito Federal",,por estar sendo nomeada para outro cargo,FERNANDA DA PENHA CORTES ALMEIDA,,,,,Chefe,CNE-06,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O B-nome I-nome I-nome I-nome I-nome O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por estar sendo nomeado para outro cargo, ELTON CESAR LINO LIMA do cargo em Comissao, Simbolo DFA-14, de Assessor, da Assessoria Tecnica, do Gabinete, da Administracao Regional do Itapoa do Distrito Federal.","Assessoria Tecnica, do Gabinete, da Administracao Regional do Itapoa do Distrito Federal",,por estar sendo nomeado para outro cargo,ELTON CESAR LINO LIMA,,,,,Assessor,DFA-14,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O B-nome I-nome I-nome I-nome O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por ter sido nomeada para outro cargo, STEPHANYE DE SOUZA MUNDIM DA COSTA, matricula 226.769-1, do Cargo em Comissao, Simbolo DFA-08, de Assessor Tecnico, da Assessoria, da Procuradoria do Meio Ambiente, Patrimonio Urbanistico e Imobiliario e Saude, da Procuradoria-Geral do Distrito Federal, a contar de 23 de janeiro de 2015.","Assessoria, da Procuradoria do Meio Ambiente, Patrimonio Urbanistico e Imobiliario e Saude",Procuradoria-Geral do Distrito Federal,por ter sido nomeada para outro cargo,STEPHANYE DE SOUZA MUNDIM DA COSTA,226.769-1,,23 de janeiro de 2015,,Assessor Tecnico,DFA-08,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O B-nome I-nome I-nome I-nome I-nome I-nome O O B-matricula O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao O O O O B-vigencia I-vigencia I-vigencia I-vigencia I-vigencia O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por ter sido nomeado para outro cargo, LEANDRO ZANNONI APOLINARIO DE ALENCAR, Procurador do Distrito Federal, matricula 140.674-4, Categoria I, do Cargo de Natureza Especial, Simbolo CNE-06, de Procurador-Chefe, do Centro de Estudos, da Procuradoria-Geral do Distrito Federal, a contar de 21 de janeiro de 2015.",Centro de Estudos,Procuradoria-Geral do Distrito Federal,por ter sido nomeado para outro cargo,LEANDRO ZANNONI APOLINARIO DE ALENCAR,140.674-4,,21 de janeiro de 2015,,Procurador-Chefe,CNE-06,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O B-nome I-nome I-nome I-nome I-nome O O O O O O O B-matricula O O O O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao O O O O B-vigencia I-vigencia I-vigencia I-vigencia I-vigencia O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, a pedido, MARIA YVELONIA DOS SANTOS ARAUJO BARBOSA do Cargo de Natureza Especial, Simbolo CNE-02, de Subsecretario, da Subsecretaria do Sistema Socioeducativo, da Secretaria de Estado de Politicas para Criancas, Adolescentes e Juventude do Distrito Federal.",Subsecretaria do Sistema Socioeducativo,"Secretaria de Estado de Politicas para Criancas, Adolescentes e Juventude do Distrito Federal",,MARIA YVELONIA DOS SANTOS ARAUJO BARBOSA,,,,,Subsecretario,CNE-02,a pedido,O O B-a_pedido_ou_nao I-a_pedido_ou_nao O B-nome I-nome I-nome I-nome I-nome I-nome O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por ter sido nomeada para outro cargo, LIVIA MELO DE SAMPAIO, matricula 178.816-6, do Cargo em Comissao, Simbolo DFA-12, de Assessor, da Assessoria, da Procuradoria do Meio Ambiente, Patrimonio Urbanistico e Imobiliario de Saude, da Procuradoria-Geral do Distrito Federal, a contar de 22 de janeiro de 2015.","Assessoria, da Procuradoria do Meio Ambiente, Patrimonio Urbanistico e Imobiliario de Saude",Procuradoria-Geral do Distrito Federal,por ter sido nomeada para outro cargo,LIVIA MELO DE SAMPAIO,178.816-6,,22 de janeiro de 2015,,Assessor,DFA-12,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O B-nome I-nome I-nome I-nome O O B-matricula O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao O O O O B-vigencia I-vigencia I-vigencia I-vigencia I-vigencia O
40_21.28.1.2015,21,28.1.2015,Ato_Exoneracao_Comissionado,"EXONERAR, por estar sendo nomeada para outro cargo, RENATA DE SOUZA SILVA do Cargo de Natureza Especial, Simbolo CNE-06, de Coordenador, da Coordenacao de Politicas de Saude Mental, tal, da Subsecretaria do Sistema Socioeducativo, da Secretaria de Estado de Politicas para Criancas, Adolescentes e Juventude do Distrito Federal.","Coordenacao de Politicas de Saude Mental, tal, da Subsecretaria do Sistema Socioeducativo","Secretaria de Estado de Politicas para Criancas, Adolescentes e Juventude do Distrito Federal",por estar sendo nomeada para outro cargo,RENATA DE SOUZA SILVA,,,,,Coordenador,CNE-06,,O O B-motivo I-motivo I-motivo I-motivo I-motivo I-motivo I-motivo O B-nome I-nome I-nome I-nome O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
