dodf,num_doc_dodf,data_doc_dodf,ato,texto_ato,hierarquia_lotacao,orgao,nome,matricula,cargo_efetivo,matricula_SIAPE,cargo_comissionado,simbolo,IOB
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR VALDECIR DA SILVA DUARTE para exercer o Cargo em Comissao, Simbolo DFA-14, de Assessor, da Assessoria de Planejamento, do Gabinete, da Administracao Regional de Brazlandia do Distrito Federal.","Assessoria de Planejamento, do Gabinete",Administracao Regional de Brazlandia do Distrito Federal,VALDECIR DA SILVA DUARTE,,,,Assessor,DFA-14,O B-nome I-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR NIVALDO SOARES DA CUNHA para exercer o Cargo em Comissao, Simbolo DFG14, 14, de Chefe, da Junta de Servico Militar, do Gabinete, da Administracao Regional de Brazlandia do Distrito Federal","Junta de Servico Militar, do Gabinete",Administracao Regional de Brazlandia do Distrito Federal,NIVALDO SOARES DA CUNHA,,,,Chefe,DFG14 14,O B-nome I-nome I-nome I-nome O O O O O O O O B-simbolo O O O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR CAMILA PEREIRA SILVA para exercer o Cargo de Natureza Especial, Simbolo CNE-06, de Chefe, da Assessoria de Comunicacao, do Gabinete, da Administracao Regional de Brazlandia do Distrito Federal.","Assessoria de Comunicacao, do Gabinete",Administracao Regional de Brazlandia do Distrito Federal,CAMILA PEREIRA SILVA,,,,Chefe,CNE-06,O B-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR MARCIO DE ARAUJO SILVA para exercer o Cargo de Natureza Especial, Simbolo CNE-06, de Chefe, da Assessoria Tecnica, do Gabinete, da Administracao Regional de Brazlandia do Distrito Federal.","Assessoria Tecnica, do Gabinete",Administracao Regional de Brazlandia do Distrito Federal,MARCIO DE ARAUJO SILVA,,,,Chefe,CNE-06,O B-nome I-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR SEBASTIAO NUNES DE OLIVEIRA para exercer o Cargo em Comissao, Simbolo DFA10, 10, de Assessor Tecnico, do Nucleo de Execucao de Obras, da Gerencia de Obras, da Coordenadoria Executiva, da Administracao Regional de Brazlandia do Distrito Federal.","Nucleo de Execucao de Obras, da Gerencia de Obras, da Coordenadoria Executiva",Administracao Regional de Brazlandia do Distrito Federal,SEBASTIAO NUNES DE OLIVEIRA,,,,Assessor Tecnico,DFA-,O B-nome I-nome I-nome I-nome O O O O O O O O O O O O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR WELISON ANTONIO DIAS para exercer o Cargo em Comissao, Simbolo DFG-12, de Chefe, do Nucleo de Manutencao e Conservacao, da Gerencia de Obras, da Coordenadoria Executiva, da Administracao Regional de Brazlandia do Distrito Federal.","Nucleo de Manutencao e Conservacao, da Gerencia de Obras, da Coordenadoria Executiva",Administracao Regional de Brazlandia do Distrito Federal,WELISON ANTONIO DIAS,,,,Chefe,DFG-12,O B-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR FRANCIDERIO BOTELHO AGUIAR para exercer o Cargo em Comissao, Simbolo DFA-10, de Assessor, do Nucleo de Manutencao e Conservacao, da Gerencia de Obras, da Coordenadoria nadoria Executiva, da Administracao Regional de Brazlandia do Distrito Federal.","Nucleo de Manutencao e Conservacao, da Gerencia de Obras, da Coordenadoria nadoria Executiva",Administracao Regional de Brazlandia do Distrito Federal,FRANCIDERIO BOTELHO AGUIAR,,,,Assessor,DFA-10,O B-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR ELISANGELA RODRIGUES RIBEIRO para exercer o Cargo em Comissao, Simbolo DFA-10, de Assessor Tecnico, da Gerencia de Licenciamento, da Coordenadoria Executiva, da Administracao Regional de Brazlandia do Distrito Federal.","Gerencia de Licenciamento, da Coordenadoria Executiva",Administracao Regional de Brazlandia do Distrito Federal,ELISANGELA RODRIGUES RIBEIRO,,,,Assessor Tecnico,DFA-10,O B-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR MONICA NEVES DA SILVA para exercer o Cargo em Comissao, Simbolo DFA-10, de Assessor Tecnico, do Nucleo de Licenciamento de Atividades Economicas, da Gerencia de Licenciamento, mento, da Coordenadoria Executiva, da Administracao Regional de Brazlandia do Distrito Federal.","Nucleo de Licenciamento de Atividades Economicas, da Gerencia de Licenciamento, mento, da Coordenadoria Executiva",Administracao Regional de Brazlandia do Distrito Federal,MONICA NEVES DA SILVA,,,,Assessor Tecnico,DFA-10,O B-nome I-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR VALDIVINO GOMES DE MORAES para exercer o Cargo em Comissao, Simbolo DFA10, 10, de Assessor Tecnico, do Nucleo de Topografia e Desenho Tecnico, da Gerencia de Licenciamento, da Coordenadoria Executiva, da Administracao Regional de Brazlandia do Distrito Federal","Nucleo de Topografia e Desenho Tecnico, da Gerencia de Licenciamento, da Coordenadoria Executiva",Administracao Regional de Brazlandia do Distrito Federal,VALDIVINO GOMES DE MORAES,,,,Assessor Tecnico,DFA-,O B-nome I-nome I-nome I-nome O O O O O O O O O O O O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR KELLY CRISTINA DIAS BARBOSA para exercer o Cargo em Comissao, Simbolo DFA06, 06, de Assessor Tecnico, da Gerencia de Articulacao, da Coordenadoria Executiva, da Administracao Regional de Brazlandia do Distrito Federal.","Gerencia de Articulacao, da Coordenadoria Executiva",Administracao Regional de Brazlandia do Distrito Federal,KELLY CRISTINA DIAS BARBOSA,,,,Assessor Tecnico,DFA06 06,O B-nome I-nome I-nome I-nome O O O O O O O O B-simbolo O O O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR ANTONIO JEFFERSON MOREIRA DE SOUZA para exercer o Cargo de Natureza Especial, Simbolo CNE-06, de Assessor Especial, da Coordenacao de Tribunais, da Consultoria Juridica, do Gabinete, da Governadoria do Distrito Federal",Coordenacao de Tribunais,"Consultoria Juridica, do Gabinete, da Governadoria do Distrito Federal",ANTONIO JEFFERSON MOREIRA DE SOUZA,,,,Assessor Especial,CNE-06,O B-nome I-nome I-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR LINARA OEIRAS ASSUNCAO para exercer o Cargo de Natureza Especial, Simbolo CNE-03, de Coordenador, da Coordenacao de Tribunais, da Consultoria Juridica, do Gabinete, da Governadoria do Distrito Federal","Coordenacao de Tribunais, da Consultoria Juridica","Gabinete, da Governadoria do Distrito Federal",LINARA OEIRAS ASSUNCAO,,,,Coordenador,CNE-03,O B-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR FERNANDA DA PENHA CORTES ALMEIDA para exercer o Cargo de Natureza Especial, Simbolo CNE-06, de Assessor Especial, da Coordenacao de Atividades Normativas, da Consultoria Juridica, do Gabinete, da Governadoria do Distrito Federal","Coordenacao de Atividades Normativas, da Consultoria Juridica, do Gabinete",Governadoria do Distrito Federal,FERNANDA DA PENHA CORTES ALMEIDA,,,,Assessor Especial,CNE-06,O B-nome I-nome I-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR JORGE JAIRO SOUZA MACHADO para exercer o Cargo em Comissao, Simbolo DFA06, 06, de Assessor Tecnico, do Gabinete, da Administracao Regional de Brazlandia do Distrito Federal.",Gabinete,Administracao Regional de Brazlandia do Distrito Federal,JORGE JAIRO SOUZA MACHADO,,,,Assessor Tecnico,DFA06 06,O B-nome I-nome I-nome I-nome O O O O O O O O B-simbolo O O O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR RANGEL ALVES DE ALARCAO para exercer o Cargo de Natureza Especial, Simbolo CNE-07, de Assessor Especial, da Assessoria Especial, do Gabinete, da Administracao Regional de Brazlandia do Distrito Federal.","Assessoria Especial, do Gabinete",Administracao Regional de Brazlandia do Distrito Federal,RANGEL ALVES DE ALARCAO,,,,Assessor Especial,CNE-07,O B-nome I-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR ELTON TAVARES DE OLIVEIRA para exercer o Cargo de Natureza Especial, Simbolo CNE-06, de Chefe, da Assessoria Especial, do Gabinete, da Administracao Regional de Brazlandia do Distrito Federal.","Assessoria Especial, do Gabinete",Administracao Regional de Brazlandia do Distrito Federal,ELTON TAVARES DE OLIVEIRA,,,,Chefe,CNE-06,O B-nome I-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR SORAIA MARTINS SANTOS para exercer o Cargo em Comissao, Simbolo DFA-14, de Assessor, da Assessoria Tecnica, do Gabinete, da Administracao Regional de Brazlandia do Distrito Federal.","Assessoria Tecnica, do Gabinete",Administracao Regional de Brazlandia do Distrito Federal,SORAIA MARTINS SANTOS,,,,Assessor,DFA-14,O B-nome I-nome I-nome O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR JANES DEAN RODRIGUES DE OLIVEIRA para exercer o Cargo de Natureza Especial, Simbolo CNE-07, de Assessor Especial, da Assessoria de Planejamento, do Gabinete, da Administracao Regional de Brazlandia do Distrito Federal.","Assessoria de Planejamento, do Gabinete",Administracao Regional de Brazlandia do Distrito Federal,JANES DEAN RODRIGUES DE OLIVEIRA,,,,Assessor Especial,CNE-07,O B-nome I-nome I-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado I-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
40_21.28.1.2015,21,28.1.2015,Ato_Nomeacao_Comissionado,"NOMEAR LEIBER ALVES DE SOUZA para exercer o Cargo de Natureza Especial, Simbolo CNE-05, de Coordenador, da Coordenadoria Executiva, da Administracao Regional do Itapoa do Distrito Federal.",Coordenadoria Executiva,Administracao Regional do Itapoa do Distrito Federal,LEIBER ALVES DE SOUZA,,,,Coordenador,CNE-05,O B-nome I-nome I-nome I-nome O O O O O O O O O B-simbolo O O B-cargo_comissionado O O B-hierarquia_lotacao I-hierarquia_lotacao O O B-orgao I-orgao I-orgao I-orgao I-orgao I-orgao I-orgao O
