,Texto
0,"xxbcet AVISO DE LICITAÇÃO xxecet
xxbcet PREGÃO ELETRÔNICO No 8/2012. xxecet
ACOMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL torna público
que realizará o Pregão Eletrônico PE-008/2012-CAESB, processo no 092.011281/2011, Aquisi-
ção de Reagentes Químicos e Vidrarias, conforme especificações técnicas constantes no Anexo
I(Pedido de Aquisição/Termo de Referência), por preço equalizado, por lote cotado. Data final
xxeob

xxbob
para Recebimento das Propostas: 26 de janeiro de 2012, às 08h30. Início da Sessão de Disputa:
26 de janeiro 2012, às 10h00. O edital e seus anexos poderão ser encontrados no site www.
licitacoes-e.com.br a partir do dia 12 de janeiro de 2012. Outras informações poderão ser obtidas
por meio do telefone (61) 3213-7275, email pregao(dcaesb.df.gov.br.
xxbcet Brasília/DF, 10 de janeiro de 2012. xxecet
xxbcet RAULINDO JUNIOR NAVES REZENDE xxecet
xxbcet Pregoeiro Caesb xxecet
xxeob

xxbob"
1,"xxbcet AVISO DO RESULTADO DE JULGAMENTO xxecet
xxbcet PREGÃO ELETRÔNICO No 582/2011. xxecet
O Pregoeiro comunica aos interessados que o Resultado do Julgamento do Pregão
acima citado encontra-se disponível no quadro de avisos desta Central de Licitações e
Compras, situada no Setor Bancário Sul, Quadra 02, Bloco “L”, 5o andar, Edifício Lino
Martins Pinto Brasília/DF e no site: www.compras.df.gov.br/editais/editais externos
—
ao e-compras. Processos 060.004.060/2011.
xxbcet Brasília/DF, 10 de janeiro de 2012. xxecet
xxbcet AUGUSTO CESAR PIRES ARANHA xxecet
xxeob

xxbob
xxbcet PREGÃO ELETRÔNICO No 589/2011. xxecet
O Pregoeiro comunica aos interessados que o Resultado do Julgamento do Pregão
acima citado encontra-se disponível no quadro de avisos desta Central de Licitações e
Compras, situada no Setor Bancário Sul, Quadra 02, Bloco “L”, 5o andar, Edifício Lino
Martins Pinto Brasília/DF e no site: www.compras.df.gov.br/editais/editais externos
—
ao e-compras. Processos 0150.001360/2011, 0080.005443/2011, 0094.001162/2011,
0054.001406/2011.
xxbcet Brasília/DF, 10 de janeiro de 2012. xxecet
xxbcet AUGUSTO CESAR PIRES ARANHA xxecet
xxeob

xxbob
xxbcet PREGÃO ELETRÔNICO No 617/2011. xxecet
O Pregoeiro comunica aos interessados que o resultado do julgamento do Pre-
gão acima citado encontra-se disponível no sistema eletrônico, no site www.
compras.df.gov.br/licitações/ andamento. Processos 131.000.478/2011 - RA IL e
080.006.629/2011 SEE.
-
xxbcet Brasília/DF, 10 de janeiro de 2012. xxecet
xxbcet JANILDO NUNES DA MOTA xxecet
xxeob

xxbob"
2,"xxbcet AVISO DO RESULTADO DE JULGAMENTO DESERTO xxecet
—
xxbcet PREGÃO ELETRÔNICO No 88/2011. xxecet
A Pregoeira comunica aos interessados que o Resultado do Julgamento do Pregão
acima citado encontra-se disponível no quadro de avisos desta Subsecretaria de
Licitações e Compras, situada no Setor Bancário Sul, Quadra 02, Bloco “L”, 5o
andar, Edifício Lino Martins Pinto Brasília/DF e no site: www.compras.df.gov.br/
—
editais/editais. A licitação restou Deserta pela segunda vez consecutiva. Processo
411.000.335/2010 SULIC.
-
xxbcet Brasília/DF, 10 de janeiro de 2012. xxecet
xxbcet LUCIMAR PINHEIRO DE DEUS xxecet
xxeob

xxbob"
3,"xxbcet AVISO DE LICITAÇÃO DESERTA xxecet
xxbcet PREGÃO PRESENCIAL No 79/2011. xxecet
A Pregoeira comunica aos interessados que o pregão acima citado, cujo objeto é a
Contratação de Empresa Especializada para a prestação dos serviços de manutenção
corretiva e/ou preventiva CARIMBO NUMERADOR ELETROMECÂNICO (CNE 07)
e CARIMBO DATADOR NUMERADOR (CDN 07), com aplicação de peças e aces-
sórios originais. processo 411.000.075/2011, restou novamente deserto conforme atas
disponibilizadas no endereço eletrônico www.compras.df.gov.br/licitações/andamento.
xxbcet Brasília, 10 de janeiro de 2011. xxecet
xxbcet SINÉSIA ARAÚJO ALVES xxecet
xxeob

xxbob"
4,"xxbcet AVISO DE LICITAÇÃO NOVA DATA xxecet
-
xxbcet PREGÃO ELETRÔNICO No 648/2011. xxecet
O Pregoeiro comunica aos interessados que a nova abertura do Pregão em
epigrafe, processos 052.001.530/2011, 056.000.467/2011 063.000.468/2011,
070.001.495/2011, 070.001.577/2011, 072.000.466/2011, 360.000.792/2011,
380.002.582/2011, 0391.000.803/2011, 0391.000.846/2011, 0391.001.302/2011, cujo
objeto é aquisição de aparelhos de medição e orientação (abrigo meteorológico para
sensor de umidade e temperatura, balança eletrônica analítica, balança eletrônica
digital, mini estação meteorológica de mão, multimetro digital, termo-higrômetro
com data logger, termômetro infravermelho, trena eletrônica, aparelho de sistema
de posicionamento global ""GPS”, aparelho telefônico com fio, aparelho telefônico
sem fio, aparelho transceptor de fac-símile, GPS, megafone, rádio comunicador,
rádio transceptor, receptor de GPS Geodésico) conforme especificações e condições
estabelecidas no termo de referência constante do Anexo I do Edital, será dia 31 de
janeiro de 2012 às 8h30min. Ressalta-se que o certame encontrava-se adiado “Sine
Die”. O respectivo Edital poderá ser retirado exclusivamente no endereço eletrônico:
www.compras.df.gov.br. Informações referentes ao cadastro ou ao site, através do
telefone 0xx(61) 3312.5325/5329.
xxbcet Brasília/DF, 10 de janeiro de 2012. xxecet
xxbcet EDMAR FIRMINO LIMA xxecet
xxeob

xxbob"
5,"xxbcet AVISO DE LICITAÇÃO TORNAR SEM EFEITO xxecet
xxbcet - xxecet
O Pregoeiro no uso de suas atribuições legais vem a público informar que, TORNA-SE
SEM EFEITO a publicação do AVISO DE LICITAÇÃO PREGÃO ELETRÔNICO No
628/2011, veiculado no Diário Oficial do Distrito Federal, edição no 6 do dia 09/01/2012,
tendo em vista erro na numeração do Edital.
xxbcet Brasília/DF, 10 de janeiro de 2012. xxecet
xxbcet AUGUSTO CESAR PIRES ARANHA xxecet
xxeob

xxbob"
6,"xxbcet AVISO DE LICITAÇÃO xxecet
xxbcet PREGÃO ELETRÔNICO No 683/2011. xxecet
Objeto: Aquisição de material de consumo — MATERIAL DE EXPEDIENTE (apon-
tador de lápis, bandeja expediente, caderno escolar, caneta, carimbo, papel camurça
pasta catálogo, etc), conforme especificações e condições estabelecidas no termo de
referência constante do Anexo I do Edital. Data e horário para recebimento das propos-
tas: 9h do dia 23 de janeiro de 2012, processos 360.000580/2011, 141.003.427/2011 e
360.000486/2011. O respectivo Edital poderá ser retirado exclusivamente no endereço
eletrônico: www.compras.df.gov.brhttp: //www.compras.df.gov.br/. Informações pelo
telefone 0xx(61) 3312.5275.
xxbcet Brasília/DF, 10 de janeiro de 2012. xxecet
xxbcet AUGUSTO CESAR PIRES ARANHA xxecet
xxbcet Pregoeiro xxecet
xxeob

xxbob
COORDENAÇÃO DE PROGRAMAÇÃO, REGISTRO E PESQUISA DE PREÇOS
xxeob

xxbob"
7,"xxbcet AVISO DE LICITAÇÃO-REPETIÇÃO xxecet
xxbcet CONVITE N.o 19/01 xxecet
xxeob

xxbob
Objeto: AQUISIÇÃO DE MATERIAL PERMANENTE: COLEÇÕES, MATERIAIS BIBLIOGRÁFI-
COS, DISCOTECAS E FILMOTECAS: (livros) ; Grupo 61 Abertura: 07/02/01 às 15:00 horas. O
respectivo Ato Convocatório poderá ser retirado mediante a apresentação do Certificado de Registro
Cadastral (CRC) emitido pelo Governo do Distrito Federal ou Certificado equivalente, expedido por
órgão ou entidade pública, que estará a disposição dos licitantes no Núcleo de Licitação da Central de
Compras do Distrito Federal, à SIG Qd. 06 lote 2.310 sala 05, até 24 (vinte e quatro) horas antes da
abertura do envelope de proposta de preços, das 08:00 às 18:00 horas, ou pelo endereço eletrônico:
http:/hwwrw. fazenda df.gov.br. As empresas e ou representantes que adquirirem o edital via Internet se
obrigam a acompanharem o Diário Oficial do Distrito Federal à possíveis alterações, e no dia da abertura
do envelope contendo a proposta de preços, trazer o Certificado de Registro Cadastral ou Certificado
equivalente. )
xxeob

xxbob
Brasília, 29 de janeiro de 2001
DORNELIO LEMOS DO PRADO
Comissão Permanente de Licitação de Convite
Vice-Presidente
xxeob

xxbob"
8,"xxbcet AVISO DE JULGAMENTO xxecet
Comunicamos aos interessados que após análise dos procedimentos licitatórios da Concorrência no
60/2008 ASCAL/PRES,, foi julgado vencedor do certame o consórcio: CAENGE S/A CONS-
—
TRUÇÃO, ADMINISTRAÇÃO E ENGENHARIA/CONSTRUTORA IPÊ LTDA, com o valor
global de R$ 18.788.617,54.
-
xxbcet Brasília, 20 de fevereiro de 2009. xxecet
xxbcet FELIX VIEIRA DE ALMEIDA xxecet
xxbcet Assessor xxecet
xxeob

xxbob
xxbcet CEB DISTRIBUIÇÃO S.A. xxecet
xxeob

xxbob"
9,"xxbcet AVISO DE LICITAÇÃO xxecet
xxbcet PREGÃO ELETRÔNICO No 68/2009. xxecet
Objeto: Contratação de empresa para prestação de serviços de telefonia fixa comutada, na modali-
dade local, conforme condições, quantidades e especificações constantes do anexo I do edital.
Horário e data para recebimento das propostas: até 14h30min do dia 09 de março de 2009, processo
391.001.331/2008-IBRAM. O respectivo edital poderá ser retirado exclusivamente no endereço
eletrônico: www.compras.df.gov.br, mediante pré-cadastro realizado no referido site para partici-
pação da licitação. Informações referentes ao cadastro ou ao site, através do telefone 3312.5325.
xxbcet Brasília/DF, 20 de fevereiro de 2009. xxecet
xxbcet HAROLDO DA SILVA xxecet
xxbcet Pregoeiro xxecet
xxeob

xxbob"
