,Tipo do Ato,Id Ato,DODF,Data Ato/DODF,Processo GDF/SEI,Tipo,Modo de Disputa,Objeto,Valor Estimado,Texto,Redator
0,AVISO DE ABERTURA DE LICITACAO,,2021\01_Janeiro\DODF 003 06-01-2021 1,05 de janeiro de 2021,0005000011038202083, Menor Preco, Aberto,,,"AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 55/2020 Processo: 0005000011038202083. TIPO: Menor Preco. MODO DE DISPUTA: Aberto. OBJETO: Aquisicao de bens de imagem, iluminacao e sonorizacao, visando atender demanda da Secretaria de Estado de Seguranca Publica do Distrito Federal. VALOR ESTIMADO: Sigiloso. PRAZOS: De entrega: 30 (trinta) dias corridos contados do recebimento da nota de empenho ou da assinatura do contrato. Do Contrato: 90 (noventa) dias a partir da data da assinatura. DATA DA SESSAO PUBLICA: 18/01/2021 as 09:00 horas no www.gov.br/compras. UASG 450107. Edital tambem esta disponivel no http://www.ssp.df.gov.br/licitacoes/. Brasilia/DF, 05 de janeiro de 2021 FERNANDO CESAR NEVES ",
1,AVISO DE ABERTURA DE LICITACAO,,2021\01_Janeiro\DODF 005 08-01-2021 1,07 de janeiro de 2021,0005000032913202061, Menor Preco, Aberto,,"
Sigiloso","AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 57/2020 Processo: 0005000032913202061. TIPO: Menor Preco. MODO DE DISPUTA: Aberto. OBJETO: Registro de Precos para futura contratacao de empresa especializada, no fornecimento com instalacao de licencas do software Milestone Xprotect e atualizacao da base existente, com as seguintes licencas: 1 (uma) licenca basica, 840 (oitocentos e quarenta) licencas de dispositivo de hardware, com suporte por no minimo 36 (trinta e seis) meses, aquisicao de 1000 (mil) novas licencas de dispositivo de hardware, com suporte de 36 (trinta e seis) meses, para o software Milestone XProtect Corporate, 1.000 (mil) Licencas Milestone Xprotect de suporte por dispositivo adicional, mais Servico de instalacao, suporte e configuracoes de pacote, para atender demanda da Secretaria de Estado da Seguranca Publica do Distrito Federal SSP/DF. VALOR ESTIMADO: Sigiloso. PRAZOS: De entrega: ate 30 (trinta) dias corridos contados do recebimento da nota de empenho ou da assinatura do contrato. Do Contrato: 36 (trinta e seis) meses a partir da data da assinatura. DATA DA SESSAO PUBLICA: 20/01/2021 as 10:00 horas no www.gov.br/compras. UASG 450107. Edital tambem esta disponivel no http://www.ssp.df.gov.br/licitacoes/. Brasilia/DF, 07 de janeiro de 2021 FERNANDO CESAR NEVES ",
2,AVISO DE ABERTURA DE LICITACAO,,2021\01_Janeiro\DODF 008 13-01-2021 1,13-01-2021,0005000005354202016, Menor Preco, Aberto,, Sigiloso,"AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 45/2020 Processo: 0005000005354202016. TIPO: Menor Preco. MODO DE DISPUTA: Aberto. OBJETO: Aquisicao de equipamentos para estudio de gravacao de som imagem e edicao, tripe para camera, chromakey, carregador de pilhas, kit estudio (kit iluminador para filmagem), microfone sem fio, microfone de lapela, drone, teleprompter profissional, camera fotografica profissional, ponto eletronico para ouvido, ar condicionado, visando atender demanda da Secretaria de Estado de Seguranca Publica do Distrito Federal VALOR ESTIMADO: Sigiloso. PRAZOS: De entrega: nao superior a 30 (trinta) dias corridos contados do recebimento da nota de empenho ou da assinatura do contrato. Do Contrato: 90 (noventa) dias a partir da data da assinatura. DATA DA SESSAO PUBLICA: 25/01/2021 as 10:00 horas no www.gov.br/compras. UASG 450107. Edital tambem esta disponivel no http://www.ssp.df.gov.br/licitacoes/. Brasilia/DF,12 de janeiro de 2021 FERNANDO CESAR NEVES ",
3,AVISO DE ABERTURA DE LICITACAO,,2021\01_Janeiro\DODF 009 14-01-2021 1,14-01-2021,0006300004536202058,,,,,"AVISO DE ABERTURA DE LICITACAO No 01/2021 - UASG 926334 A FUNDACAO HEMOCENTRO DE BRASILIA, torna publico a realizacao de Licitacao, por Menor Preco por Item, para registro de precos para eventual aquisicao de materiais tecnicos para a Fundacao Hemocentro de Brasilia, de acordo com as condicoes, quantidades e exigencias estabelecidas no Edital e seus anexos; Processo: 0006300004536202058. Valor de R$ 449.256,00 (quatrocentos e quarenta e nove mil duzentos e cinquenta e seis reais). Data limite de recebimento das propostas ate as 10:00 horas do dia 02/02/2021. O Edital encontra-se disponibilizado, no sitio: www.gov.br/compras, no sitio www.fhb.df.gov.br e no endereco: Setor Medico Hospitalar Norte-SMHN, Quadra 03, Conjunto A, Bloco 03, Asa Norte CEP 70710- 908 Brasilia/DF. A sessao Publica sera processada no dia 02/02/2021 as 10:00 horas no sitio do Compras Governamentais, nos termos do Edital. HENRIQUE SANJIRO YUZUKI FARIAS ",
4,AVISO DE ABERTURA DE LICITACAO,,2021\01_Janeiro\DODF 014 21-01-2021 1,21-01-2021,0402600022953202025, Menor Preco,,, Sigiloso,"AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 02/2021 Processo: 0402600022953202025. TIPO: Menor Preco. OBJETO: Registro de Precos para futura aquisicao de materiais de higiene pessoal e limpeza e conservacao, cama, copa, leite materno infantil, escolar e de atividade esportiva para atender demanda dos internos do Sistema Penitenciario da Secretaria de Estado de Administracao Penitenciaria do Distrito Federal - SEAPE-DF. VALOR ESTIMADO: Sigiloso. PRAZOS: De entrega: nao superior a 30 (trinta) dias corridos contados do recebimento da nota de empenho ou da assinatura do contrato. Do Contrato: 90 (noventa) dias a partir da data da assinatura. DATA DA SESSAO PUBLICA: 02/02/2021 as 10:00 horas no www.gov.br/compras. UASG 928082. Edital tambem esta disponivel no http://www.seape.df.gov.br/licitacao/. LUCIANA CRISTINA AGUIAR DE CARVALHO ",
5,AVISO DE ABERTURA DE LICITACAO,,2021\01_Janeiro\DODF 015 22-01-2021 1,20 de janeiro de 2021,0011100007005202011," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de obras para remanejamento de infraestrutura de energia
eletrica",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100007005202011 Modalidade/numero: Licitacao Presencial no 40/2020 - republicacao Tipo: Menor Preco Objeto: Contratacao de obras para remanejamento de infraestrutura de energia eletrica, no Setor Habitacional Bernardo Sayao Lote 01, Guara / RA X - Distrito Federal, na forma de execucao indireta, sob regime de empreitada por preco global, conforme prescricoes contidas no presente documento e ainda em padroes, normas e especificacoes tecnicas vigentes Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 16/02/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 20 de janeiro de 2021 GLAUBER TEODORO FARIA Presidente da Comissao SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL CONSELHO DE ASSISTENCIA SOCIAL ",
6,AVISO DE ABERTURA DE LICITACAO,,2021\01_Janeiro\DODF 016 25-01-2021 1,22 de janeiro de 2021,0011100002457201884," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de servicos de execucao de Projeto de Educacao e
Engenharia Ambiental  PEA e de elaboracao de Plano de
Recuperacao de Areas Degradadas  PRAD para o Setor Habitacional
Sao Bartolomeu  Trecho I
<END_OF_BLOCK>
Valor estimado (R$):
O valor estimado e sigiloso nos termos do Art",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100002457201884 Modalidade/numero: Licitacao Presencial no 7/2019 Tipo: Menor Preco Objeto: Contratacao de servicos de execucao de Projeto de Educacao e Engenharia Ambiental PEA e de elaboracao de Plano de Recuperacao de Areas Degradadas PRAD para o Setor Habitacional Sao Bartolomeu Trecho I Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 16/02/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 22 de janeiro de 2021 GLAUBER TEODORO FARIA Presidente da Comissao SECRETARIA DE ESTADO DE ESPORTE E LAZER ",
7,AVISO DE ABERTURA DE LICITACAO,,2021\01_Janeiro\DODF 018 27-01-2021 1,25 de janeiro de 2021,0011100005229202081," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de obras para implantacao de infraestrutura de
energia eletrica na QD 201 e na QN 317",,,"
","AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100005229202081 Modalidade/numero: Licitacao Presencial no 32/2020 Tipo: Menor Preco Objeto: Contratacao de obras para implantacao de infraestrutura de energia eletrica na QD 201 e na QN 317, em Samambaia / RA- XII - Distrito Federal, na forma de execucao indireta, sob regime de empreitada por preco global, conforme prescricoes contidas no presente documento e ainda em padroes, normas e especificacoes tecnicas vigentes, conforme lotes abaixo. Lote A, sera composto pela execucao da rede aerea de distribuicao primaria (AT) compacta e secundaria (BT) isolada para atender a QD 201, em Samambaia / RA-XII - Distrito Federal. Lote B, sera composto pela execucao da rede aerea de distribuicao primaria (AT) compacta e secundaria (BT) isolada para atender a QN 317, em Samambaia / RA-XII - Distrito Federal.  PAGINA 38 Diario Oficial do Distrito Federal         No 18, QUARTA-FEIRA, 27 DE JANEIRO DE 2021 Documento assinado digitalmente, original em https://www.dodf.df.gov.br Valor estimado (R$): Data/hora de abertura: 23/02/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 25 de janeiro de 2021 GLAUBER TEODORO FARIA Presidente da Comissao SECRETARIA DE ESTADO DE ",
8,AVISO DE ABERTURA DE LICITACAO,,2021\01_Janeiro\DODF 020 29-01-2021 1,27 de janeiro de 2021,0011100001725202065," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Aquisicao de bens",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100001725202065 Modalidade/numero: Pregao Eletronico no 14/2020-Republicacao Tipo: Menor Preco Objeto: Aquisicao de bens, equipamentos e servicos, conforme especificacoes tecnicas abaixo, fornecidas pelo Parque Nacional de Brasilia - PNB, para cumprimento do Termo de Ajustamento de Conduta TAC no 001/2012-Ibram/Terracap. Valor estimado (R$): O valor estimado e R$ 112.324,16 (Cento e doze mil, trezentos e vinte e quatro reais e dezesseis centavos). Data/hora de abertura: 24/02/2021, as 10:00 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 27 de janeiro de 2021 GLAUBER TEODORO FARIA Presidente da Comissao AVISOS DE ABERTURA DE LICITACAO ",
9,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 021 01-02-2021 1,29 de janeiro de 2021,0005000013305201913, Menor Preco," Combinado
(Aberto/Fechado)",,,"AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 01/2021 Processo: 0005000013305201913. TIPO: Menor Preco. Modo de disputa: Combinado (Aberto/Fechado). OBJETO: Contratacao de empresa especializada na prestacao de servicos de transporte de pessoas e cargas (sem fornecimento de veiculo), recepcao e carregador/chapa, a serem desempenhados de forma continua, para atender as unidades que compoem a Secretaria de Estado de Seguranca Publica do Distrito Federal. VALOR TOTAL ESTIMADO: R$ 1.188.658,08. DOTACAO: UO 24.101 SSP/DF. PROG. TRAB.: 06.122.8217.8517.0135. N.D. 3.3.90.37. F.R.: 100. PRAZOS: De Execucao: Diariamente, de acordo com o Anexo I do Edital. Vigencia do contrato: 12 meses podendo ser prorrogado. DATA DA SESSAO PUBLICA: dia 12/02/2021, as 10h00min no https://www.gov.br/compras/pt-br/. UASG 450107. O Edital esta disponivel no endereco acima e no http://licitacoes.ssp.df.gov.br. Brasilia/DF, 29 de janeiro de 2021 AMILCAR UBIRATAN URACH VIEIRA ",
