,processo,objeto,valor_estimado,prazo,tipo,data,texto
0,00050-00010640/2018-89," Aquisicao de antivirus corporativo
com ePolicy Orchestrator (ePO) incluindo manutencao ""on-site"", com upgrade para versao mais atual e
atualizacao de assinaturas e demais modulos da solucao, alem de garantia por um periodo minimo de 12 (doze)
meses, conforme especificacoes e condicoes estabelecidas no Termo de Referencia constante do Anexo I do
Edital","143.002,50"," no maximo 45 (quarenta e cinco) dias corridos,
contados a partir da assinatura do contrato. Vigencia do Contrato: 12 meses podendo ser prorrogado. ", Menor Preco,nan,"
PREGAO ELETRONICO No 18/2018
PROCESSO: 00050-00010640/2018-89. TIPO: Menor Preco. OBJETO: Aquisicao de antivirus corporativo
com ePolicy Orchestrator (ePO) incluindo manutencao ""on-site"", com upgrade para versao mais atual e
atualizacao de assinaturas e demais modulos da solucao, alem de garantia por um periodo minimo de 12 (doze)
meses, conforme especificacoes e condicoes estabelecidas no Termo de Referencia constante do Anexo I do
Edital. VALOR ESTIMADO: R$ 143.002,50. PRAZOS: no maximo 45 (quarenta e cinco) dias corridos,
contados a partir da assinatura do contrato. Vigencia do Contrato: 12 meses podendo ser prorrogado. DATA DA
SESSAO PUBLICA: 24/01/2019 as 09:00 horas no www.comprasgovernamentais.gov.br. UASG 450107"
1,00050-00157602/2017-06," Registro de Precos para
prestacao de servico de renovacao de carteira nacional de habilitacao (CNH) categorias ""D"" e ""E""; e
habilitacao (CNH) categorias ""D"" e ""E""; e mudanca de CNH para categoria ""D"" e ""E"" para servidores do
Sistema Penitenciario do Distrito Federal","305.859,50"," Inicio da
execucao: ate 15 dias corridos contados da assinatura do contrato. Vigencia: da Ata de Registro de Precos:
12 meses; do Contrato: 150 (cento e cinquenta) dias a partir da data da assinatura. ", Menor Preco,nan,"
PREGAO ELETRONICO No 09/2018-SSPDF
COM TRATAMENTO FAVORECIDO E DIFERENCIADO A ME E EPP
PROCESSO SEI-GDF: 00050-00157602/2017-06. TIPO: Menor Preco. OBJETO: Registro de Precos para
prestacao de servico de renovacao de carteira nacional de habilitacao (CNH) categorias ""D"" e ""E""; e
habilitacao (CNH) categorias ""D"" e ""E""; e mudanca de CNH para categoria ""D"" e ""E"" para servidores do
Sistema Penitenciario do Distrito Federal. VALOR ESTIMADO: R$ 305.859,50. PRAZOS: Inicio da
execucao: ate 15 dias corridos contados da assinatura do contrato. Vigencia: da Ata de Registro de Precos:
12 meses; do Contrato: 150 (cento e cinquenta) dias a partir da data da assinatura. DATA DA SESSAO
PUBLICA: 29/01/2019 as 09:30 horas no www.comprasgovernamentais.gov.br. UASG 450107. Edital esta
disponivel no endereco acima e no http://licitacoes.ssp.df.gov.br"
2,00050-00152443/2017-55," Registro de Precos para
futura aquisicao de materiais para manutencao e conservacao de bens imoveis (materiais eletricos, escadas,
gesso, massa de acabamento, parafusos e ferramentas de construcao), visando atender o Sistema
Penitenciario do Distrito Federal e os bens imoveis da Secretaria de Estado da Seguranca Publica e da Paz
Social","137.117,34"," Entrega: ate 30 dias corridos contados do
recebimento da Nota de Empenho e/ou da assinatura do contrato. Vigencia: da Ata de Registro de Precos:
12 meses; do Contrato: 90 (noventa) dias a partir da data da assinatura. ", Menor Preco,nan,"
PREGAO ELETRONICO No 02/2019
REPETICAO DOS ITENS FRACASSADOS DO PE No 16/2018-SSPDF
COM TRATAMENTO FAVORECIDO E DIFERENCIADO A ME E EPP
PROCESSO SEI-GDF: 00050-00152443/2017-55. TIPO: Menor Preco. OBJETO: Registro de Precos para
futura aquisicao de materiais para manutencao e conservacao de bens imoveis (materiais eletricos, escadas,
gesso, massa de acabamento, parafusos e ferramentas de construcao), visando atender o Sistema
Penitenciario do Distrito Federal e os bens imoveis da Secretaria de Estado da Seguranca Publica e da Paz
Social. VALOR ESTIMADO: R$ 137.117,34. PRAZOS: Entrega: ate 30 dias corridos contados do
recebimento da Nota de Empenho e/ou da assinatura do contrato. Vigencia: da Ata de Registro de Precos:
12 meses; do Contrato: 90 (noventa) dias a partir da data da assinatura. DATA DA SESSAO PUBLICA:
28/01/2019 as 09:30 horas no www.comprasgovernamentais.gov.br. UASG 450107. Edital esta disponivel
no endereco acima e no http://licitacoes.ssp.df.gov.br"
3,00050-00020438/2018-65," Registro de Precos de material de
construcao para manutencao das unidades prisionais do Sistema Penitenciario do Distrito Federal","530.015,15"," Entrega: ate 30 dias corridos contados do recebimento da Nota de
Empenho. Vigencia: da Ata de Registro de Precos: 12 meses; do Contrato: 90 (noventa) dias a partir da
data da assinatura. ", Menor Preco,nan," -SRP
PREGAO ELETRONICO No 03/2019-SSPDF
Repeticao dos itens fracassados do PE no 26/2018
Com tratamento favorecido e diferenciado de ME/EPP
PROCESSO: 00050-00020438/2018-65. TIPO: Menor Preco. OBJETO: Registro de Precos de material de
construcao para manutencao das unidades prisionais do Sistema Penitenciario do Distrito Federal. VALOR
ESTIMADO: R$ 530.015,15. PRAZOS: Entrega: ate 30 dias corridos contados do recebimento da Nota de
Empenho. Vigencia: da Ata de Registro de Precos: 12 meses; do Contrato: 90 (noventa) dias a partir da
data da assinatura. DATA DA SESSAO  PUBLICA: 01/02/2019 as 09:30 horas no
www.comprasgovernamentais.gov.br. UASG 450107. Edital esta disponivel no endereco acima e no
h t t p : / / l i c i t a c o e s . s s p . d f . g o v. b r"
4,00050-00027382/2018-70," Registro de Precos para futura
aquisicao de equipamentos para implementacao de Oficinas de Corte e Costura nas Unidades
Prisionais do DF, visando atender demanda proveniente dos Convenios no 774","49.950,66","
Entrega: ate 30 dias corridos contados da assinatura do contrato. Vigencia: da Ata de Registro de
Precos: 12 meses; do Contrato: 120 (cento e vinte) dias a partir da data da assinatura. ", Menor Preco,nan,"
PREGAO ELETRONICO No 04/2019-SSPDF
REPETICAO DOS ITENS FRACASSADOS NO PE 46/2018
PARTICIPACAO EXCLUSIVA DE ME/EPP
PROCESSO: 00050-00027382/2018-70. TIPO: Menor Preco. OBJETO: Registro de Precos para futura
aquisicao de equipamentos para implementacao de Oficinas de Corte e Costura nas Unidades
Prisionais do DF, visando atender demanda proveniente dos Convenios no 774.198/2012 e
822.743/2015, firmados entre a Uniao por meio do Ministerio da Justica e o Distrito Federal por meio
da Secretaria de Estado de Seguranca Publica. VALOR ESTIMADO: R$ 49.950,66. PRAZOS:
Entrega: ate 30 dias corridos contados da assinatura do contrato. Vigencia: da Ata de Registro de
Precos: 12 meses; do Contrato: 120 (cento e vinte) dias a partir da data da assinatura. DATA DA
SESSAO PUBLICA: 05/02/2019 as 09:30 horas no www.comprasgovernamentais.gov.br. UASG
450107. Edital esta disponivel no endereco acima e no http://licitacoes.ss p . d f . g o v. b r"
5,00050-00151539/2017-04," Registro de Precos para futura
aquisicao de equipamentos e ferramentas para implementacao de Oficinas de Serralheria nas Unidades
Prisionais do DF, visando atender demanda proveniente da Coordenacao de Engenharia da
Subsecretaria de Administracao Geral da SSP e dos Convenios no","174.876,57",nan, Menor Preco,nan,"
PREGAO ELETRONICO No 06/2019-SSPDF
REPETICAO DOS ITENS FRACASSADOS NO PE 43/2018
PARA PARTICIPACAO EXCLUSIVA DE ME/EPP
PROCESSO: 00050-00151539/2017-04. TIPO: Menor Preco. OBJETO: Registro de Precos para futura
aquisicao de equipamentos e ferramentas para implementacao de Oficinas de Serralheria nas Unidades
Prisionais do DF, visando atender demanda proveniente da Coordenacao de Engenharia da
Subsecretaria de Administracao Geral da SSP e dos Convenios no. 813708/2014 e 822743/2015,
firmados entre a Uniao por meio do Ministerio da Justica e o Distrito Federal por meio da Secretaria
de Estado de Seguranca Publica do Distrito Federal - SSPDF. VALOR ESTIMADO: R$ 174.876,57"
6,00401-00019051/2018-39," Contratacao de empresa especializada para o
fornecimento, sob demanda, de coffee break, em atendimento as necessidades da Defensoria Publica
do Distrito Federal, em eventos de capacitacao, como treinamentos, cursos, seminarios e reunioes
tecnicas de interesses imbricados com as finalidades institucionais da DPDF, segundo a missao
expressa no art","35.437,50",nan, de Licitacao: Menor Preco,nan,"
PREGAO ELETRONICO No 01/2019
(UASG: 926314)
Processo: 00401-00019051/2018-39 . Objeto: Contratacao de empresa especializada para o
fornecimento, sob demanda, de coffee break, em atendimento as necessidades da Defensoria Publica
do Distrito Federal, em eventos de capacitacao, como treinamentos, cursos, seminarios e reunioes
tecnicas de interesses imbricados com as finalidades institucionais da DPDF, segundo a missao
expressa no art. 134 da CF/88, conforme condicoes, quantidades, exigencias e especificacoes tecnicas
estabelecidas em Edital e seus anexos. Valor total do contrato estimado: R$ 35.437,50 (trinta e cinco
mil quatrocentos e trinta e sete reais e cinquenta centavos). Tipo de Licitacao: Menor Preco. Regime
de Execucao: Empreitada por Preco Global. Data e horario de abertura do certame as 10h do dia 07
de fevereiro de 2019. O Edital  podera ser retirado nos enderecos eletronicos
www.comprasgovernamentais.gov.br. Informacoes pelo telefone: (61) 2196-4387"
7,nan," Contratacao de empresa especializada para o fornecimento de
medicamentos e insumos medicos, sob demanda, para atendimento do Setor de Assistencia a Saude da
CLDF, conforme Termo de Referencia, Anexo I do Edital","14.180,80",nan," menor
preco global",nan,"
PREGAO ELETRONICO No 02/2019
Processo: 001-000813/2018. Objeto Contratacao de empresa especializada para o fornecimento de
medicamentos e insumos medicos, sob demanda, para atendimento do Setor de Assistencia a Saude da
CLDF, conforme Termo de Referencia, Anexo I do Edital. Valor estimado: R$ 14.180,80. Data/hora da
Sessao Publica: 19/02/2019, as 14:30. Local: Internet, no endereco www.comprasnet.gov.br. Tipo: menor
preco global. O edital encontra-se nos enderecos: www.comprasnet.gov.br (UASG 974004) e
www.cl.df.gov.br, no link transparencia. Maiores informacoes (61) 3348-8650. Brasilia/DF, 01/02/2019"
8,nan," Aquisicao de aparelhos de video e imagem para ser (em) utilizado(s)
pela Subsecretaria de Regularizacao Fundiaria em treinamentos, apresentacoes e reunioes relacionada ao
processo de regularizacao de ocupacao das terras publicas rurais do Distrito Federal, conforme
quantitativos e especificacoes contidas no Termo de Referencia e demais Anexos que integram o edital,
com valor Total de, R$ 23",nan,nan," MENOR
PRECO por item, na modalidade de PREGAO na forma ELETRONICA, EXCLUSIVO PARA
ENTIDADES PREFERENCIAIS AMPARADAS PELA LEI COMPLEMENTAR No 123/2006, com
previsao de abertura do certame para 20/02/2019, 09h00min, horario de Brasilia, Processo 00070-
00011320/2018-71 (SEI)",nan," (UASG) 926523
PREGAO ELETRONICO No 01/2019
A SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO
RURAL DO DISTRITO FEDERAL - SEAGRI/DF, torna publico a abertura de licitacao do tipo MENOR
PRECO por item, na modalidade de PREGAO na forma ELETRONICA, EXCLUSIVO PARA
ENTIDADES PREFERENCIAIS AMPARADAS PELA LEI COMPLEMENTAR No 123/2006, com
previsao de abertura do certame para 20/02/2019, 09h00min, horario de Brasilia, Processo 00070-
00011320/2018-71 (SEI). OBJETO: Aquisicao de aparelhos de video e imagem para ser (em) utilizado(s)
pela Subsecretaria de Regularizacao Fundiaria em treinamentos, apresentacoes e reunioes relacionada ao
processo de regularizacao de ocupacao das terras publicas rurais do Distrito Federal, conforme
quantitativos e especificacoes contidas no Termo de Referencia e demais Anexos que integram o edital,
com valor Total de, R$ 23.170,61 (vinte e tres mil cento e setenta reais e sessenta e um centavos). O Edital
podera ser retirado a partir da sua publicacao no endereco: www.comprasnet.gov.br. e portal da
SEAGRI/DF, ""Edital"""
9,nan," Aquisicao de generos alimenticios pereciveis (pao do tipo careca e pao do tipo brioche) por meio
de Registro de Precos para o Programa de Alimentacao Escolar do Distrito Federal (PAE-DF), conforme
especificacoes e condicoes estabelecidas neste Edital e seus Anexos, no valor global estimado de R$
6","6.553.908,75",nan," careca e pao do tipo brioche) por meio
de Registro de Precos para o Programa de Alimentacao Escolar do Distrito Federal (PAE-DF), conforme
especificacoes e condicoes estabelecidas neste Edital e seus Anexos, no valor global estimado de R$
6",nan,"
PREGAO ELETRONICO SRP No 01/2019
(UASG 450432)
Objeto: Aquisicao de generos alimenticios pereciveis (pao do tipo careca e pao do tipo brioche) por meio
de Registro de Precos para o Programa de Alimentacao Escolar do Distrito Federal (PAE-DF), conforme
especificacoes e condicoes estabelecidas neste Edital e seus Anexos, no valor global estimado de R$
6.553.908,75 (seis milhoes, quinhentos e cinquenta e tres mil, novecentos e oito reais e setenta e cinco
centavos), com data e horario marcado para abertura do certame as 10h do dia 20 de fevereiro de 2019,
objeto do procedimento administrativo no 0080-00179151/2018-39 . O Edital podera ser retirado
exclusivamente no endereco eletronico https://www.comprasgovernamentais.gov.br, Informacoes referentes
ao cadastro para participacao e demais procedimentos serao obtidas atraves do endereco
https://www.comprasgovernamentais.gov.br. Brasilia - DF"
