,treated_text
8,"Espécie: Contrato Nº 166/2008-CEB DISTRIBUIÇÃO. Partes: CEB DISTRIBUIÇÃO S/ Aea ISOLET INDÚSTRIA E COMÉRCIO LTDA. Processo: 310001939/2008. Pregão nº 34/2008, regidos pela Lei nº 8.666/93. Data de Assinatura do Contrato: 29/08/2008. Objeto: to: Aquisição de transformador. Valor: R$ 168.826,00 (cento e sessenta e oito mil, oitocentos tos e vinte e seis reais). Despesa com Publicação: CEB Distribuição. Assinatura pela CEB Distribuição: José Jorge de Vasconcelos Lima e Paulo Afonso Teixeira Machado e pela ISOLET: Marcio Laiko."
18,"Processo: 111.000.651/2006. Espécie: Contrato nº 82/2007. Contratantes: Companhia Imobiliária de Brasília TERRACAP e CORAL SERVIÇOS DE REFEIÇÕES INDUSTRIAIS TRIAIS LTDA. Objeto: FORNECIMENTO DE REFEIÇÕES acondicionadas em marmitas mitas descartáveis. Embasamento Legal: Em conformidade com a Decisão nº 405, da Diretoria Colegiada da Terracap em sua 2466* Sessão, realizada em 12 de junho de 2007, conforme licitação mediante Pregão nº 166/2006, realizado de acordo com a Lei nº 10.520/2002. Valor: R$ 240.000,00 (duzentos e quarenta mil reais). Vigência: 14 de julho de 2008. Dotação Orçamentária: Programa de Trabalho 18.541.0500.6198.0002 — Vigilância do Uso do Solo da TERRACAP, Elemento de Despesa 3390.3 Outros Serviços de Terceiro Pessoa Jurídica, conforme Nota de Empenho nº 385, datada de 25 de junho de 2007. Despesas de Publicação: Correrão a expensas da Terracap. Data de Assinatura: 13 de julho de 2007. P/Contratante: Antônio Raimundo Gomes Silva Filho, Elme Terezinha Ribeiro Tanus e Rodrigo Fernandes de Moraes Ferreira. PiContratada: Marilene Araújo Barbosa. Testemunhas: Nadya Diniz Fontes e Francisca ca Ferreira de Sena Oliveira"
27,"Espécie: Contrato nº 33/2007. Partes: Distrito Federal, por intermédio de sua SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL e ENCOM ENERGIA E COMÉRCIO LTDA. Objeto: A execução dos serviços de instalação de ramal no quadro geral da Diretoria de Gestão de Tecnologia da Informação DITEC/SUPRACISES, a partir do Quadro Geral de Emergência localizado no Hospital de Base do Distrito Federa HBDF, e realizar redundância nos equipamentos de informática (servidores) da DITECI/SES, localizada np SMHS Q. 301, Edifício CP Brasília/DF. Prazo de Vigência: 60 (sessenta) dias corridos a contar do terceiro dia da data de emissão da Ordem de Serviço emitida pela diretoria de Engenharia e Tecnologia/SES. Valor: Total: R$ 138.298,61 (cento e trinta e oito mil, duzentos e noventa e oito reais e sessenta e um centavos). Dotação Orçamentária: Unidade Orçamentária: 23901. Programa de Trabalho: 10302021434870001. Fonte de Recurso: 100000000. Natureza de Despesa: 339039. Nota de Empenho: 2007NE05665. Valor: R$ 138.298,61 (cento e trinta e oito mil, duzentos e noventa e oito reais e sessenta e um centavos). Despesa de Publicação: SES. Modalidade de Licitação: Carta Convite nº 15/2006 CPLS/SES. Processo: 060.013.225/2005. Data de assinatura: 24 de agosto de 2007. Pela SES/DF: Ornel Costa de Azevedo. Pela contratada: Paulo Dawton Baiocchi Pimenta. ta. Testemunhas: Jefferson Leonardo Vieira de Souza e Vitor de Oliveira Rezende."
31,"Espécie: Contrato nº 708/201 CEB DISTRIBUIÇÃO S.A. Partes: CEB Distribuição S.A. e a Sulminas Fios & Cabos Ltda. Processo nº 0310-001290/2018, regido pela Lei 13.303/2016. Data de Assinatura: 10/05/2019. Objeto: Aquisição de Cabos de Alumínio. Vigência: 8 meses. Valor: R$ 83.040,00. Assinaturas: pela CEB Distribuição: ARMANDO CASADO DE ARAUJO E GRAZIELA MARIA FERNANDES DAS NEVES; e pela Contratada: ADEMIR MACHADO"
32,"Fios Espécie: Contrato nº 710/201 CEB DISTRIBUIÇÃO S.A. Partes: CEB Distribuição S.A. e a Sulminas & Cabos Ltda. Processo nº 0310-000168/2018, regido pela Lei 13.303/20163. Data de Assinatura: 10/05/2019. Objeto: Aquisição de Conectores Tipo Parafuso. Vigência: 8 meses. Valor: R$ 21.666,40. Assinaturas: pela CEB Distribuição: ARMANDO CASADO DE ARAÚJO E GRAZIELA MARIA FERNANDES DAS NEVES, e pela Contratada: ADEMIR MACHADO"
36,"PROCESSO 111.001.776/2015; ESPÉCIE: Convênio nº 23/2016; CONVENENTES: COMPANHIA PANHIA IMOBILIÁRIA DE BRASÍLIA TERRACAP e DEPARTAMENTO DE ESTRADAS TRADAS DE RODAGEM DO DISTRITO FEDERAL DER/DF; OBJETO: Estabelecimento cimento de mútua cooperação entre partícipes, para custear as despesas com a execução das 05 obras de artes especiais que fazem parte do complexo de obras necessárias à ampliação do Sistema Viário da Rodovia DF 003-EPIA-Ligação Torto/Colorado; EMBASAMENTO LEGAL: Decisão nº 566 da Diretoria Colegiada, Sessão 3045º, realizada em 11/12/2015; DATA DE ASSINATURA: 14/03/2016; VALOR: R$ 10.246.901,49 (dez milhões duzentos e quarenta e seis mil novecentos e um reais e quarenta e nove centavos); DOTAÇÃO ORCAMENTARIA: CAMENTARIA: 23.451.6216.5902.7785 Construção de Viaduto, Elemento de Despesa: 4490.51 Obras e Instalações; VIGÊNCIA: 02 anos a partir da data da publicação; PRAZO DE EXECUÇÃO: ocorrerá no período da vigência; DESPESAS DE PUBLICAÇÃO: Correrão rerão sob a responsabilidade da TERRACAP; P/TERRACAP: Alexandre Navarro Garcia, Carlos Artur Hauschild, Júlio Cesar de Azevedo Reis e Carlos Magno Barbosa do Amaral Junior. P/CONVENIADA: Henrique Luduvice, TESTEMUNHAS: Leonardo José Martins Mendes e Vanda Maria Costa"
38,"Espécie: Contrato nº 121/2006 CEB Distribuição. Partes: CEB DISTRIBUIÇÃO S/A e a INDUSTRIA METALÚRGICA SANTA LÍBERA LTDA. Processo: 310.002.198/2006. Pregão gão nº 38/2006 CEB, regidos pela Lei nº 8.666/93. Data de Assinatura do Contrato: 09 de novembro de 2006. Objeto: AQUISIÇÃO DE FERRAGENS PARA REDE CONVENCIONAL NAL E COMPACTA. Valor do Contrato: R$ 199.743,00 (cento e noventa e nove mil, setecentos e quarenta e três reais). Despesa com Publicação: CEB Distribuição. Signatários: Pela CEB Distribuição: Wilson Soares dos Santos e Carlos Antonio Leal e pela Santa Líbera, Mauricio César Henriques Santos"
39,"Espécie: Contrato nº 169/2006 CEB Distribuição. Partes: CEB DISTRIBUIÇÃO S/A e MOACIR CIR SILVA GUSMÃO. Processo: 310.002.809/2006. Processo Administrativo, regidos pela Lei nº 8.666/93. Data de Assinatura do Contrato: 20 de outubro de 2006. Objeto: LOCAÇÃO DE IMÓVEL DE PROPRIEDADE DO LOCADOR, TIPO COMERCIAL. Valor do Contrato: R$ 7.200,00 (sete mil e duzentos reais). Despesa com Publicação: CEB Distribuição. Signatários: Pela CEB Distribuição: Rogério Villas Boas Teixeira de Carvalho e Carlos Antonio Leal e pela Contratada, Moacir Silva Gusmão"
42,"Espécie: Contrato nº 178/2006 CEB Distribuição. Partes: CEB DISTRIBUIÇÃO S/A e ESFERA RA INDÚSTRIA, COMÉRCIO E SERVIÇOS LTDA. Processo: 310.002.182/2006. TPM: 001/ 2006, regidos pela Lei nº 8.666/93. Data de Assinatura do Contrato: 11 de outubro de 2006. Objeto: AQUISIÇÃO DE CONJUNTO DE MANOBRA 380VINTERNO, COM TAMPA TRAZEIRA. Valor do Contrato: R$ 234.025,00 (duzentos e trinta e quatro mil e vinte e cinco reais). Despesa com Publicação: CEB Distribuição. Sigantários: Pela CEB Distribuição: Rogério Villas Boas Teixeira de Carvalho e Ricardo Martins e pela ESFERA, José Olímpio Neto"
48,"Contratada: POLI Engenharia Ltda Objeto: Serviços especializados em instalações elétricas, telefônicas, lógica, hidrossanitárias e prediais das dependências do BRB e Lojas de Conveniência do BRB no DF. Contrato: DIRAD/DESEG-2007/202. Assinatura: 03/12/2007. Valor: R$934.496,91. Licitação: Concorrência DIRAT/CPLIC nº008/2006. Signatários pelo BRB: Francisco cisco Flávio Sales Barbosa e Jorge Luiz Roxo Ramos. Pela Contratada: Leomar Gomes de Oliveira. ra. Processo: 349/2006"
