,Texto
0,EXTRATO
1,DO
2,CONTRATO
3,DE
4,AQUISIÇÃO
5,DE
6,PRODUTOS
7,DA
8,AGRICULTURA
9,FAMILIAR
10,Nº
11,15/2021
12,Processo
13,:
14,00070-00002253/
15,2021-08
16,.
17,Partes
18,:
19,SEAGRI
20,/
21,DF
22,e
23,COOPERATIVA
24,DE
25,SERVIÇOS
26,AMBIENTAIS
27,","
28,AGRICULTURA
29,FAMILIAR
30,","
31,SOCIEDADE
32,","
33,CULTURA
34,E
35,SAÚDE
36,-
37,COOPERBRASILIA
38,.
39,Objeto
40,:
41,O
42,presente
43,contrato
44,tem
45,por
46,objeto
47,aquisição
48,","
49,por
50,dispensa
51,de
52,licitação
53,","
54,de
55,2.822
56,(
57,dois
58,mil
59,oitocentos
60,e
61,vinte
62,e
63,dois
64,)
65,cestas
66,de
67,alimentos
68,","
69,compostas
70,por
71,frutas
72,","
73,verduras
74,e
75,legumes
76,produzidos
77,por
78,agricultores
79,familiares
80,rurais
81,e
82,urbanos
83,e
84,pelos
85,demais
86,beneficiários
87,e
88,organizações
89,que
90,se
91,enquadrem
92,nas
93,disposições
94,da
95,Lei
96,Federal
97,nº
98,11.326
99,","
100,de
101,24
102,de
103,julho
104,de
105,2006
106,","
107,para
108,atender
109,a
110,demanda
111,da
112,CONTRATANTE
113,","
114,conforme
115,condições
116,definidas
117,no
118,Chamamento
119,Público
120,nº
121,01/2021
122,e
123,seus
124,anexos
125,","
126,os
127,quais
128,ficam
129,fazendo
130,parte
131,integrante
132,do
133,presente
134,contrato
135,","
136,independentemente
137,de
138,anexação
139,ou
140,transcrição
141,.
142,Valor
143,:
144,O
145,valor
146,total
147,do
148,Contrato
149,é
150,de
151,R$
152,"89.316,30"
153,(
154,oitenta
155,e
156,nove
157,mil
158,trezentos
159,e
160,dezesseis
161,reais
162,e
163,trinta
164,centavos
165,)
166,.
167,O
168,empenho
169,é
170,de
171,R$
172,"89.316,30"
173,(
174,oitenta
175,e
176,nove
177,mil
178,trezentos
179,e
180,dezesseis
181,reais
182,e
183,trinta
184,centavos
185,)
186,","
187,conforme
188,Nota
189,de
190,Empenho
191,nº
192,2021NE00235
193,emitida
194,em
195,18/05/2021
196,","
197,sob
198,o
199,evento
200,Nº
201,400091
202,","
203,na
204,modalidade
205,global
206,","
207,Unidade
208,Orçamentária
209,:
210,14101
211,","
212,Programa
213,de
214,Trabalho
215,:
216,20306620141150002
217,","
218,Natureza
219,da
220,Despesa
221,339032
222,","
223,Fonte
224,de
225,Recurso
226,:
227,100
228,.
229,Prazo
230,de
231,Vigência
232,:
233,O
234,contrato
235,terá
236,vigência
237,desde
238,a
239,sua
240,assinatura
241,por
242,até
243,12
244,meses
245,.
246,Data
247,de
248,assinatura
249,:
250,27/05/2021
251,.
252,Signatários
253,:
254,Pela
255,SEAGRI
256,/
257,DF
258,:
259,CANDIDO
260,TELES
261,DE
262,ARAUJO
263,","
264,na
265,qualidade
266,de
267,Secretário
268,de
269,Estado
270,.
271,Pela
272,Contratada
273,:
274,JOSÉ
275,VANTUIL
276,GONÇALVES
277,DA
278,CRUZ
279,","
280,na
281,qualidade
282,de
283,Presidente
284,.
285,CENTRAIS
286,DE
287,ABASTECIMENTO
288,DO
289,DISTRITO
290,FEDERAL
291,EXTRATO
292,DE
293,CONTRATO
294,Espécie
295,:
296,Contrato
297,de
298,Prestação
299,de
300,Serviços
301,nº
302,08/2021
303,que
304,entre
305,si
306,celebram
307,as
308,Centrais
309,de
310,Abastecimento
311,do
312,Distrito
313,Federal
314,S.A.
315,e
316,a
317,Porto
318,Seguro
319,Companhia
320,de
321,Seguro
322,Gerais
323,.
324,Objeto
325,:
326,Contratação
327,de
328,empresa
329,especializada
330,em
331,serviços
332,de
333,seguro
334,automotivo
335,para
336,a
337,frota
338,de
339,veículos
340,pertencente
341,da
342,EMATER
343,cedidos
344,à
345,CEASA
346,/
347,DF
348,.
349,Processo
350,0007100001538/
351,2019-71
352,.
353,Data
354,de
355,Assinatura
356,:
357,17
358,de
359,maio
360,de
361,2021
362,.
363,Prazo
364,de
365,vigência
366,:
367,A
368,cobertura
369,da
370,apólice
371,de
372,seguro
373,abrangerá
374,o
375,período
376,de
377,trezentos
378,e
379,sessenta
380,e
381,cinco
382,dias
383,corridos
384,","
385,a
386,contar
387,da
388,assinatura
389,do
