text,id,label,annotator,annotation_id,created_at,updated_at,lead_time
"EXTRATO DO SEGUNDO TERMO ADITIVO AO CONTRATO
PARA AQUISICAO DE BENS No 25/2018
Processo: 0050-00473/2016. Partes: O DISTRITO FEDERAL, por meio da SECRETARIA DE ESTADO
DA SEGURANCA PUBLICA E DA PAZ SOCIAL, inscrita no Cadastro Geral de pessoa Juridica do
Ministerio da Fazenda sob o no. 00.394.718/0001-00 e a empresa TOYOTA DO BRASIL LTDA, inscrita
no Cadastro Nacional de Pessoa Juridica do Ministerio da Fazenda sob o no. 59.104.760/0001-91. Do
Objeto: O presente Termo Aditivo tem por objeto a prorrogacao do prazo de entrega dos veiculos
especificados nos itens 05,06, 40 e 41, por mais 30 (trinta dias), restando estabelecida a data final de
entrega ate o dia 05/11/2018, nos termos da Lei 8.666, de 21 de junho de 1993, alterada pela Lei 9.648,
de 27 de maio de 1998. Da Ratificacao: Permanecem inalteradas as demais clausulas do Contrato a que se
refere o presente Termo Aditivo. Data da assinatura: 01 de novembro de 2018. Signatarios: pelo DF:
CRISTIANO BARBOSA SAMPAIO, Secretario de Estado da Seguranca Publica e da Paz Social; pela
Contratada: NELSON RESCALLI JUNIOR, Representante Legal.",41898,"[{""start"": 11, ""end"": 18, ""text"": ""SEGUNDO"", ""labels"": [""numero_termo_aditivo""]}, {""start"": 71, ""end"": 78, ""text"": ""25/2018"", ""labels"": [""numero_contrato""]}, {""start"": 89, ""end"": 104, ""text"": ""0050-00473/2016"", ""labels"": [""processo_gdf""]}, {""start"": 146, ""end"": 203, ""text"": ""SECRETARIA DE ESTADO\nDA SEGURANCA PUBLICA E DA PAZ SOCIAL"", ""labels"": [""orgao_contratante""]}, {""start"": 455, ""end"": 773, ""text"": ""O presente Termo Aditivo tem por objeto a prorrogacao do prazo de entrega dos veiculos\nespecificados nos itens 05,06, 40 e 41, por mais 30 (trinta dias), restando estabelecida a data final de\nentrega ate o dia 05/11/2018, nos termos da Lei 8.666, de 21 de junho de 1993, alterada pela Lei 9.648,\nde 27 de maio de 1998."", ""labels"": [""objeto_aditamento_contratual""]}, {""start"": 907, ""end"": 929, ""text"": ""01 de novembro de 2018"", ""labels"": [""data_escrito""]}]",3,27690,2022-09-30T17:59:07.310590Z,2022-09-30T17:59:07.310599Z,
"EXTRATO TERCEIRO TERMO ADITIVO DO CONTRATO DE PRESTACAO
DE SERVICOS No 58/2015PRESTACAO DE SERVICO
Processo: (0530001247/2015). Contrato no58/2015. Contratada: ESTERILAV ESTERILIZACAO DE
MATERIAIS HOPITALARES LTDA-EPP, CNPJ no 00.814.860/0001-69. Objeto: Prorrogar o prazo de
vigencia do contrato por mais 12 (doze) meses, o qual passara a viger ate o dia 06/11/2019, com base no
inciso II do art. 57 da Lei n.o 8.666/93. Reajustar o valor do contrato em 4,53%, com base no Indice de Precos
ao Consumidor Amplo-IPCA (13741920), com fulcro no inciso XI do art. 40 da Lei no 8.666/93. O valor do
contrato passara de R$ 100.512,00 (cem mil quinhentos e doze reais) para R$ 105.120,00 (cento e cinco mil
cento e vinte reais) (13736540). Dotacao Orcamentaria: Unidade Orcamentaria: 73901. Programa de
Trabalho: 28845090300FM005. Natureza da Despesa: 339039. Fonte de Recursos: 0100 (FCDF). O presente
termo aditivo tera vigencia de 12 (doze) meses, estando em vigor ate o dia 06/11/2019. Data da assinatura:
06/11/2018. Permanecem inalteradas as demais clausulas do Contrato a que se refere este Termo. Signatarios:
Pelo Contratante: Ten-Cel. QOBM/Comb. Marcelo Teixeira Dantas, Diretor de Contratacoes e Aquisicoes;
pela Contratada: Nazare de Souza Santos e Elenice Aires Borba, na qualidade de Representantes Legais.",41897,"[{""start"": 8, ""end"": 16, ""text"": ""TERCEIRO"", ""labels"": [""numero_termo_aditivo""]}, {""start"": 71, ""end"": 78, ""text"": ""58/2015"", ""labels"": [""numero_contrato""]}, {""start"": 139, ""end"": 146, ""text"": ""58/2015"", ""labels"": [""numero_contrato""]}, {""start"": 110, ""end"": 125, ""text"": ""0530001247/2015"", ""labels"": [""processo_gdf""]}, {""start"": 255, ""end"": 732, ""text"": ""Prorrogar o prazo de\nvigencia do contrato por mais 12 (doze) meses, o qual passara a viger ate o dia 06/11/2019, com base no\ninciso II do art. 57 da Lei n.o 8.666/93. Reajustar o valor do contrato em 4,53%, com base no Indice de Precos\nao Consumidor Amplo-IPCA (13741920), com fulcro no inciso XI do art. 40 da Lei no 8.666/93. O valor do\ncontrato passara de R$ 100.512,00 (cem mil quinhentos e doze reais) para R$ 105.120,00 (cento e cinco mil\ncento e vinte reais) (13736540)."", ""labels"": [""objeto_aditamento_contratual""]}, {""start"": 1003, ""end"": 1013, ""text"": ""06/11/2018"", ""labels"": [""data_escrito""]}]",3,27689,2022-09-30T17:59:07.310532Z,2022-09-30T17:59:07.310542Z,
"EXTRATO SEGUNDO TERMO ADITIVO DO CONTRATO DE PRESTACAO
DE SERVICOS No 48/2016 PRESTACAO DE SERVICO
Processo: (SEI-053-043005/2016). Contrato no48/2016. Contratada:PRO - RAD CONSULTORES EM
RADIOPROTECAO S/S LTDA., CNPJ no 87.389.086/0001-74. Objeto: O presente termo aditivo objetiva:
Prorrogar o prazo de vigencia do contrato por mais 12 (doze) meses, o qual passara a viger ate o dia
06/11/2019, com base no inciso II do art. 57 da Lei n.o 8.666/93.Reduzir o valor do contrato em 21,89%
(vinte e um virgula oitenta e nove por cento) sobre o valor original, correspondendo a R$ 1.802,40 (um mil
oitocentos e dois reais e quarenta centavos), em virtude da diminuicao do numero de dosimetros necessarios
para o periodo, que decaira de 57 para 40 aparelhos, com fulcro no inciso II do  2o do art. 65 da Lei no
8.666/93. O valor do contrato passara de R$ 9.165,60 (nove mil cento e sessenta e cinco reais e sessenta
centavos), para R$ 6.432,00 (seis mil quatrocentos e trinta e dois reais). Dotacao Orcamentaria: Unidade
Orcamentaria: 73901. Programa de Trabalho: 28845090300FM005. Natureza da Despesa: 339039. Fonte de
Recursos: 0100 (FCDF). O presente termo aditivo tera vigencia de 12 (doze) meses. Data da assinatura:
14/11/2018. Permanecem inalteradas as demais clausulas do Contrato a que se refere este Termo. Signatarios:
Pelo Contratante: Ten-Cel. QOBM/Comb. Marcelo Teixeira Dantas, Diretor de Contratacoes e Aquisicoes;
pela Contratada: Alwin Wilhelm Elbern., na qualidade de Representante Legal.",41896,"[{""start"": 8, ""end"": 15, ""text"": ""SEGUNDO"", ""labels"": [""numero_termo_aditivo""]}, {""start"": 70, ""end"": 77, ""text"": ""48/2016"", ""labels"": [""numero_contrato""]}, {""start"": 143, ""end"": 150, ""text"": ""48/2016"", ""labels"": [""numero_contrato""]}, {""start"": 114, ""end"": 129, ""text"": ""053-043005/2016"", ""labels"": [""processo_gdf""]}, {""start"": 249, ""end"": 986, ""text"": ""O presente termo aditivo objetiva:\nProrrogar o prazo de vigencia do contrato por mais 12 (doze) meses, o qual passara a viger ate o dia\n06/11/2019, com base no inciso II do art. 57 da Lei n.o 8.666/93.Reduzir o valor do contrato em 21,89%\n(vinte e um virgula oitenta e nove por cento) sobre o valor original, correspondendo a R$ 1.802,40 (um mil\noitocentos e dois reais e quarenta centavos), em virtude da diminuicao do numero de dosimetros necessarios\npara o periodo, que decaira de 57 para 40 aparelhos, com fulcro no inciso II do  2o do art. 65 da Lei no\n8.666/93. O valor do contrato passara de R$ 9.165,60 (nove mil cento e sessenta e cinco reais e sessenta\ncentavos), para R$ 6.432,00 (seis mil quatrocentos e trinta e dois reais)."", ""labels"": [""objeto_aditamento_contratual""]}, {""start"": 1218, ""end"": 1228, ""text"": ""14/11/2018"", ""labels"": [""data_escrito""]}]",3,27688,2022-09-30T17:59:07.310473Z,2022-09-30T17:59:07.310482Z,
"EXTRATO DO 3o TERMO ADITIVO AO CONTRATO No 26/2015
Partes:  DETRAN-DF  e  a  empresa  POWER  SAFETY  SERVICOS  E  COMERCIO  DE
ELETROELETRONICOS LTDA-ME. Processo: 0055-030030/2014.3o Termo Aditivo ao Contrato no
26/2015. Objeto: Prorrogar por mais 12 (doze) meses, a contar de 26 de novembro de 2018, o Contrato n
26/2015, que tem por objeto a prestacao de servicos de manutencao preventiva e corretiva com
fornecimento de quaisquer tipos de pecas e equipamentos necessarios ao correto e seguro funcionamento
de equipamentos do tipo Grupo Motor Gerador, No-Break, e equipamentos de climatizacao de precisao do
Datacenter, conforme especificacoes e condicoes estabelecidas no Termo de Referencia constante do
Anexo I do Edital do Pregao Eletronico n 07/2015. Reajustar o valor inicial contratado, conforme previsao
no item 12.3. do Edital do Pregao Eletronico n 07/2015 e nos calculos realizados no documento SEI no
13854384, passando o valor mensal estimado de R$ 17.823,60 (dezessete mil, oitocentos e vinte e tres
reais e sessenta centavos), para R$ 18.631,02 (dezoito mil seiscentos e trinta e um reais e dois centavos),
a contar de 26 de novembro de 2018. Dotacao Orcamentaria: Fonte 220, Funcao 06, Subfuncao 126,
Programa 6002, Meta 2557, SubTitulo 2564, Elemento de Despesa 339039. Data da assinatura: 20 de
novembro de 2018- Assinam: Silvain Barbosa Fonseca Filho e Ocata Piovesan Dias.",41895,"[{""start"": 43, ""end"": 50, ""text"": ""26/2015"", ""labels"": [""numero_contrato""]}, {""start"": 213, ""end"": 220, ""text"": ""26/2015"", ""labels"": [""numero_contrato""]}, {""start"": 60, ""end"": 69, ""text"": ""DETRAN-DF"", ""labels"": [""orgao_contratante""]}, {""start"": 164, ""end"": 180, ""text"": ""0055-030030/2014"", ""labels"": [""processo_gdf""]}, {""start"": 1310, ""end"": 1332, ""text"": ""20 de\nnovembro de 2018"", ""labels"": [""data_escrito""]}, {""start"": 11, ""end"": 13, ""text"": ""3o"", ""labels"": [""numero_termo_aditivo""]}, {""start"": 181, ""end"": 183, ""text"": ""3o"", ""labels"": [""numero_termo_aditivo""]}, {""start"": 230, ""end"": 757, ""text"": ""Prorrogar por mais 12 (doze) meses, a contar de 26 de novembro de 2018, o Contrato n\n26/2015, que tem por objeto a prestacao de servicos de manutencao preventiva e corretiva com\nfornecimento de quaisquer tipos de pecas e equipamentos necessarios ao correto e seguro funcionamento\nde equipamentos do tipo Grupo Motor Gerador, No-Break, e equipamentos de climatizacao de precisao do\nDatacenter, conforme especificacoes e condicoes estabelecidas no Termo de Referencia constante do\nAnexo I do Edital do Pregao Eletronico n 07/2015"", ""labels"": [""objeto_aditamento_contratual""]}]",3,27687,2022-09-30T17:59:07.310413Z,2022-09-30T17:59:07.310422Z,
"1 Termo Aditivo ao Contrato 8920/2018, publicado no DODF em 03/07/2018. ASS I N AT U R A :
01/11/2018. ALTERACAO DE CLAUSULAS: PRAZO DE VIGENCIA/ENTREGA: Prorrogados por 30
(trinta) dias corridos. ASSINANTES: Pela CAESB: Mauricio Leite Luduvice - Presidente e Walter Lucio
dos Santos Barros - Diretor Operacao e Manutencao. Pela APIS SOLUCOES TECNOLOGIA DA
INFORMACAO LTDA: Sergio Santarem Taveira.",41894,"[{""start"": 214, ""end"": 219, ""text"": ""CAESB"", ""labels"": [""orgao_contratante""]}, {""start"": -349, ""end"": -340, ""text"": ""8815/2017"", ""labels"": [""numero_contrato""]}, {""start"": 28, ""end"": 37, ""text"": ""8920/2018"", ""labels"": [""numero_contrato""]}, {""start"": -349, ""end"": -340, ""text"": ""8815/2017"", ""labels"": [""numero_contrato""]}, {""start"": 28, ""end"": 37, ""text"": ""8920/2018"", ""labels"": [""numero_contrato""]}, {""start"": 91, ""end"": 101, ""text"": ""01/11/2018"", ""labels"": [""data_escrito""]}, {""start"": 127, ""end"": 196, ""text"": ""PRAZO DE VIGENCIA/ENTREGA: Prorrogados por 30\n(trinta) dias corridos."", ""labels"": [""objeto_aditamento_contratual""]}, {""start"": -278, ""end"": -277, ""text"": ""1"", ""labels"": [""numero_termo_aditivo""]}, {""start"": 0, ""end"": 1, ""text"": ""1"", ""labels"": [""numero_termo_aditivo""]}]",3,27686,2022-09-30T17:59:07.310350Z,2022-09-30T17:59:07.310360Z,
"1 Termo Aditivo ao Contrato 8921/2018, publicado no DODF em 03/07/2018. ASS I N AT U R A :
01/11/2018. ALTERACAO DE CLAUSULAS: PRAZO DE VIGENCIA/ENTREGA: Prorrogado por 30
(trinta) dias corridos e 15 (quinze) dias corridos, respectivamente. ASSINANTES: Pela CAESB: Mauricio
Leite Luduvice - Presidente e Walter Lucio dos Santos Barros - Diretor de Operacao e Manutencao. Pela
INTEGRA SOLUCOES EIRELI: Ivonete da Silva Teodoro.",41893,"[{""start"": 258, ""end"": 263, ""text"": ""CAESB"", ""labels"": [""orgao_contratante""]}, {""start"": 91, ""end"": 101, ""text"": ""01/11/2018"", ""labels"": [""data_escrito""]}, {""start"": 28, ""end"": 37, ""text"": ""8921/2018"", ""labels"": [""numero_contrato""]}, {""start"": 127, ""end"": 240, ""text"": ""PRAZO DE VIGENCIA/ENTREGA: Prorrogado por 30\n(trinta) dias corridos e 15 (quinze) dias corridos, respectivamente."", ""labels"": [""objeto_aditamento_contratual""]}, {""start"": -298, ""end"": -297, ""text"": ""1"", ""labels"": [""numero_termo_aditivo""]}, {""start"": 0, ""end"": 1, ""text"": ""1"", ""labels"": [""numero_termo_aditivo""]}]",3,27685,2022-09-30T17:59:07.310287Z,2022-09-30T17:59:07.310297Z,
"EXTRATO DO PRIMEIRO TERMO ADITIVO AO CONTRATO No 09/2018
Processo: 00197-00000287/2018-46. Partes: Adasa e ELAINE VASCONCELOS SILVA. Objeto: alteracao do
valor do contrato devido a retificacao do Projeto Individual de Propriedade. Valor: fica alterado o valor do
contrato para R$ 10.179,04 (dez mil cento e setenta e nove reais e quatro centavos). Prazo/vigencia: fica
inalterada a clausula de vigencia do contrato. Dotacao orcamentaria: UO: 21.206; P.T.: 18.544.6210.3068.0005;
N.D: 3.3.90.36; Fonte: 231/431. DATA DE ASSINATURA: 31/10/2018. SIGNATARIOS: pela Adasa, Paulo
Sergio Bretas de Almeida Salles, Diretor-Presidente; e Elaine Vasconcelos Silva, produtora de agua.",41892,"[{""start"": 11, ""end"": 19, ""text"": ""PRIMEIRO"", ""labels"": [""numero_termo_aditivo""]}, {""start"": 49, ""end"": 56, ""text"": ""09/2018"", ""labels"": [""numero_contrato""]}, {""start"": 67, ""end"": 89, ""text"": ""00197-00000287/2018-46"", ""labels"": [""processo_gdf""]}, {""start"": 99, ""end"": 104, ""text"": ""Adasa"", ""labels"": [""orgao_contratante""]}, {""start"": 141, ""end"": 415, ""text"": ""alteracao do\nvalor do contrato devido a retificacao do Projeto Individual de Propriedade. Valor: fica alterado o valor do\ncontrato para R$ 10.179,04 (dez mil cento e setenta e nove reais e quatro centavos). Prazo/vigencia: fica\ninalterada a clausula de vigencia do contrato."", ""labels"": [""objeto_aditamento_contratual""]}, {""start"": 531, ""end"": 541, ""text"": ""31/10/2018"", ""labels"": [""data_escrito""]}]",3,27684,2022-09-30T17:59:07.310230Z,2022-09-30T17:59:07.310239Z,
"SEXTO TERMO ADITIVO AO CONTRATO No 033/2017 - NCC/CODAG/FHB
Contratante: FUNDACAO HEMOCENTRO DE BRASILIA - CNPJ 86.743.457/0001-01, Contratada:
IMAGEX MATERIAL HOSPITALAR E DIAGNOSTICOS EIRELI - CNPJ/MF No 19.723.754/0001-06.
Objeto: prorrogar a entrega da 2a parcela do ""ANTIGENO DE VON WILLEBRAND EM PLASMA
CITRATADO - item 16"" e da 3a parcela do ""DETERMINACAO IMUNOTURBIDIMETRICA DO
COFATOR DE RISTICETINA DO VON WILLEBRAND - item 17"" para ate o dia 29/11/2019, com esteio
no  1 do Art. 57 da Lei n 8.666/93 e suprimir a 2a parcela do ""CONJUNTO COMPLETO DE PLASMA
DEFICIENTE EM FATOR VIII - item 7"". Processo: 0063-000319/2016. Valor do Contrato: R$
263.087,49. Vigencia: a partir da data de sua assinatura. Assinam em 20 de dezembro de 2019, pela
Contratante: Barbara de Jesus Simoes, Diretora-Presidente, e pela Contratada: Rodolfo de Aquino
Gerbassi.
FUNDACAO DE ENSINO E PESQUISA EM CIENCIAS DA SAUDE",41891,"[{""start"": 0, ""end"": 19, ""text"": ""SEXTO TERMO ADITIVO"", ""labels"": [""numero_termo_aditivo""]}, {""start"": 35, ""end"": 43, ""text"": ""033/2017"", ""labels"": [""numero_contrato""]}, {""start"": 73, ""end"": 104, ""text"": ""FUNDACAO HEMOCENTRO DE BRASILIA"", ""labels"": [""orgao_contratante""]}, {""start"": 613, ""end"": 629, ""text"": ""0063-000319/2016"", ""labels"": [""processo_gdf""]}, {""start"": 722, ""end"": 744, ""text"": ""20 de dezembro de 2019"", ""labels"": [""data_escrito""]}, {""start"": 234, ""end"": 601, ""text"": ""prorrogar a entrega da 2a parcela do \""ANTIGENO DE VON WILLEBRAND EM PLASMA\nCITRATADO - item 16\"" e da 3a parcela do \""DETERMINACAO IMUNOTURBIDIMETRICA DO\nCOFATOR DE RISTICETINA DO VON WILLEBRAND - item 17\"" para ate o dia 29/11/2019, com esteio\nno  1 do Art. 57 da Lei n 8.666/93 e suprimir a 2a parcela do \""CONJUNTO COMPLETO DE PLASMA\nDEFICIENTE EM FATOR VIII - item 7\"""", ""labels"": [""objeto_aditamento_contratual""]}]",3,27683,2022-09-30T17:59:07.310171Z,2022-09-30T17:59:07.310181Z,
"EXTRATO DO 5o TERMO ADITIVO AO CONTRATO No 124/2014
Processo: 0080-003251/2013 - Partes: SEEDF X MULTH TEC ASSISTENCIA E COMERCIO DE
MAQUINAS LTDA. Objeto: a prorrogacao excepcional do prazo de vigencia do Contrato no 124/2014 por
mais 12 (doze) meses, com base no art. 57, II c/c  4o, da Lei no 8.666/93. Unidade Orcamentaria: 18101.
Programa de Trabalho: 12.122.6002.8517.0036. Natureza da Despesa: 3.3.90.39. Fonte de Recursos: 100.
Nota de Empenho: no 2019NE05774, no valor de R$ 18.283,93 (dezoito mil duzentos, oitenta e tres reais
e noventa e tres centavos), emitida em 16/12/2019. Evento: 400091. Modalidade: Estimativo. Valor total do
Termo Aditivo: R$ 735.748,95 (setecentos e trinta e cinco mil setecentos e quarenta e oito reais e noventa
e cinco centavos). Vigencia: de 19/12/2019 ate 18/12/2020. Assinatura: 18/12/2019. Assinantes: Pela
SEEDF: LEONARDO HENRIQUE CAMPOS GOUVEIA PINTO. Pela MULTH TEC: WASHINGTON
LUIZ BORGES DE LIMA.",41890,"[{""start"": 11, ""end"": 27, ""text"": ""5o TERMO ADITIVO"", ""labels"": [""numero_termo_aditivo""]}, {""start"": 43, ""end"": 51, ""text"": ""124/2014"", ""labels"": [""numero_contrato""]}, {""start"": 62, ""end"": 78, ""text"": ""0080-003251/2013"", ""labels"": [""processo_gdf""]}, {""start"": 89, ""end"": 94, ""text"": ""SEEDF"", ""labels"": [""orgao_contratante""]}, {""start"": 851, ""end"": 856, ""text"": ""SEEDF"", ""labels"": [""orgao_contratante""]}, {""start"": 156, ""end"": 305, ""text"": ""a prorrogacao excepcional do prazo de vigencia do Contrato no 124/2014 por\nmais 12 (doze) meses, com base no art. 57, II c/c  4o, da Lei no 8.666/93."", ""labels"": [""objeto_aditamento_contratual""]}, {""start"": 822, ""end"": 832, ""text"": ""18/12/2019"", ""labels"": [""data_escrito""]}]",3,27682,2022-09-30T17:59:07.310113Z,2022-09-30T17:59:07.310122Z,
"EXTRATO DO 2o TERMO ADITIVO AO CONTRATO No 52/2017
Processo: 0800-003182/2016 - Partes: SEEDF X OI S/A - EM RECUPERACAO JUDICIAL. Objeto: a
alteracao contratual com vistas a registrar a prorrogacao da vigencia contratual por mais 12 (doze) meses,
bem como o reajuste de 6,56% (seis virgula cinquenta e seis por cento), nos termos do inciso XI, art.40
e do inciso III, art. 55 da Lei no 8.666/93, da Lei 10.192/2001 e da Justificativa, passando o Contrato a ter
o valor total de R$ 2.518.382,10 (dois milhoes, quinhentos e dezoito mil, trezentos e oitenta e dois reais
e dez centavos). Unidade Orcamentaria: 18101. Programa de Trabalho: 12.361.6221.2389.0001. Natureza
da Despesa: 3.3.90.39. Fonte de Recursos: 103. Nota de Empenho: no 2019NE05695, no valor de R$
118.923,59 (cento e dezoito mil, novecentos e vinte e tres reais e cinquenta e nove centavos), emitida em
11/12/2019. Evento: 400091. Modalidade: Estimativo. Valor total do Termo Aditivo: R$ 2.518.382,10 (dois
milhoes, quinhentos e dezoito mil, trezentos e oitenta e dois reais e dez centavos). Vigencia: de 15/12/2019
a 14/12/2020. Assinatura: 13/12/2019. Assinantes: Pela SEEDF: LEONARDO HENRIQUE CAMPOS
GOUVEIA PINTO. Pela OI S/A: IVANILDE ROSA BEZERRA E DAVI DE OLIVEIRA BERTUCCI.",41889,"[{""start"": 88, ""end"": 93, ""text"": ""SEEDF"", ""labels"": [""orgao_contratante""]}, {""start"": 1137, ""end"": 1142, ""text"": ""SEEDF"", ""labels"": [""orgao_contratante""]}, {""start"": 11, ""end"": 27, ""text"": ""2o TERMO ADITIVO"", ""labels"": [""numero_termo_aditivo""]}, {""start"": 43, ""end"": 50, ""text"": ""52/2017"", ""labels"": [""numero_contrato""]}, {""start"": 61, ""end"": 77, ""text"": ""0800-003182/2016"", ""labels"": [""processo_gdf""]}, {""start"": 138, ""end"": 584, ""text"": ""a\nalteracao contratual com vistas a registrar a prorrogacao da vigencia contratual por mais 12 (doze) meses,\nbem como o reajuste de 6,56% (seis virgula cinquenta e seis por cento), nos termos do inciso XI, art.40\ne do inciso III, art. 55 da Lei no 8.666/93, da Lei 10.192/2001 e da Justificativa, passando o Contrato a ter\no valor total de R$ 2.518.382,10 (dois milhoes, quinhentos e dezoito mil, trezentos e oitenta e dois reais\ne dez centavos)."", ""labels"": [""objeto_aditamento_contratual""]}, {""start"": 1108, ""end"": 1118, ""text"": ""13/12/2019"", ""labels"": [""data_escrito""]}]",3,27681,2022-09-30T17:59:07.310054Z,2022-09-30T17:59:07.310064Z,
