text,id,label,annotator,annotation_id,created_at,updated_at,lead_time
"AVISO DE ANULACAO PREGAO ELETRONICO (SRP) 10/2019
(EXCLUSIVO PARA ENTIDADES PREFERENCIAIS)
A SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO
RURAL DO DISTRITO FEDERAL, torna publico que fica anulada a licitacao supracitada, referente ao
Processo no 00070-00004102/2019-61. Objeto: Contratacao de servico de investigacao geotecnica para
execucao de sondagem a percussao. Serao aproximadamente 30 (trinta) furos de sondagem a percussao,
distribuidos em diversos terrenos de propriedade do Governo do Distrito Federal, visando subsidiar a
elaboracao de projetos de fundacoes para edificacoes voltadas para a area rural e/ou para a manutencao dos
proprios da SEAGRI, sobretudo nas Regioes Administrativas de Brazlandia, Lago Norte, Paranoa,
Planaltina, Plano Piloto (Asa Norte) e Sao Sebastiao, para fins de correcao da forma de apresentacao dos
precos em termo de referencia, para que seja possivel aos licitantes incluir nos precos ofertados todos os
custos necessarios a execucao do servicos.
EDILENE DIAS CERQUEIRA
Pregoeira",42254,"[{""start"": 18, ""end"": 35, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 42, ""end"": 49, ""text"": ""10/2019"", ""labels"": [""numero_licitacao""]}, {""start"": 93, ""end"": 187, ""text"": ""SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO\nRURAL DO DISTRITO FEDERAL"", ""labels"": [""orgao_licitante""]}, {""start"": 212, ""end"": 219, ""text"": ""anulada"", ""labels"": [""identificacao_ocorrencia""]}, {""start"": 270, ""end"": 292, ""text"": ""00070-00004102/2019-61"", ""labels"": [""processo_gdf""]}, {""start"": 1013, ""end"": 1035, ""text"": ""EDILENE DIAS CERQUEIRA"", ""labels"": [""nome_responsavel""]}]",3,28046,2022-09-30T18:12:06.419055Z,2022-09-30T18:12:06.419068Z,
"AVISO DE ANULACAO
PREGAO ELETRONICO No 16/2017 - SRP
Processo no 054.002.382/2017. O Chefe do Departamento de Saude e Assistencia ao Pessoal
da Policia Militar do Distrito Federal torna publico aos interessados a ANULACAO do
certame em epigrafe, inicialmente previsto para ocorrer em 23/1/2018, as 14h, por vicio de
incompetencia na autorizacao do processo licitatorio. Objeto: Registro de Preco para aqui-
sicao de material farmacologico e hospitalar, conforme especificacoes e quantidades cons-
tantes no Anexo I do edital. Valor estimado de R$ 11.187,75 (onze mil cento e oitenta e sete
reais de setenta e cinco centavos). Informacoes: (61) 3190-8054 e dsap.sspre-
goes@pm.df.gov.br e dsap.sspregoes@gmail.com.
Brasilia/DF, 08 de fevereiro de 2018.
ROGERIO BRITO DE MIRANDA",42253,"[{""start"": 18, ""end"": 35, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 39, ""end"": 52, ""text"": ""16/2017 - SRP"", ""labels"": [""numero_licitacao""]}, {""start"": 65, ""end"": 81, ""text"": ""054.002.382/2017"", ""labels"": [""processo_gdf""]}, {""start"": 144, ""end"": 179, ""text"": ""Policia Militar do Distrito Federal"", ""labels"": [""orgao_licitante""]}, {""start"": 213, ""end"": 221, ""text"": ""ANULACAO"", ""labels"": [""identificacao_ocorrencia""]}, {""start"": 752, ""end"": 776, ""text"": ""ROGERIO BRITO DE MIRANDA"", ""labels"": [""nome_responsavel""]}]",3,28045,2022-09-30T18:12:06.418976Z,2022-09-30T18:12:06.418989Z,
"AVISO DE ANULACAO
PREGAO ELETRONICO SRP No 03/2017
O PREGOEIRO DA SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FE-
DERAL, em atendimento a Decisao no 3816/2018 do Tribunal de Contas do Distrito Federal,
comunica a ANULACAO do PREGAO ELETRONICO - SRP no 03/2017, Contratacao de
empresa especializada em transporte de pessoas para prestacao de servico de transporte
escolar dos alunos da Rede Publica de Ensino do Distrito Federal na Regiao: ""C"" - Sao
Sebastiao, por meio de veiculos com motorista, monitor e encarregado conforme espe-
cificacao constante deste Termo Referencia e seu ENCARTE B, nos itinerarios residencia-
escola e vice-versa, bem como nas atividades curriculares ou extracurriculares contidas nos
Projetos Politicos Pedagogicos das Instituicoes Educacionais conforme especificacoes e con-
dicoes estabelecidas no termo de referencia constante do Anexo I do Edital, objeto do
procedimento administrativo no 080.000401/2016. Os autos ficam com vistas franqueadas aos
interessados, nesta Secretaria de Estado de Educacao, na SGAN 607 Projecoes ""D"" sala 309
(telefone 3901-2319), nos sites http://www.comprasnet.gov.br e http://w w w. s e . d f . g o v. b r.
JOSEMAR SALVIANO DA SILVA.",42252,"[{""start"": 43, ""end"": 50, ""text"": ""03/2017"", ""labels"": [""numero_licitacao""]}, {""start"": 18, ""end"": 35, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 66, ""end"": 120, ""text"": ""SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FE-\nDERAL"", ""labels"": [""orgao_licitante""]}, {""start"": 214, ""end"": 222, ""text"": ""ANULACAO"", ""labels"": [""identificacao_ocorrencia""]}, {""start"": 923, ""end"": 938, ""text"": ""080.000401/2016"", ""labels"": [""processo_gdf""]}, {""start"": 1172, ""end"": 1197, ""text"": ""JOSEMAR SALVIANO DA SILVA"", ""labels"": [""nome_responsavel""]}]",3,28044,2022-09-30T18:12:06.418898Z,2022-09-30T18:12:06.418911Z,
"AVISO DE REVOGACAO DE LICITACAO
A Caesb torna publico que o Pregao Eletronico PE No 221/2019, processo no 092.000207/2019, realizado
no site: www.comprasnet.gov.br (UASG: 974200), tipo de licitacao: menor preco, para o registro de precos
para aquisicao de parafusos, arruelas, porcas e chumbadores, foi revogada por tratar-se de licitacao
fracassada.
NARA MAGALHAES DA SILVA
Pregoeira",42251,"[{""start"": 34, ""end"": 39, ""text"": ""Caesb"", ""labels"": [""orgao_licitante""]}, {""start"": 60, ""end"": 77, ""text"": ""Pregao Eletronico"", ""labels"": [""modalidade_licitacao""]}, {""start"": 84, ""end"": 92, ""text"": ""221/2019"", ""labels"": [""numero_licitacao""]}, {""start"": 106, ""end"": 121, ""text"": ""092.000207/2019"", ""labels"": [""processo_gdf""]}, {""start"": 303, ""end"": 311, ""text"": ""revogada"", ""labels"": [""identificacao_ocorrencia""]}, {""start"": 351, ""end"": 374, ""text"": ""NARA MAGALHAES DA SILVA"", ""labels"": [""nome_responsavel""]}]",3,28043,2022-09-30T18:12:06.418820Z,2022-09-30T18:12:06.418833Z,
"AVISO DE REVOGACAO DE LICITACAO
PREGAO ELETRONICO No 17/2019
A Camara Legislativa do Distrito Federal informa a revogacao do certame em epigrafe, conforme decisao
proferida no processo no 001-000631/2019, cujo objeto e o Registro de Preco para eventual contratacao de
empresa especializada em locacao, montagem e desmontagem de gradil de contencao e placas de
fechamento para a Camara Legislativa do Distrito Federal. Mais informacoes: (61) 3348-8650 e
cpl@cl.df.gov.br. Brasilia/DF, 15/07/2019. Daniel Luchine Ishihara - Pregoeiro.",42250,"[{""start"": 53, ""end"": 60, ""text"": ""17/2019"", ""labels"": [""numero_licitacao""]}, {""start"": 63, ""end"": 101, ""text"": ""Camara Legislativa do Distrito Federal"", ""labels"": [""orgao_licitante""]}, {""start"": 188, ""end"": 203, ""text"": ""001-000631/2019"", ""labels"": [""processo_gdf""]}, {""start"": 112, ""end"": 121, ""text"": ""revogacao"", ""labels"": [""identificacao_ocorrencia""]}, {""start"": 496, ""end"": 519, ""text"": ""Daniel Luchine Ishihara"", ""labels"": [""nome_responsavel""]}, {""start"": 32, ""end"": 49, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}]",3,28042,2022-09-30T18:12:06.418740Z,2022-09-30T18:12:06.418753Z,
"AVISO DE REVOGACAO
PREGAO ELETRONICO No 35/2019
Objeto: aquisicao de material de consumo - CBUQ - concreto betuminoso usinado a quente - faixa c,
conforme especificacoes e condicoes no anexo I do edital, Processo SEI no 0011 3 . 0 0 0 1 3 8 8 2 / 2 0 1 9 - 2 3 .
Revogada a licitacao acima, conforme fundamentacao nos autos do processo.
Brasilia/DF, 15 de julho de 2019.
CELIA MARIA SIQUEIRA LEAL
Diretora",42249,"[{""start"": 40, ""end"": 47, ""text"": ""35/2019"", ""labels"": [""numero_licitacao""]}, {""start"": 19, ""end"": 36, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 263, ""end"": 271, ""text"": ""Revogada"", ""labels"": [""identificacao_ocorrencia""]}, {""start"": 220, ""end"": 260, ""text"": ""0011 3 . 0 0 0 1 3 8 8 2 / 2 0 1 9 - 2 3"", ""labels"": [""processo_gdf""]}, {""start"": 371, ""end"": 396, ""text"": ""CELIA MARIA SIQUEIRA LEAL"", ""labels"": [""nome_responsavel""]}]",3,28041,2022-09-30T18:12:06.418661Z,2022-09-30T18:12:06.418674Z,
"AVISO DE REVOGACAO
Comunicamos aos interessados na Concorrencia no 010/2017 - ASCAL/PRES - do tipo menor preco
unitario - para execucao de drenagem pluvial e pavimentacao asfaltica, intertravada e execucao de meio-
fio no Setor de Habitacoes Coletivas Noroeste - Parque Burle Marx, em Brasilia - DF, que a mesma fica
revogada por conveniencia administrativa, conforme fundamentado nos autos do processo no
112.000.935/2017. Data da ultima publicacao no DODF no 75, de 19 de abril de 2017, pagina 37. Para
maiores informacoes ligar para o telefone (0xx61) 3403-2321 ou (0xx61) 3403-2322.
Brasilia/DF, 15 de julho de 2019.
DELCIMAR PIRES MARTINS
Chefe da ASCAL/PRES",42248,"[{""start"": 51, ""end"": 63, ""text"": ""Concorrencia"", ""labels"": [""modalidade_licitacao""]}, {""start"": 67, ""end"": 88, ""text"": ""010/2017 - ASCAL/PRES"", ""labels"": [""numero_licitacao""]}, {""start"": 317, ""end"": 325, ""text"": ""revogada"", ""labels"": [""identificacao_ocorrencia""]}, {""start"": 406, ""end"": 422, ""text"": ""112.000.935/2017"", ""labels"": [""processo_gdf""]}, {""start"": 468, ""end"": 487, ""text"": ""19 de abril de 2017"", ""labels"": [""data_escrito""]}, {""start"": 621, ""end"": 643, ""text"": ""DELCIMAR PIRES MARTINS"", ""labels"": [""nome_responsavel""]}]",3,28040,2022-09-30T18:12:06.418584Z,2022-09-30T18:12:06.418598Z,
"AVISO DE REVOGACAO LICITACAO PUBLICA NACIONAL - LPN 011/2019
A Caesb, no ambito de seu Programa de Saneamento Ambiental, financiado pelo Banco Interamericano de
Desenvolvimento - BID, torna publico que a Licitacao Publica Nacional - LPN 011/2019, processo no
092.005465/2019, para execucao das Obras de Setorizacao e Adequacao de Redes nas localidades da Asa
Sul, Cruzeiro, Asa Norte e Jardim Botanico, incluindo o fornecimento e Instalacao do Novo Booster, foi
revogada por conveniencia administrativa.
GILMAR PERES MONTEIRO
Presidente da Comissao",42247,"[{""start"": 19, ""end"": 45, ""text"": ""LICITACAO PUBLICA NACIONAL"", ""labels"": [""modalidade_licitacao""]}, {""start"": 52, ""end"": 60, ""text"": ""011/2019"", ""labels"": [""numero_licitacao""]}, {""start"": 237, ""end"": 245, ""text"": ""011/2019"", ""labels"": [""numero_licitacao""]}, {""start"": 63, ""end"": 68, ""text"": ""Caesb"", ""labels"": [""orgao_licitante""]}, {""start"": 259, ""end"": 274, ""text"": ""092.005465/2019"", ""labels"": [""processo_gdf""]}, {""start"": 462, ""end"": 470, ""text"": ""revogada"", ""labels"": [""identificacao_ocorrencia""]}, {""start"": 504, ""end"": 525, ""text"": ""GILMAR PERES MONTEIRO"", ""labels"": [""nome_responsavel""]}]",3,28039,2022-09-30T18:12:06.418506Z,2022-09-30T18:12:06.418519Z,
"AVISO DE ANULACAO
PREGAO ELETRONICO No 10/2019
PROCESSO: 00053-00009769/2019-41/CBMDF. TIPO: Menor preco. OBJETO: Aquisicao de
microscopio reto trinocular para realizacao das analises laboratoriais para o CBMDF. O DICOA
informa a ANULACAO do certame, em razao da existencia de vicios insanaveis no certame. Esta
aberto o prazo recursal na forma do Art. 109, I, ""c"", da Lei 8.666/1993. Inf.: (61) 3901-3481. Marcelo
Teixeira Dantas.",42246,"[{""start"": 39, ""end"": 46, ""text"": ""10/2019"", ""labels"": [""numero_licitacao""]}, {""start"": 57, ""end"": 79, ""text"": ""00053-00009769/2019-41"", ""labels"": [""processo_gdf""]}, {""start"": 230, ""end"": 238, ""text"": ""ANULACAO"", ""labels"": [""identificacao_ocorrencia""]}, {""start"": 407, ""end"": 430, ""text"": ""Marcelo\nTeixeira Dantas"", ""labels"": [""nome_responsavel""]}, {""start"": 205, ""end"": 210, ""text"": ""CBMDF"", ""labels"": [""orgao_licitante""]}, {""start"": 18, ""end"": 35, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}]",3,28038,2022-09-30T18:12:06.418424Z,2022-09-30T18:12:06.418437Z,
"AVISO DE REVOGACAO
PREGAO ELETRONICO No 123/2019 - UASG 926119
A Pregoeira da Central de Compras torna publico aos interessados que, o procedimento licitatorio para
contratacao de empresa especializada para a Operacao Logistica da cadeia de suprimentos, conforme
especificacoes e quantitativos constantes no Anexo I do Edital, restou REVOGADO, nos termos do
Processo no 00060-00123066/2018-91 e Art. 49 da Lei 8.666/93, por decisao prolatada pelo Subsecretario
de Administracao Geral, Antony Araujo Couto, e pelo Secretario de Estado de Saude, Osnei Okumoto,
para atender as necessidades e demandas exigidas para o sistema de operacao logistica desta Pasta, bem
como para conclusao de mapeamento da Cadeia de Suprimentos.
MERITA SIMIONE BORGES",42245,"[{""start"": 40, ""end"": 62, ""text"": ""123/2019 - UASG 926119"", ""labels"": [""numero_licitacao""]}, {""start"": 19, ""end"": 36, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 334, ""end"": 342, ""text"": ""REVOGADO"", ""labels"": [""identificacao_ocorrencia""]}, {""start"": 370, ""end"": 392, ""text"": ""00060-00123066/2018-91"", ""labels"": [""processo_gdf""]}, {""start"": 722, ""end"": 743, ""text"": ""MERITA SIMIONE BORGES"", ""labels"": [""nome_responsavel""]}]",3,28037,2022-09-30T18:12:06.418345Z,2022-09-30T18:12:06.418358Z,
