text,id,label,annotator,annotation_id,created_at,updated_at,lead_time
"AVISOS DE LICITACOES
PREGAO ELETRONICO No 116/2018
OBJETO: Registro de Precos visando a eventual aquisicao de Material de Expediente; Material de
Acondicionamento e Embalagem; Material de Limpeza e Producao de Higienizacao; Material de
Protecao e Seguranca; Ferramenta; Uniformes, Tecidos e Aviamentos; e aquisicao de equipamentos e
material permanente: Aparelho de Medicao e Orientacao, a fim de atender aos diversos orgaos
integrantes da centralizacao de compras do Distrito Federal, conforme especificacoes e condicoes
constantes no Termo de Referencia - Anexo I do Edital. Valor total estimado: R$ 767.907,37. Tipo
de licitacao: Menor preco. Elemento de despesa: 33.90.30. Prazo de vigencia da Ata de Registro de
Precos: 12 (doze) meses. Abertura das propostas dia 20/11/2018, as 9h30min. Processo (SEI) n
00410-00024534/2017-65. O edital podera ser retirado no endereco eletronico www.compras.df.gov.br.
Informacoes pelo telefone: (61) 3313.8497.
Brasilia/DF, 1o de novembro de 2018
GERARDA DA SILVA CARVALHO
Pregoeira",42770,"[{""start"": 21, ""end"": 38, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 42, ""end"": 50, ""text"": ""116/2018"", ""labels"": [""numero_licitacao""]}, {""start"": 602, ""end"": 612, ""text"": ""767.907,37"", ""labels"": [""valor_estimado_contratacao""]}, {""start"": 769, ""end"": 779, ""text"": ""20/11/2018"", ""labels"": [""data_abertura_licitacao""]}, {""start"": 886, ""end"": 907, ""text"": ""www.compras.df.gov.br"", ""labels"": [""sistema_compras""]}, {""start"": 988, ""end"": 1013, ""text"": ""GERARDA DA SILVA CARVALHO"", ""labels"": [""nome_responsavel""]}, {""start"": 59, ""end"": 77, ""text"": ""Registro de Precos"", ""labels"": [""tipo_objeto""]}, {""start"": 810, ""end"": 832, ""text"": ""00410-00024534/2017-65"", ""labels"": [""processo_gdf""]}, {""start"": 59, ""end"": 575, ""text"": ""Registro de Precos visando a eventual aquisicao de Material de Expediente; Material de\nAcondicionamento e Embalagem; Material de Limpeza e Producao de Higienizacao; Material de\nProtecao e Seguranca; Ferramenta; Uniformes, Tecidos e Aviamentos; e aquisicao de equipamentos e\nmaterial permanente: Aparelho de Medicao e Orientacao, a fim de atender aos diversos orgaos\nintegrantes da centralizacao de compras do Distrito Federal, conforme especificacoes e condicoes\nconstantes no Termo de Referencia - Anexo I do Edital"", ""labels"": [""objeto_licitacao""]}]",3,28562,2022-09-30T18:22:41.184776Z,2022-09-30T18:22:41.184786Z,
"PREGAO ELETRONICO No 129/2018
OBJETO: Registro de Precos visando eventual aquisicao de material de consumo - generos
alimenticios, contemplando Cha, Leite e Adocante, a fim de atender aos diversos orgaos integrantes
da centralizacao de compras do Complexo Administrativo do Distrito Federal (DF), conforme
condicoes e especificacoes constantes no Termo de Referencia - Anexo I deste Edital. Valor total
estimado: R$ 201.025,16. Tipo de licitacao: Menor preco. Elemento de despesa: 33.90.30. Prazo de
vigencia da Ata de Registro de Precos: 12 (doze) meses. Abertura das propostas dia 21/11/2018, as
9h30min. Processo (SEI) n 00410-00010748/2018-35. O edital podera ser retirado no endereco
eletronico www.compras.df.gov.br. Informacoes pelo telefone: (61) 3313.8497.
Brasilia/DF, 1o de novembro de 2018
GERARDA DA SILVA CARVALHO
Pregoeira",42769,"[{""start"": 700, ""end"": 721, ""text"": ""www.compras.df.gov.br"", ""labels"": [""sistema_compras""]}, {""start"": 802, ""end"": 827, ""text"": ""GERARDA DA SILVA CARVALHO"", ""labels"": [""nome_responsavel""]}, {""start"": 21, ""end"": 29, ""text"": ""129/2018"", ""labels"": [""numero_licitacao""]}, {""start"": 38, ""end"": 56, ""text"": ""Registro de Precos"", ""labels"": [""tipo_objeto""]}, {""start"": 416, ""end"": 426, ""text"": ""201.025,16"", ""labels"": [""valor_estimado_contratacao""]}, {""start"": 583, ""end"": 593, ""text"": ""21/11/2018"", ""labels"": [""data_abertura_licitacao""]}, {""start"": 624, ""end"": 646, ""text"": ""00410-00010748/2018-35"", ""labels"": [""processo_gdf""]}, {""start"": 38, ""end"": 389, ""text"": ""Registro de Precos visando eventual aquisicao de material de consumo - generos\nalimenticios, contemplando Cha, Leite e Adocante, a fim de atender aos diversos orgaos integrantes\nda centralizacao de compras do Complexo Administrativo do Distrito Federal (DF), conforme\ncondicoes e especificacoes constantes no Termo de Referencia - Anexo I deste Edital"", ""labels"": [""objeto_licitacao""]}, {""start"": 0, ""end"": 17, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}]",3,28561,2022-09-30T18:22:41.184704Z,2022-09-30T18:22:41.184714Z,
"AVISOS DE LICITACOES
PREGAO ELETRONICO No 141/2018-UASG 925041
Objeto: Registro de Precos para a contratacao de empresa para a prestacao de servicos de alimentacao
e nutricao, para gestao de Restaurante Popular, a partir do preparo, fornecimento e distribuicao de
refeicoes para atender as demandas da Secretaria de Estado do Trabalho, Desenvolvimento Social,
Mulheres, Igualdade Racial e Direitos Humanos, conforme condicoes e especificacoes constantes do
Termo de Referencia - Anexo I do Edital. Tipo de Licitacao: Menor Preco. Elemento de Despesa:
33.90.39. Valor total anual estimado: R$ 99.754.200,00. Validade da Ata de Registro de Precos: 12
(doze) meses. Processo (SEI) n.o 00410-00012776/2018-97-SCG/SEPLAG. Abertura das Propostas:
Dia  10/12/2018  as  09h30min.  O  edital podera  ser  retirado  no  endereco  eletronico
www.comprasgovernamentais.gov.br. Informacoes pelo telefone: (61) 3313.8497.
Brasilia/DF, 21 de novembro de 2018.
GERARDA DA SILVA CARVALHO
Pregoeira",42768,"[{""start"": 21, ""end"": 38, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 945, ""end"": 970, ""text"": ""GERARDA DA SILVA CARVALHO"", ""labels"": [""nome_responsavel""]}, {""start"": 71, ""end"": 89, ""text"": ""Registro de Precos"", ""labels"": [""tipo_objeto""]}, {""start"": 42, ""end"": 50, ""text"": ""141/2018"", ""labels"": [""numero_licitacao""]}, {""start"": 56, ""end"": 62, ""text"": ""925041"", ""labels"": [""codigo_licitacao_sistema_compras""]}, {""start"": 71, ""end"": 497, ""text"": ""Registro de Precos para a contratacao de empresa para a prestacao de servicos de alimentacao\ne nutricao, para gestao de Restaurante Popular, a partir do preparo, fornecimento e distribuicao de\nrefeicoes para atender as demandas da Secretaria de Estado do Trabalho, Desenvolvimento Social,\nMulheres, Igualdade Racial e Direitos Humanos, conforme condicoes e especificacoes constantes do\nTermo de Referencia - Anexo I do Edital."", ""labels"": [""objeto_licitacao""]}, {""start"": 592, ""end"": 605, ""text"": ""99.754.200,00"", ""labels"": [""valor_estimado_contratacao""]}, {""start"": 746, ""end"": 756, ""text"": ""10/12/2018"", ""labels"": [""data_abertura_licitacao""]}, {""start"": 831, ""end"": 863, ""text"": ""www.comprasgovernamentais.gov.br"", ""labels"": [""sistema_compras""]}, {""start"": 682, ""end"": 704, ""text"": ""00410-00012776/2018-97"", ""labels"": [""processo_gdf""]}]",3,28560,2022-09-30T18:22:41.184632Z,2022-09-30T18:22:41.184642Z,
"PREGAO ELETRONICO POR SRP No 489/2018 - UASG 926119
Objeto: Aquisicao de material de consumo dreno em t n.14 1 e outros em sistema de registro de precos
para atender as necessidades da Secretaria de Estado de Saude/DF, conforme especificacoes e quantitativos
constantes no Anexo I do Edital. Processo SEI no 00060.00260541/2017-28. Total de 7 itens (exclusivo
ME/EPP). Valor Estimado: R$ 51.247,5228. Edital e Cadastro das Propostas: a partir de 22/11/2018.
Abertura das Propostas: 05/12/2018 as 9 horas, horario de Brasilia, no site www.comprasnet.gov.br. O
Edital encontra-se disponibilizado sem onus, no site ou com onus no endereco: SAIN - Setor de Areas
Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar, sala 83, Central de Compras da
SUAG/SES, CEP 70770-200, Brasilia/DF.
CERIZE HELENA SOUZA SALES
Pregoeira",42767,"[{""start"": 0, ""end"": 17, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 45, ""end"": 51, ""text"": ""926119"", ""labels"": [""codigo_licitacao_sistema_compras""]}, {""start"": 60, ""end"": 69, ""text"": ""Aquisicao"", ""labels"": [""tipo_objeto""]}, {""start"": 534, ""end"": 555, ""text"": ""www.comprasnet.gov.br"", ""labels"": [""sistema_compras""]}, {""start"": 29, ""end"": 37, ""text"": ""489/2018"", ""labels"": [""numero_licitacao""]}, {""start"": 60, ""end"": 290, ""text"": ""Aquisicao de material de consumo dreno em t n.14 1 e outros em sistema de registro de precos\npara atender as necessidades da Secretaria de Estado de Saude/DF, conforme especificacoes e quantitativos\nconstantes no Anexo I do Edital"", ""labels"": [""objeto_licitacao""]}, {""start"": 308, ""end"": 330, ""text"": ""00060.00260541/2017-28"", ""labels"": [""processo_gdf""]}, {""start"": 388, ""end"": 399, ""text"": ""51.247,5228"", ""labels"": [""valor_estimado_contratacao""]}, {""start"": 797, ""end"": 822, ""text"": ""CERIZE HELENA SOUZA SALES"", ""labels"": [""nome_responsavel""]}, {""start"": 446, ""end"": 456, ""text"": ""22/11/2018"", ""labels"": [""data_abertura_licitacao""]}]",3,28559,2022-09-30T18:22:41.184557Z,2022-09-30T18:22:41.184568Z,
"PREGAO ELETRONICO POR SRP No 490/2018 - UASG 926119
Objeto: Aquisicao em Sistema de Registro de Precos de material de ORTESES, PROTESES E
MATERIAIS ESPECIAIS (Ambulatoriais) - cadeira de rodas para banho em concha e paraplegico adulto,
contemplados na Tabela SUS/MS, para atender as necessidades da Secretaria de Estado de Saude/DF,
conforme descritivo e quantitativo do Anexo I do edital. Processo SEI no 00060.00096786/2018-76. Total
de 4 itens (ampla concorrencia e cota ME/EPP). Valor Estimado: R$ 546.756,7000. Edital e Cadastro das
Propostas: a partir de 22/11/2018. Abertura das Propostas: 05/12/2018 as 10 horas, horario de Brasilia, no
site www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou com onus no
endereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar,
sala 83, Central de Compras da SUAG/SES, CEP 70770-200, Brasilia/DF.
CERIZE HELENA SOUZA SALES
Pregoeira",42766,"[{""start"": 45, ""end"": 51, ""text"": ""926119"", ""labels"": [""codigo_licitacao_sistema_compras""]}, {""start"": 60, ""end"": 69, ""text"": ""Aquisicao"", ""labels"": [""tipo_objeto""]}, {""start"": 650, ""end"": 671, ""text"": ""www.comprasnet.gov.br"", ""labels"": [""sistema_compras""]}, {""start"": 913, ""end"": 938, ""text"": ""CERIZE HELENA SOUZA SALES"", ""labels"": [""nome_responsavel""]}, {""start"": 29, ""end"": 37, ""text"": ""490/2018"", ""labels"": [""numero_licitacao""]}, {""start"": 60, ""end"": 389, ""text"": ""Aquisicao em Sistema de Registro de Precos de material de ORTESES, PROTESES E\nMATERIAIS ESPECIAIS (Ambulatoriais) - cadeira de rodas para banho em concha e paraplegico adulto,\ncontemplados na Tabela SUS/MS, para atender as necessidades da Secretaria de Estado de Saude/DF,\nconforme descritivo e quantitativo do Anexo I do edital."", ""labels"": [""objeto_licitacao""]}, {""start"": 406, ""end"": 428, ""text"": ""00060.00096786/2018-76"", ""labels"": [""processo_gdf""]}, {""start"": 502, ""end"": 514, ""text"": ""546.756,7000"", ""labels"": [""valor_estimado_contratacao""]}, {""start"": 561, ""end"": 571, ""text"": ""22/11/2018"", ""labels"": [""data_abertura_licitacao""]}, {""start"": 0, ""end"": 17, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}]",3,28558,2022-09-30T18:22:41.184484Z,2022-09-30T18:22:41.184494Z,
"AVISO DE LICITACAO
PREGAO ELETRONICO No 95/2018
Aquisicao de material de Consumo - Bobina de Papel, tudo conforme especificacoes do anexo I do Edital,
Processo SEI no 113.00014123/2018-05. Data e horario para recebimento das propostas: ate 09h00min do
dia 06 de dezembro de 2018, com valor estimado de R$ 5.881,80. Demais informacoes conforme
edital.
Brasilia/DF, 21 de novembro de 2018.
CELIA MARIA SIQUEIRA LEAL
Diretora",42765,"[{""start"": 19, ""end"": 36, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 48, ""end"": 57, ""text"": ""Aquisicao"", ""labels"": [""tipo_objeto""]}, {""start"": 40, ""end"": 47, ""text"": ""95/2018"", ""labels"": [""numero_licitacao""]}, {""start"": 48, ""end"": 187, ""text"": ""Aquisicao de material de Consumo - Bobina de Papel, tudo conforme especificacoes do anexo I do Edital,\nProcesso SEI no 113.00014123/2018-05"", ""labels"": [""objeto_licitacao""]}, {""start"": 167, ""end"": 187, ""text"": ""113.00014123/2018-05"", ""labels"": [""processo_gdf""]}, {""start"": 256, ""end"": 278, ""text"": ""06 de dezembro de 2018"", ""labels"": [""data_abertura_licitacao""]}, {""start"": 305, ""end"": 313, ""text"": ""5.881,80"", ""labels"": [""valor_estimado_contratacao""]}, {""start"": 388, ""end"": 413, ""text"": ""CELIA MARIA SIQUEIRA LEAL"", ""labels"": [""nome_responsavel""]}]",3,28557,2022-09-30T18:22:41.184409Z,2022-09-30T18:22:41.184420Z,
"PREGAO ELETRONICO No 96/2018
Aquisicao de material de Permanente - Microcomputadores, tudo conforme especificacoes do anexo I do
Edital, Processo SEI no 113.00023272/2018-57. Data e horario para recebimento das propostas: ate
09h00min do dia 06 de dezembro de 2018, com valor estimado de R$ 153.374,62. Demais informacoes
conforme edital.
Brasilia/DF, 21 de novembro de 2018.
CELIA MARIA SIQUEIRA LEAL
Diretora",42764,"[{""start"": 0, ""end"": 17, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 29, ""end"": 38, ""text"": ""Aquisicao"", ""labels"": [""tipo_objeto""]}, {""start"": 242, ""end"": 264, ""text"": ""06 de dezembro de 2018"", ""labels"": [""data_abertura_licitacao""]}, {""start"": 376, ""end"": 401, ""text"": ""CELIA MARIA SIQUEIRA LEAL"", ""labels"": [""nome_responsavel""]}, {""start"": 21, ""end"": 28, ""text"": ""96/2018"", ""labels"": [""numero_licitacao""]}, {""start"": 29, ""end"": 174, ""text"": ""Aquisicao de material de Permanente - Microcomputadores, tudo conforme especificacoes do anexo I do\nEdital, Processo SEI no 113.00023272/2018-57."", ""labels"": [""objeto_licitacao""]}, {""start"": 153, ""end"": 173, ""text"": ""113.00023272/2018-57"", ""labels"": [""processo_gdf""]}, {""start"": 291, ""end"": 301, ""text"": ""153.374,62"", ""labels"": [""valor_estimado_contratacao""]}]",3,28556,2022-09-30T18:22:41.184340Z,2022-09-30T18:22:41.184351Z,
"PREGAO ELETRONICO No 97/2018
Aquisicao de material de Consumo - Registro de Precos para aquisicao de botas taticas, tudo conforme
especificacoes do anexo I do Edital, Processo SEI no 113.00021075/2018-01. Data e horario para
recebimento das propostas: ate 09h00min do dia 06 de dezembro de 2018, com valor estimado de R$
965.000,00. Demais informacoes conforme edital.
Brasilia/DF, 21 de novembro de 2018.
CELIA MARIA SIQUEIRA LEAL
Diretora",42763,"[{""start"": 0, ""end"": 17, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 29, ""end"": 38, ""text"": ""Aquisicao"", ""labels"": [""tipo_objeto""]}, {""start"": 272, ""end"": 294, ""text"": ""06 de dezembro de 2018"", ""labels"": [""data_abertura_licitacao""]}, {""start"": 406, ""end"": 431, ""text"": ""CELIA MARIA SIQUEIRA LEAL"", ""labels"": [""nome_responsavel""]}, {""start"": 21, ""end"": 28, ""text"": ""97/2018"", ""labels"": [""numero_licitacao""]}, {""start"": 29, ""end"": 203, ""text"": ""Aquisicao de material de Consumo - Registro de Precos para aquisicao de botas taticas, tudo conforme\nespecificacoes do anexo I do Edital, Processo SEI no 113.00021075/2018-01"", ""labels"": [""objeto_licitacao""]}, {""start"": 183, ""end"": 203, ""text"": ""113.00021075/2018-01"", ""labels"": [""processo_gdf""]}, {""start"": 321, ""end"": 331, ""text"": ""965.000,00"", ""labels"": [""valor_estimado_contratacao""]}]",3,28555,2022-09-30T18:22:41.184271Z,2022-09-30T18:22:41.184281Z,
"PREGAO ELETRONICO No 98/2018
Aquisicao de material de Consumo - Registro de Precos para aquisicao de EPI s, tudo conforme
especificacoes do anexo I do Edital, Processo SEI no 113.00020967/2018-87. Data e horario para
recebimento das propostas: ate 09h00min do 06 de dezembro de 2018, com valor estimado de R$
1.162.513,10. Demais informacoes conforme edital.
Brasilia/DF, 21 de novembro de 2018.
CELIA MARIA SIQUEIRA LEAL
Diretora",42762,"[{""start"": 0, ""end"": 17, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}, {""start"": 29, ""end"": 38, ""text"": ""Aquisicao"", ""labels"": [""tipo_objeto""]}, {""start"": 260, ""end"": 282, ""text"": ""06 de dezembro de 2018"", ""labels"": [""data_abertura_licitacao""]}, {""start"": 21, ""end"": 28, ""text"": ""98/2018"", ""labels"": [""numero_licitacao""]}, {""start"": 29, ""end"": 195, ""text"": ""Aquisicao de material de Consumo - Registro de Precos para aquisicao de EPI s, tudo conforme\nespecificacoes do anexo I do Edital, Processo SEI no 113.00020967/2018-87"", ""labels"": [""objeto_licitacao""]}, {""start"": 175, ""end"": 195, ""text"": ""113.00020967/2018-87"", ""labels"": [""processo_gdf""]}, {""start"": 309, ""end"": 321, ""text"": ""1.162.513,10"", ""labels"": [""valor_estimado_contratacao""]}]",3,28554,2022-09-30T18:22:41.184202Z,2022-09-30T18:22:41.184213Z,
"PREGAO ELETRONICO No 99/2018
Aquisicao de material de Consumo - Desempenadeira, prumo, peneira colher de pedreiro, tudo conforme
especificacoes do anexo I do Edital, Processo SEI no 113.000127/2017. Data e horario para recebimento
das propostas: ate 09h00min do dia 06 de dezembro de 2018, com valor estimado de R$ 7.152,60. Demais
informacoes conforme edital.
Brasilia/DF, 21 de novembro de 2018.
CELIA MARIA SIQUEIRA LEAL
Diretora",42761,"[{""start"": 29, ""end"": 38, ""text"": ""Aquisicao"", ""labels"": [""tipo_objeto""]}, {""start"": 266, ""end"": 288, ""text"": ""06 de dezembro de 2018"", ""labels"": [""data_abertura_licitacao""]}, {""start"": 398, ""end"": 423, ""text"": ""CELIA MARIA SIQUEIRA LEAL"", ""labels"": [""nome_responsavel""]}, {""start"": 21, ""end"": 28, ""text"": ""99/2018"", ""labels"": [""numero_licitacao""]}, {""start"": 29, ""end"": 198, ""text"": ""Aquisicao de material de Consumo - Desempenadeira, prumo, peneira colher de pedreiro, tudo conforme\nespecificacoes do anexo I do Edital, Processo SEI no 113.000127/2017."", ""labels"": [""objeto_licitacao""]}, {""start"": 182, ""end"": 197, ""text"": ""113.000127/2017"", ""labels"": [""processo_gdf""]}, {""start"": 315, ""end"": 323, ""text"": ""7.152,60"", ""labels"": [""valor_estimado_contratacao""]}, {""start"": 0, ""end"": 17, ""text"": ""PREGAO ELETRONICO"", ""labels"": [""modalidade_licitacao""]}]",3,28553,2022-09-30T18:22:41.184136Z,2022-09-30T18:22:41.184146Z,
