,texto
5,"AVISO DE REVOGACAO
PREGAO ELETRONICO No 123/2019 - UASG 926119
A Pregoeira da Central de Compras torna publico aos interessados que, o procedimento licitatorio para
contratacao de empresa especializada para a Operacao Logistica da cadeia de suprimentos, conforme
especificacoes e quantitativos constantes no Anexo I do Edital, restou REVOGADO, nos termos do
Processo no 00060-00123066/2018-91 e Art. 49 da Lei 8.666/93, por decisao prolatada pelo Subsecretario
de Administracao Geral, Antony Araujo Couto, e pelo Secretario de Estado de Saude, Osnei Okumoto,
para atender as necessidades e demandas exigidas para o sistema de operacao logistica desta Pasta, bem
como para conclusao de mapeamento da Cadeia de Suprimentos.
MERITA SIMIONE BORGES"
12,"AVISO DE REVOGACAO
PREGAO ELETRONICO No 14/2019
PROCESSO: 0052.002.099/2016. OBJETO: Contratacao de servicos de solucao de impressao, copia e
digitalizacao a fim de atender necessidades gerais e especificas das unidades policiais da PCDF. TIPO:
Menor Preco. O ordenador de despesas da PCDF, de acordo com o artigo 109  1o da lei de
licitacoes, torna publico aos licitantes e demais interessados que o certame supracitado foi revogado,
devido a ocorrencia de falhas operacionais no Sistema COMPRASNET durante o tempo aleatorio para
lances, com possibilidade de cerceamento da competitividade entre os licitantes, conforme decisao
fundamentada no art. 49, caput, assegurado o prazo previsto no art. 109, inciso I, c, da Lei no
8.666/93. A integra do documento esta disponivel no site www.pcdf.df.gov.br, link licitacoes. Maiores
informacoes na CPL/PCDF fones: 3207-4071/4046.
Brasilia/DF, 1o de agosto de 2019.
SILVERIO ANTONIO MOITA DE ANDRADE
Diretor"
13,"AVISO DE REVOGACAO LICITACAO PUBLICA NACIONAL - LPN 011/2019
A Caesb, no ambito de seu Programa de Saneamento Ambiental, financiado pelo Banco Interamericano de
Desenvolvimento - BID, torna publico que a Licitacao Publica Nacional - LPN 011/2019, processo no
092.005465/2019, para execucao das Obras de Setorizacao e Adequacao de Redes nas localidades da Asa
Sul, Cruzeiro, Asa Norte e Jardim Botanico, incluindo o fornecimento e Instalacao do Novo Booster, foi
revogada por conveniencia administrativa.
GILMAR PERES MONTEIRO
Presidente da Comissao"
27,"AVISO DE ANULACAO
PREGAO ELETRONICO SRP No 03/2017
O PREGOEIRO DA SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FE-
DERAL, em atendimento a Decisao no 3816/2018 do Tribunal de Contas do Distrito Federal,
comunica a ANULACAO do PREGAO ELETRONICO - SRP no 03/2017, Contratacao de
empresa especializada em transporte de pessoas para prestacao de servico de transporte
escolar dos alunos da Rede Publica de Ensino do Distrito Federal na Regiao: ""C"" - Sao
Sebastiao, por meio de veiculos com motorista, monitor e encarregado conforme espe-
cificacao constante deste Termo Referencia e seu ENCARTE B, nos itinerarios residencia-
escola e vice-versa, bem como nas atividades curriculares ou extracurriculares contidas nos
Projetos Politicos Pedagogicos das Instituicoes Educacionais conforme especificacoes e con-
dicoes estabelecidas no termo de referencia constante do Anexo I do Edital, objeto do
procedimento administrativo no 080.000401/2016. Os autos ficam com vistas franqueadas aos
interessados, nesta Secretaria de Estado de Educacao, na SGAN 607 Projecoes ""D"" sala 309
(telefone 3901-2319), nos sites http://www.comprasnet.gov.br e http://w w w. s e . d f . g o v. b r.
JOSEMAR SALVIANO DA SILVA."
34,"AVISO DE REVOGACAO DE LICITACAO
PREGAO ELETRONICO PE No 2/2019 (UASG: 927507)
A Secretaria de Estado de Justica e Cidadania do Distrito Federal, torna publico que, seguindo o
interesse publico e com suporte na Manifestacao 233 da AJL, documento SEI no 26459672, revoga
o Pregao Eletronico no 02/2019 objeto: Contratacao empresa especializada para prestacao de servicos
graficos - incluindo material e mao de obra necessaria para a execucao e acabamento dos servicos
graficos, sob demanda, necessarios a realizacao da eleicao dos Conselheiros Tutelares do Distrito
Federal para o Quadrienio 2020/2023, conforme condicoes e exigencias estabelecidas no Projeto
Basico constante do Anexo I do Edital. Processo SEI no 00400-00023725/2019-17, Informacoes pelo
telefone: (61) 3213-0712.
ERONILDO DE JESUS
Pregoeiro"
41,"AVISO DE REVOGACAO DE LICITACAO
A Caesb torna publico que o Pregao Eletronico PE No 221/2019, processo no 092.000207/2019, realizado
no site: www.comprasnet.gov.br (UASG: 974200), tipo de licitacao: menor preco, para o registro de precos
para aquisicao de parafusos, arruelas, porcas e chumbadores, foi revogada por tratar-se de licitacao
fracassada.
NARA MAGALHAES DA SILVA
Pregoeira"
48,"AVISO DE REVOGACAO
PREGAO ELETRONICO No 150/2018 - SRP - UASG 925041
Processo: 00410-00008137-27 - SEEC/DF. O pregoeiro comunica que o pregao acima citado foi
revogado, com fulcro no art. 49 da Lei Federal n. o 8.666/93 e na Nota Tecnica no 27/2019 - AJL,
acolhido pela Autoridade competente, devidamente fundamentado e constante dos autos. Maiores
Informacoes: Coordenacoes de Licitacoes - COLIC/SEEC - DF, telefone: 0xx(61) 3313-8494.
Brasilia/DF, 08 de outubro de 2019.
EDSON DE SOUZA
Coordenador"
49,"AVISO DE REVOGACAO
PREGAO ELETRONICO No 08/2019
A Pregoeira responsavel pelo certame, Processo: 0052.00015532/2018-46, Objeto: Aquisicao de
eletrodomesticos (bebedouro, freezer, televisor, fogao a gas GLP, fogao cooktop eletrico 4 bocas
vitroceramico) destinados a diversas unidades da Policia Civil do Distrito Federal, conforme Anexo I do
Edital, comunica a revogacao da licitacao supracitada, em razao do interesse publico decorrente de fato
superveniente consubstanciado na homologacao de Ata de Registro de Precos do Governo do Distrito
Federal para aquisicao de eletrodomesticos. Maiores informacoes na CPL/PCDF fones: 3207-4071/4046.
Brasilia/DF, 12 de abril de 2019
KELLY CRISTINA CORDEIRO GUEDES"
62,"AVISO DE ANULACAO
PREGAO ELETRONICO No 16/2017 - SRP
Processo no 054.002.382/2017. O Chefe do Departamento de Saude e Assistencia ao Pessoal
da Policia Militar do Distrito Federal torna publico aos interessados a ANULACAO do
certame em epigrafe, inicialmente previsto para ocorrer em 23/1/2018, as 14h, por vicio de
incompetencia na autorizacao do processo licitatorio. Objeto: Registro de Preco para aqui-
sicao de material farmacologico e hospitalar, conforme especificacoes e quantidades cons-
tantes no Anexo I do edital. Valor estimado de R$ 11.187,75 (onze mil cento e oitenta e sete
reais de setenta e cinco centavos). Informacoes: (61) 3190-8054 e dsap.sspre-
goes@pm.df.gov.br e dsap.sspregoes@gmail.com.
Brasilia/DF, 08 de fevereiro de 2018.
ROGERIO BRITO DE MIRANDA"
69,"AVISO DE ANULACAO
PREGAO ELETRONICO No 10/2019
PROCESSO: 00053-00009769/2019-41/CBMDF. TIPO: Menor preco. OBJETO: Aquisicao de
microscopio reto trinocular para realizacao das analises laboratoriais para o CBMDF. O DICOA
informa a ANULACAO do certame, em razao da existencia de vicios insanaveis no certame. Esta
aberto o prazo recursal na forma do Art. 109, I, ""c"", da Lei 8.666/1993. Inf.: (61) 3901-3481. Marcelo
Teixeira Dantas."
