,texto
0,"AVISO DE ABERTURA
PREGAO ELETRONICO POR SRP No 167/2019 - UASG 926119
Objeto: Aquisicao regular do material odontologico PASTA PARA MOLDAGEM e outros em sistema de
registro de precos, para atender as necessidades da Secretaria de Saude - DF, conforme especificacoes e
quantitativos constantes no Anexo I do Edital. Processo: 00060-00561838/2018-99. Total de 9 itens
(exclusiva as ME/EPP). Valor Estimado: R$ 53.782,8936. Cadastro das Propostas: a partir de 02/08/2019.
Abertura das Propostas: 14/08/2019 as 09 horas, horario de Brasilia, no site www.comprasnet.gov.br. O
Edital encontra-se disponibilizado sem onus, no site ou com onus no endereco: SAIN - Setor de Areas
Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar, sala 83, Central de Compras da
SUAG/SES, CEP 70770-200, Brasilia/DF.
JULIANA ARAUJO E SOUZA
Pregoeira"
19,"AVISO DE DISPENSA DE LICITACAO
COTACAO ELETRONICA No 06/2019 - UASG 926334
A Diretora Presidente comunica a abertura da cotacao eletronica supracitada, tipo menor preco, para aquisicao
de sacos descartaveis para uso em descongelador de plasma e para isolamento de bolsas de plasma. O
Procedimento ocorrera nos termos da Lei no 8.666/93 e do Termo de Referencia. Valor total Estimado: R$
8.400,00. Processo no 0063-000314/2015. A data do encerramento da cotacao eletronica sera ate as 17:59h do
dia 06 de agosto de 2019, no portal Compras Governamentais https://www.comprasgovernamentais.gov.br. O
edital de convocacao com maiores informacoes encontra-se disponivel no sitio www.fhb.gov.br. Maiores
informacoes por meio do telefone: (61) 3327- 4457.
BARBARA DE JESUS SIMOES"
22,"AVISO DE ABERTURA DE LICITACAO
PREGAO ELETRONICO No 09/2019
Processo: 00072-00001012/2019-62. Tipo: Menor Preco por Item. Objeto: Contratacao de servicos de
fornecimento de alimentacao para atender os cursos e seminarios ministrados pelo Centro de Capacitacao
da Emater-DF (Centrer) e os previstos no plano de trabalho do Convenio de Formacao de Agentes de
Assistencia Tecnica e Extensao Rural (Ater). Valor estimado: R$ 48.597,00 (quarenta e oito mil e
quinhentos e noventa  e sete reais). Programa de  Trabalho; 20.606.6207.2173.0002  e
20.606.6207.2173.0016 Fonte: 432 e 110. Prazo de entrega: Conforme item 8 do Termo de Referencia -
Anexo I, Edital. Recebimento das Propostas: ate 28/08/2019 as 10h00min no endereco eletronico
www.comprasnet.gov.br UASG 926241. Data da Sessao Publica: 28/08/2019 as 10h01min. Edital
disponivel no endereco descrito acima.
LUCIANA DE ANDRADE CAMPOS
Pregoeira"
34,"AVISO DE ABERTURA DE LICITACAO
PREGAO ELETRONICO No 19/2019
PROCESSO SEI-GDF: 00050-00047146/2018-70. TIPO: Menor Preco. OBJETO: Aquisicao e instalacao
de estruturas porta-paletes e aquisicao de paletes e empilhadeiras eletricas, para atender demandas da
Secretaria de Estado de Seguranca Publica do Distrito Federal. VALOR ESTIMADO: R$ 239.168,85.
PRAZOS: Entrega ate 30 dias corridos para os itens 2 e 3, e 45 dias corridos para o item 1, contatos da
data de recebimento da Nota de Empenho ou da assinatura do contrato. Vigencia do Contrato: 180 (cento
e oitenta) dias a partir da data da assinatura. DATA DA SESSAO PUBLICA: 14/08/2019 as 14:00 horas
no www.comprasgovernamentais.gov.br. UASG 450107. Edital esta disponivel no endereco acima e no
h t t p : / / s s p . d f . g o v. b r / l i c i t a c o e s .
Brasilia/DF, 1o de agosto de 2019.
AMILCAR UBIRATAN URACH VIEIRA
Coordenador de Licitacoes, Contratos e Convenios."
54,"AVISO DE LICITACAO
PREGAO ELETRONICO No 27/2019
Processo: 00054-00010495/2019-12. Objeto: Registro de preco para futura aquisicao de Motocicletas
e veiculos de carga do tipo reboque, para atender a demanda da Policia Militar do Distrito Federal,
em conformidade com as especificacoes e condicoes constantes do termo de referencia de que trata
o Anexo I no edital. Valor previsto: R$ 15.474.813,80 (quinze milhoes, quatrocentos e setenta e quatro
mil oitocentos e treze reais e oitenta centavos). Tipo: menor preco por item. Data limite para
recebimento das propostas: Dia: 20/08/2019 as 14h (horario de Brasilia/DF). Elemento de Despesa:
3.3.90-30. Copia do Edital se encontra no sitio www.comprasgovernamentais.gov.br e em
www.pm.df.gov.br. UASG: 926016. Informacoes: 3190-5555/3190-5556/3190-5557/3190-5559 e 3190-
5704.
Brasilia/DF, 31 de julho de 2019.
STEFANO ENES LOBAO
Ordenador de Despesas"
63,"AVISO DE LICITACAO
LICITACAO No 001-S01157/2019
Processo: 00310-00006918/2019-12. Objeto: AQUISICAO DE AQUISICAO DE LANCA SUPERIOR LI
10.000 S GI COMPLETA, CONFORME ESPECIFICACAO TECNICA SEI-GDF No 01/2019 - GRT R / 2 0 1 9 .
Abertura: 14/08/2019, as 10h. Prazo de vigencia: 4 (quatro) meses. Valor global estimado: R$ 181.473,50 (cento
e oitenta e um mil, quatrocentos e setenta e tres reais e cinquenta centavos). O Edital podera ser adquirido no
Portal de Compras da CEB Distribuicao (http://compras.ceb.com.br). Demais informacoes, pelos telefones
3465-9012/9316/9297.
Brasilia/DF, 31 de julho de 2019
MARCELO ANDRADE CRUZ
Presidente da Comissao"
72,"AVISO DE LICITACAO
LICITACAO No 001-S01159/2019
Processo: 00310-00007725/2019-71. Objeto: AQUISICAO DE FERRAGENS PELO SISTEMA DE
REGISTRO DE PRECOS PELO SISTEMA DE REGISTRO DE PRECOS - SRP, CONFORME
ESPECIFICACOES TECNICAS, CONSTANTES NO SUBITEM 2.12. Abertura: 13/08/2019, as 10h. Prazo
de vigencia: 4 (quatro) meses. Valor global estimado: R$ 1.349.459,20 (um milhao, trezentos e quarenta e nove
mil, quatrocentos e cinquenta e nove reais e vinte centavos). O Edital podera ser adquirido no Portal de Compras
da CEB Distribuicao (http://compras.ceb.com.br).  Demais informacoes, pelos  telefones  3465-
9012/9316/9297.
Brasilia/DF, 31 de julho de 2019
MARCELO ANDRADE CRUZ
Presidente da Comissao"
82,"AVISO DE LICITACAO
PREGAO ELETRONICO PE No 180/2019
COTA RESERVADA (ME/EPP/MEI). PROCESSO No: 092.003706/2019. OBJETO: Registro de precos
para a aquisicao de materiais de ferro fundido para redes e adutoras de agua (flange, junta, luva, tubo,
entre outros). CRITERIO DE JULGAMENTO: Menor Preco; DOTACAO ORCAMENTARIA: UO:
22.202; PROGRAMA DE TRABALHO: 18.122.6001.8517/6977; NATUREZA DE DESPESA:
33.90.30; Codigo de Aplicacao: 12.403.402.200-0. FONTE DE RECURSO: Recursos Proprios,
CODIGO: 12.101.000.000-3. ENTREGA: 60 dias. VIGENCIA: 365 dias. ABERTURA: 15/08/2019, as
09 horas no site www.comprasnet.gov.br (UASG: 974200). INFORMACOES: O edital e seus anexos
encontram-se disponiveis no site: www.caesb.df.gov.br - menu Licitacoes, a partir do dia 02/08/2019.
Fone: (61) 3213-7429, E-mail: licitacao@caesb.df.gov.br.
JULIO CESAR SEGURADO COELHO
Pregoeiro"
92,"AVISO DE LICITACAO
PREGAO ELETRONICO PE No 181/2019
PROCESSO: 092.003407/2019. OBJETO: Registro de precos para a aquisicao de materiais plasticos,
rigidos e flexiveis (PEAD) para rede de agua e esgoto (adaptador, anel, colar, curva, joelho, uniao,
entre outros). CRITERIO DE JULGAMENTO: Menor Preco; DOTACAO ORCAMENTARIA: UO:
22.202; PROGRAMA DE TRABALHO: 18.122.6001.8517/6977; NATUREZA DE DESPESA:
33.90.30; Codigo de Aplicacao: 12.403.402.200-0. FONTE DE RECURSO: Recursos Proprios,
CODIGO: 12.101.000.000-3. ENTREGA: 30 dias. VIGENCIA: 365 dias. ABERTURA: 15/08/2019, as
09 horas no site www.comprasnet.gov.br (UASG: 974200). INFORMACOES: O edital e seus anexos
encontram-se disponiveis no site: www.caesb.df.gov.br - menu Licitacoes, a partir do dia 02/08/2019.
Fone: (61) 3213-7130, E-mail: licitacao@caesb.df.gov.br.
SILVIO S. GONCALVES SOARES
Pregoeiro"
103,"AVISO DE LICITACAO
TOMADA DE PRECOS N 001/2019
A ADMINISTRACAO REGIONAL DO RECANTO DAS EMAS, por meio de sua Comissao de
Licitacao, designada pela Ordem de Servico n 31, de 21 de maio de 2019, publicada no DODF N
98, de 27 de maio de 2019, atualizada por forca da Ordem de Servico no 39, de 25 de junho de 2019,
publicada no DODF No 123, de 03 de julho de 2019, TORNA PUBLICO que realizara no dia 18 de
dezembro de 2019, na sede da Administracao Regional do Recanto das Emas, Centro Urbano, Avenida
Recanto das Emas, Area Especial 02, as 09:00h, a Licitacao na modalidade Tomada de Precos n
01/2019-CPL/RA-XV, processo SEI n 00145.00001130/2019-51, sob o regime de execucao de
empreitada por Preco Global, do tipo menor preco, objetivando selecionar e contratar empresa de
engenharia para execucao da obra: LOTE 1 - Execucao de Estacionamento Publico Externo,
Paisagismo e Calcadas, no Centro Urbano Av. Recanto das Emas, AE 02, Administracao Regional do
Recanto das Emas e LOTE 2 - Urbanizacao do Espaco Livre Publico, na Quadra 803 conjuntos 08/17,
Recanto das Emas, com prazo de ate 120 (cento e vinte) dias para execucao. Os recursos financeiros
correrao por conta do Programa de Trabalho 15.451.6210.1110.0183, EXECUCAO DE OBRAS DE
URBANIZACAO - EXECUCAO DE OBRAS DE URBANIZACAO NA RA-XV EM 2019,
RECANTO DAS EMAS, Elemento de Despesa: 44.90.51, Unidade Orcamentaria: 09117, Fonte de
Recursos: 100, no valor estimando de R$ 259.341,95 (Duzentos e cinquenta e nove mil, trezentos e
quarenta e um reais e noventa e cinco centavos) e Programa de Trabalho 15.451. 6 2 1 0 . 111 0 . 0 2 9 9 ,
EXECUCAO DE OBRAS DE URBANIZACAO - EXECUCAO DE OBRAS DE URBANIZACAO
NA QUADRA 803- RECANTO DAS EMAS, Elemento de Despesa: 44.90.51, Unidade Orcamentaria:
09117, Fonte de Recursos: 100, Valor estimado R$ 499.951,09 (Quatrocentos e noventa e nove mil
e novecentos e cinquenta e um reais e nove centavos). O edital e seus anexos poderao ser obtidos
em nossa pagina na internet www.recanto.df.gov.br e na sede da Administracao Regional do Recanto
das Emas no Centro Urbano, Avenida Recanto das Emas, Area Especial 02, nos horarios de 09:00 as
11:00 e 15:00 as 17:00, de segunda a sexta-feira, devendo os interessados apresentarem um pen drive
para armazenamento dos dados. A autenticacao de documentos nao sera realizada no dia do certame
devendo, portanto, as licitantes comparecerem com antecedencia a esta Administracao Regional.
Contato nos telefones (61) 98438-8054 ou 9926-8262 ou e-mail geovane.miran d a @ r e c a n t o . d f . g o v. b r.
CARLOS DALVAN SOARES DE OLIVEIRA
Administrador Regional"
