,Unnamed: 0,id_dodf,tipo_rel,id_rel,anotador_rel,tipo_ent,id_ent,anotador_ent,offset,length,texto,id_ato
0,222,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R11,anotador_19112980,EXTRATO_ADITAMENTO_CONTRATUAL,237,anotador_19112980,564894,1100,"EXTRATO DO SEGUNDO TERMO ADITIVO AO CONTRATO PARA AQUISICAO DE BENS No 25/2018 Processo: 0050-00473/2016. Partes: O DISTRITO FEDERAL, por meio da SECRETARIA DE ESTADO DA SEGURANCA PUBLICA E DA PAZ SOCIAL, inscrita no Cadastro Geral de pessoa Juridica do Ministerio da Fazenda sob o no. 00.394.718/0001-00 e a empresa TOYOTA DO BRASIL LTDA, inscrita no Cadastro Nacional de Pessoa Juridica do Ministerio da Fazenda sob o no. 59.104.760/0001-91. Do Objeto: O presente Termo Aditivo tem por objeto a prorrogacao do prazo de entrega dos veiculos especificados nos itens 05,06, 40 e 41, por mais 30 (trinta dias), restando estabelecida a data final de entrega ate o dia 05/11/2018, nos termos da Lei 8.666, de 21 de junho de 1993, alterada pela Lei 9.648, de 27 de maio de 1998. Da Ratificacao: Permanecem inalteradas as demais clausulas do Contrato a que se refere o presente Termo Aditivo. Data da assinatura: 01 de novembro de 2018. Signatarios: pelo DF: CRISTIANO BARBOSA SAMPAIO, Secretario de Estado da Seguranca Publica e da Paz Social; pela Contratada: NELSON RESCALLI JUNIOR, Representante Legal.",12_22.11.2018-R11
1,223,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R11,anotador_19112980,numero_termo_aditivo,232,anotador_19112980,564905,7,SEGUNDO,12_22.11.2018-R11
2,224,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R11,anotador_19112980,numero_contrato,233,anotador_19112980,564965,7,25/2018,12_22.11.2018-R11
3,225,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R11,anotador_19112980,processo_gdf,234,anotador_19112980,564983,15,0050-00473/2016,12_22.11.2018-R11
4,226,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R11,anotador_19112980,orgao_contratante,235,anotador_19112980,565040,57,SECRETARIA DE ESTADO DA SEGURANCA PUBLICA E DA PAZ SOCIAL,12_22.11.2018-R11
5,227,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R11,anotador_19112980,objeto_aditamento_contratual,236,anotador_19112980,565349,318,"O presente Termo Aditivo tem por objeto a prorrogacao do prazo de entrega dos veiculos especificados nos itens 05,06, 40 e 41, por mais 30 (trinta dias), restando estabelecida a data final de entrega ate o dia 05/11/2018, nos termos da Lei 8.666, de 21 de junho de 1993, alterada pela Lei 9.648, de 27 de maio de 1998.",12_22.11.2018-R11
6,228,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R11,anotador_19112980,data_escrito,231,anotador_19112980,565801,22,01 de novembro de 2018,12_22.11.2018-R11
7,254,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R12,anotador_19112980,EXTRATO_ADITAMENTO_CONTRATUAL,244,anotador_19112980,574158,1313,"EXTRATO TERCEIRO TERMO ADITIVO DO CONTRATO DE PRESTACAO DE SERVICOS No 58/2015 PRESTACAO DE SERVICO Processo: (0530001247/2015). Contrato no 58/2015. Contratada: ESTERILAV ESTERILIZACAO DE MATERIAIS HOPITALARES LTDA-EPP, CNPJ no 00.814.860/0001-69. Objeto: Prorrogar o prazo de vigencia do contrato por mais 12 (doze) meses, o qual passara a viger ate o dia 06/11/2019, com base no inciso II do art. 57 da Lei n.o 8.666/93. Reajustar o valor do contrato em 4,53%, com base no Indice de Precos ao Consumidor Amplo-IPCA (13741920), com fulcro no inciso XI do art. 40 da Lei no 8.666/93. O valor do contrato passara de R$ 100.512,00 (cem mil quinhentos e doze reais) para R$ 105.120,00 (cento e cinco mil cento e vinte reais) (13736540). Dotacao Orcamentaria: Unidade Orcamentaria: 73901. Programa de Trabalho: 28845090300FM005. Natureza da Despesa: 339039. Fonte de Recursos: 0100 (FCDF). O presente termo aditivo tera vigencia de 12 (doze) meses, estando em vigor ate o dia 06/11/2019. Data da assinatura: 06/11/2018. Permanecem inalteradas as demais clausulas do Contrato a que se refere este Termo. Signatarios: Pelo Contratante: Ten-Cel. QOBM/Comb. Marcelo Teixeira Dantas, Diretor de Contratacoes e Aquisicoes; pela Contratada: Nazare de Souza Santos e Elenice Aires Borba, na qualidade de Representantes Legais.",12_22.11.2018-R12
8,255,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R12,anotador_19112980,numero_termo_aditivo,240,anotador_19112980,574166,8,TERCEIRO,12_22.11.2018-R12
9,256,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R12,anotador_19112980,numero_contrato,242,anotador_19112980,574229,7,58/2015,12_22.11.2018-R12
10,257,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R12,anotador_19112980,numero_contrato,241,anotador_19112980,574297,7,58/2015,12_22.11.2018-R12
11,258,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R12,anotador_19112980,processo_gdf,238,anotador_19112980,574268,15,0530001247/2015,12_22.11.2018-R12
12,259,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R12,anotador_19112980,objeto_aditamento_contratual,243,anotador_19112980,574413,477,"Prorrogar o prazo de vigencia do contrato por mais 12 (doze) meses, o qual passara a viger ate o dia 06/11/2019, com base no inciso II do art. 57 da Lei n.o 8.666/93. Reajustar o valor do contrato em 4,53%, com base no Indice de Precos ao Consumidor Amplo-IPCA (13741920), com fulcro no inciso XI do art. 40 da Lei no 8.666/93. O valor do contrato passara de R$ 100.512,00 (cem mil quinhentos e doze reais) para R$ 105.120,00 (cento e cinco mil cento e vinte reais) (13736540).",12_22.11.2018-R12
13,260,12_22.11.2018,REL_ADITAMENTO_CONTRATO,R12,anotador_19112980,data_escrito,239,anotador_19112980,575161,10,06/11/2018,12_22.11.2018-R12
