,Unnamed: 0,id_dodf,tipo_rel,id_rel,anotador_rel,tipo_ent,id_ent,anotador_ent,offset,length,texto,id_ato
0,0,12_22.11.2018,REL_AVISO_LICITACAO,R21,anotador_22346437,modalidade_licitacao,1,anotador_22346437,432851,17,PREGAO ELETRONICO,12_22.11.2018-R21
1,1,12_22.11.2018,REL_AVISO_LICITACAO,R21,anotador_22346437,numero_licitacao,2,anotador_22346437,432872,8,116/2018,12_22.11.2018-R21
2,2,12_22.11.2018,REL_AVISO_LICITACAO,R21,anotador_22346437,valor_estimado_contratacao,6,anotador_22346437,433432,10,"767.907,37",12_22.11.2018-R21
3,3,12_22.11.2018,REL_AVISO_LICITACAO,R21,anotador_22346437,data_abertura_licitacao,7,anotador_22346437,433599,10,20/11/2018,12_22.11.2018-R21
4,4,12_22.11.2018,REL_AVISO_LICITACAO,R21,anotador_22346437,sistema_compras,8,anotador_22346437,433716,21,www.compras.df.gov.br,12_22.11.2018-R21
5,5,12_22.11.2018,REL_AVISO_LICITACAO,R21,anotador_22346437,nome_responsavel,3,anotador_22346437,433818,25,GERARDA DA SILVA CARVALHO,12_22.11.2018-R21
6,6,12_22.11.2018,REL_AVISO_LICITACAO,R21,anotador_22346437,tipo_objeto,489,anotador_22346437,432889,18,Registro de Precos,12_22.11.2018-R21
7,7,12_22.11.2018,REL_AVISO_LICITACAO,R21,anotador_22346437,processo_gdf,490,anotador_22346437,433640,22,00410-00024534/2017-65,12_22.11.2018-R21
8,8,12_22.11.2018,REL_AVISO_LICITACAO,R21,anotador_22346437,objeto_licitacao,492,anotador_22346437,432889,516,"Registro de Precos visando a eventual aquisicao de Material de Expediente; Material de Acondicionamento e Embalagem; Material de Limpeza e Producao de Higienizacao; Material de Protecao e Seguranca; Ferramenta; Uniformes, Tecidos e Aviamentos; e aquisicao de equipamentos e material permanente: Aparelho de Medicao e Orientacao, a fim de atender aos diversos orgaos integrantes da centralizacao de compras do Distrito Federal, conforme especificacoes e condicoes constantes no Termo de Referencia - Anexo I do Edital",12_22.11.2018-R21
9,9,12_22.11.2018,REL_AVISO_LICITACAO,R21,anotador_22346437,AVISO_LICITACAO,494,anotador_22346437,432830,1023,"AVISOS DE LICITACOES PREGAO ELETRONICO No 116/2018 OBJETO: Registro de Precos visando a eventual aquisicao de Material de Expediente; Material de Acondicionamento e Embalagem; Material de Limpeza e Producao de Higienizacao; Material de Protecao e Seguranca; Ferramenta; Uniformes, Tecidos e Aviamentos; e aquisicao de equipamentos e material permanente: Aparelho de Medicao e Orientacao, a fim de atender aos diversos orgaos integrantes da centralizacao de compras do Distrito Federal, conforme especificacoes e condicoes constantes no Termo de Referencia - Anexo I do Edital. Valor total estimado: R$ 767.907,37. Tipo de licitacao: Menor preco. Elemento de despesa: 33.90.30. Prazo de vigencia da Ata de Registro de Precos: 12 (doze) meses. Abertura das propostas dia 20/11/2018, as 9h30min. Processo (SEI) n 00410-00024534/2017-65. O edital podera ser retirado no endereco eletronico www.compras.df.gov.br. Informacoes pelo telefone: (61) 3313.8497. Brasilia/DF, 1o de novembro de 2018 GERARDA DA SILVA CARVALHO Pregoeira",12_22.11.2018-R21
10,10,12_22.11.2018,REL_AVISO_LICITACAO,R22,anotador_22346437,sistema_compras,17,anotador_22346437,434552,21,www.compras.df.gov.br,12_22.11.2018-R22
11,11,12_22.11.2018,REL_AVISO_LICITACAO,R22,anotador_22346437,nome_responsavel,14,anotador_22346437,434654,25,GERARDA DA SILVA CARVALHO,12_22.11.2018-R22
12,12,12_22.11.2018,REL_AVISO_LICITACAO,R22,anotador_22346437,numero_licitacao,11,anotador_22346437,433873,8,129/2018,12_22.11.2018-R22
13,13,12_22.11.2018,REL_AVISO_LICITACAO,R22,anotador_22346437,tipo_objeto,12,anotador_22346437,433890,18,Registro de Precos,12_22.11.2018-R22
14,14,12_22.11.2018,REL_AVISO_LICITACAO,R22,anotador_22346437,valor_estimado_contratacao,15,anotador_22346437,434268,10,"201.025,16",12_22.11.2018-R22
15,15,12_22.11.2018,REL_AVISO_LICITACAO,R22,anotador_22346437,data_abertura_licitacao,16,anotador_22346437,434435,10,21/11/2018,12_22.11.2018-R22
16,16,12_22.11.2018,REL_AVISO_LICITACAO,R22,anotador_22346437,processo_gdf,491,anotador_22346437,434476,22,00410-00010748/2018-35,12_22.11.2018-R22
17,17,12_22.11.2018,REL_AVISO_LICITACAO,R22,anotador_22346437,objeto_licitacao,493,anotador_22346437,433890,351,"Registro de Precos visando eventual aquisicao de material de consumo - generos alimenticios, contemplando Cha, Leite e Adocante, a fim de atender aos diversos orgaos integrantes da centralizacao de compras do Complexo Administrativo do Distrito Federal (DF), conforme condicoes e especificacoes constantes no Termo de Referencia - Anexo I deste Edital",12_22.11.2018-R22
18,18,12_22.11.2018,REL_AVISO_LICITACAO,R22,anotador_22346437,modalidade_licitacao,495,anotador_22346437,433852,17,PREGAO ELETRONICO,12_22.11.2018-R22
19,19,12_22.11.2018,REL_AVISO_LICITACAO,R22,anotador_22346437,AVISO_LICITACAO,496,anotador_22346437,433852,837,"PREGAO ELETRONICO No 129/2018 OBJETO: Registro de Precos visando eventual aquisicao de material de consumo - generos alimenticios, contemplando Cha, Leite e Adocante, a fim de atender aos diversos orgaos integrantes da centralizacao de compras do Complexo Administrativo do Distrito Federal (DF), conforme condicoes e especificacoes constantes no Termo de Referencia - Anexo I deste Edital. Valor total estimado: R$ 201.025,16. Tipo de licitacao: Menor preco. Elemento de despesa: 33.90.30. Prazo de vigencia da Ata de Registro de Precos: 12 (doze) meses. Abertura das propostas dia 21/11/2018, as 9h30min. Processo (SEI) n 00410-00010748/2018-35. O edital podera ser retirado no endereco eletronico www.compras.df.gov.br. Informacoes pelo telefone: (61) 3313.8497. Brasilia/DF, 1o de novembro de 2018 GERARDA DA SILVA CARVALHO Pregoeira",12_22.11.2018-R22
20,20,12_22.11.2018,REL_AVISO_LICITACAO,R23,anotador_22346437,modalidade_licitacao,19,anotador_22346437,435510,17,PREGAO ELETRONICO,12_22.11.2018-R23
21,21,12_22.11.2018,REL_AVISO_LICITACAO,R23,anotador_22346437,nome_responsavel,27,anotador_22346437,436434,25,GERARDA DA SILVA CARVALHO,12_22.11.2018-R23
22,22,12_22.11.2018,REL_AVISO_LICITACAO,R23,anotador_22346437,tipo_objeto,22,anotador_22346437,435560,18,Registro de Precos,12_22.11.2018-R23
23,23,12_22.11.2018,REL_AVISO_LICITACAO,R23,anotador_22346437,numero_licitacao,20,anotador_22346437,435531,8,141/2018,12_22.11.2018-R23
24,24,12_22.11.2018,REL_AVISO_LICITACAO,R23,anotador_22346437,codigo_licitacao_sistema_compras,21,anotador_22346437,435545,6,925041,12_22.11.2018-R23
25,25,12_22.11.2018,REL_AVISO_LICITACAO,R23,anotador_22346437,objeto_licitacao,23,anotador_22346437,435560,426,"Registro de Precos para a contratacao de empresa para a prestacao de servicos de alimentacao e nutricao, para gestao de Restaurante Popular, a partir do preparo, fornecimento e distribuicao de refeicoes para atender as demandas da Secretaria de Estado do Trabalho, Desenvolvimento Social, Mulheres, Igualdade Racial e Direitos Humanos, conforme condicoes e especificacoes constantes do Termo de Referencia - Anexo I do Edital.",12_22.11.2018-R23
26,26,12_22.11.2018,REL_AVISO_LICITACAO,R23,anotador_22346437,valor_estimado_contratacao,24,anotador_22346437,436081,13,"99.754.200,00",12_22.11.2018-R23
27,27,12_22.11.2018,REL_AVISO_LICITACAO,R23,anotador_22346437,data_abertura_licitacao,25,anotador_22346437,436235,10,10/12/2018,12_22.11.2018-R23
28,28,12_22.11.2018,REL_AVISO_LICITACAO,R23,anotador_22346437,sistema_compras,26,anotador_22346437,436320,32,www.comprasgovernamentais.gov.br,12_22.11.2018-R23
29,29,12_22.11.2018,REL_AVISO_LICITACAO,R23,anotador_22346437,processo_gdf,497,anotador_22346437,436171,22,00410-00012776/2018-97,12_22.11.2018-R23
30,30,12_22.11.2018,REL_AVISO_LICITACAO,R23,anotador_22346437,AVISO_LICITACAO,499,anotador_22346437,435489,980,"AVISOS DE LICITACOES PREGAO ELETRONICO No 141/2018-UASG 925041 Objeto: Registro de Precos para a contratacao de empresa para a prestacao de servicos de alimentacao e nutricao, para gestao de Restaurante Popular, a partir do preparo, fornecimento e distribuicao de refeicoes para atender as demandas da Secretaria de Estado do Trabalho, Desenvolvimento Social, Mulheres, Igualdade Racial e Direitos Humanos, conforme condicoes e especificacoes constantes do Termo de Referencia - Anexo I do Edital. Tipo de Licitacao: Menor Preco. Elemento de Despesa: 33.90.39. Valor total anual estimado: R$ 99.754.200,00. Validade da Ata de Registro de Precos: 12 (doze) meses. Processo (SEI) n.o 00410-00012776/2018-97-SCG/SEPLAG. Abertura das Propostas: Dia  10/12/2018  as  09h30min.  O  edital podera  ser  retirado  no  endereco  eletronico www.comprasgovernamentais.gov.br. Informacoes pelo telefone: (61) 3313.8497. Brasilia/DF, 21 de novembro de 2018. GERARDA DA SILVA CARVALHO Pregoeira",12_22.11.2018-R23
31,31,12_22.11.2018,REL_AVISO_LICITACAO,R24,anotador_22346437,modalidade_licitacao,30,anotador_22346437,436468,17,PREGAO ELETRONICO,12_22.11.2018-R24
32,32,12_22.11.2018,REL_AVISO_LICITACAO,R24,anotador_22346437,tipo_objeto,34,anotador_22346437,436518,18,Registro de Precos,12_22.11.2018-R24
33,33,12_22.11.2018,REL_AVISO_LICITACAO,R24,anotador_22346437,codigo_licitacao_sistema_compras,32,anotador_22346437,436503,6,925041,12_22.11.2018-R24
34,34,12_22.11.2018,REL_AVISO_LICITACAO,R24,anotador_22346437,codigo_licitacao_sistema_compras,40,anotador_22346437,437795,6,925041,12_22.11.2018-R24
35,35,12_22.11.2018,REL_AVISO_LICITACAO,R24,anotador_22346437,data_abertura_licitacao,38,anotador_22346437,437674,10,10/12/2018,12_22.11.2018-R24
36,36,12_22.11.2018,REL_AVISO_LICITACAO,R24,anotador_22346437,sistema_compras,39,anotador_22346437,437755,32,www.comprasgovernamentais.gov.br,12_22.11.2018-R24
37,37,12_22.11.2018,REL_AVISO_LICITACAO,R24,anotador_22346437,numero_licitacao,31,anotador_22346437,436489,8,142/2018,12_22.11.2018-R24
