,Unnamed: 0,id_dodf,tipo_rel,id_rel,anotador_rel,tipo_ent,id_ent,anotador_ent,offset,length,texto,id_ato
0,409,24_24.12.2019,REL_EXTRATO_CONVENIO,R1,anotador_8128498,EXTRATO_CONVENIO,7,anotador_8128498,312139,603,"EXTRATO DE CONVENIO (1o TERMO ADITIVO) Processo: 001.000.845/2019. Convenio no 001/2019 - PG/CLDF. Firmado entre a Camara Legislativa do Distrito Federal, (Contratante) e a empresa Companhia Urbanizadora da Nova Capital do Brasil, denominada NOVACAP, (Contratada). Objeto: Prorrogacao da vigencia do Convenio no 001/2019 pelo periodo de 12 meses. Vigencia: 01/01/2020 a 31/12/2020. Legislacao: Lei 8.666/93, Partes: Pela Contratante, MARLON CARVALHO CAMBRAIA - Secretario-Geral, e, pela Contratada, CANDIDO TELES DE ARAUJO - Diretor Presidente e FRANCISCO DAS CHAGAS LIMA RAMOS - Diretor de Edificacoes.",24_24.12.2019-R1
1,410,24_24.12.2019,REL_EXTRATO_CONVENIO,R1,anotador_8128498,processo_gdf,1,anotador_8128498,312188,16,001.000.845/2019,24_24.12.2019-R1
2,411,24_24.12.2019,REL_EXTRATO_CONVENIO,R1,anotador_8128498,numero_convenio,2,anotador_8128498,312218,8,001/2019,24_24.12.2019-R1
3,412,24_24.12.2019,REL_EXTRATO_CONVENIO,R1,anotador_8128498,orgao_concedente,4,anotador_8128498,312254,38,Camara Legislativa do Distrito Federal,24_24.12.2019-R1
4,413,24_24.12.2019,REL_EXTRATO_CONVENIO,R1,anotador_8128498,entidade_convenente,3,anotador_8128498,312320,48,Companhia Urbanizadora da Nova Capital do Brasil,24_24.12.2019-R1
5,414,24_24.12.2019,REL_EXTRATO_CONVENIO,R1,anotador_8128498,objeto_contrato,5,anotador_8128498,312412,72,Prorrogacao da vigencia do Convenio no 001/2019 pelo periodo de 12 meses,24_24.12.2019-R1
6,415,24_24.12.2019,REL_EXTRATO_CONVENIO,R1,anotador_8128498,vigencia_convenio,6,anotador_8128498,312496,23,01/01/2020 a 31/12/2020,24_24.12.2019-R1
7,681,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,orgao_concedente,2,anotador_8128498,564705,49,SECRETARIA DE ESTADO DE SAUDE DO DISTRITO FEDERAL,235_129.10.7.2018-R2
8,682,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,entidade_convenente,3,anotador_8128498,564759,21,FUNDACAO OSWALDO CRUZ,235_129.10.7.2018-R2
9,683,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,cnpj_entidade_convenente,4,anotador_8128498,564840,18,33.781.055/0001-35,235_129.10.7.2018-R2
10,684,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,objeto_contrato,5,anotador_8128498,564998,590,"O presente convenio tem por objetivo formar especialistas em ava- liacao em saude por meio da realizacao do Curso ""Especializacao em Avaliacao em Saude"", na modalidade a Distancia tendo como foco as politicas (planos, programas, projetos e acoes), os servicos (estruturas, processos e resultados) e as redes de atencao a saude, voltado para profissionais de nivel superior, prioritariamente para os servidores da Secretaria de Estado de Saude do Distrito Federal e as remanescentes para profissionais que atuem na Secretaria de Estado de Planejamento, Orcamento e Gestao do Distrito Federal",235_129.10.7.2018-R2
11,685,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,vigencia_contrato,6,anotador_8128498,565627,34,a partir de sua data de assinatura,235_129.10.7.2018-R2
12,686,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,vigencia_convenio,7,anotador_8128498,565679,25,24 (vinte e quatro) meses,235_129.10.7.2018-R2
13,687,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,unidade_orcamentaria,9,anotador_8128498,566470,5,23901,235_129.10.7.2018-R2
14,688,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,fonte_recurso,10,anotador_8128498,566612,9,100000000,235_129.10.7.2018-R2
15,689,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,valor_convenio,468,anotador_8128498,566173,10,"915.500,00",235_129.10.7.2018-R2
16,690,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,natureza_despesa,469,anotador_8128498,566586,6,332039,235_129.10.7.2018-R2
17,691,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,programa_trabalho,470,anotador_8128498,566546,17,10128600240880021,235_129.10.7.2018-R2
18,692,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,numero_convenio,472,anotador_8128498,564633,15,002/2018-SES/DF,235_129.10.7.2018-R2
19,693,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R2,anotador_8128498,EXTRATO_CONVENIO,487,anotador_8128498,564591,2565,"EXTRATOS DE CONVENIOS Especie: Convenio n 002/2018-SES/DF. Convenentes: DISTRITO FEDERAL, por inter- medio de sua SECRETARIA DE ESTADO DE SAUDE DO DISTRITO FEDERAL e a FUNDACAO OSWALDO CRUZ doravante denominada FIOCRUZ, inscrita no CNPJ/MF sob o no 33.781.055/0001-35, vinculada ao Ministerio da Saude, por meio ESCOLA NA- CIONAL DE SAUDE PUBLICA SERGIO AROUCA, doravante denominada FIO- CRUZ/ENSP. Objeto: O presente convenio tem por objetivo formar especialistas em ava- liacao em saude por meio da realizacao do Curso ""Especializacao em Avaliacao em Saude"", na modalidade a Distancia tendo como foco as politicas (planos, programas, projetos e acoes), os servicos (estruturas, processos e resultados) e as redes de atencao a saude, voltado para profissionais de nivel superior, prioritariamente para os servidores da Secretaria de Estado de Saude do Distrito Federal e as remanescentes para profissionais que atuem na Secretaria de Estado de Planejamento, Orcamento e Gestao do Distrito Federal. Vigencia: O presente Convenio vigera a partir de sua data de assinatura, pelo periodo de 24 (vinte e quatro) meses, podendo ser prorrogado por meio de termo aditivo, apos analise tecnica de acordo com o interesse dos participes; O Convenio podera ser alterado a qualquer tempo, mediante assinatura de termo aditivo, desde que nao seja modificado seu objeto, devendo a solicitacao ser encaminhada com antecedencia minima de 60 (sessenta) dias da data de termino da execucao do Convenio. Valor: Para o cumprimento das metas estabelecidas neste Convenio, foi estabelecido o valor de R$ 915.500,00 (novecentos e quinze mil e quinhentos reais), a ser transferido para a FUNDACAO OSWALDO CRUZ/ ESCOLA NACIONAL DE SAUDE PUBLICA SERGIO AROUCA (FIOCRUZ/ENSP), de acordo com o cronograma de Desembolso fixado no Plano de Trabalho/Projeto Basico. Dotacao Orcamentaria: Unidade Orcamentaria: 23901. Unidade Gestora: 170101. Gestao: 17901. Programa de Tr a b a l h o : 10128600240880021. Natureza da Despesa: 332039. Fonte de Recurso: 100000000. Despesa de Publicacao: A publicacao do presente instrumento sera providenciada pela SES/DF, em extrato no Diario Oficial do Distrito Federal e pela FIOCRUZ/ENSP no Diario Oficial da Uniao, as suas expensas, ate o 5o (quinto) dia util do mes seguinte ao de sua assinatura, devendo esta ocorrer no prazo de 20 (vinte) dias a contar daquela data. Do Plano de Trabalho/Do Projeto Basico: Integra este Instrumento, independentemente de transcricao, o Projeto Basico/Plano de Trabalho, elaborado e aprovado de comum acordo entre as partes,",235_129.10.7.2018-R2
20,694,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R1,anotador_8128498,numero_convenio,471,anotador_8128498,567912,15,003/2018-SES/DF,235_129.10.7.2018-R1
21,695,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R1,anotador_8128498,orgao_concedente,473,anotador_8128498,567984,49,SECRETARIA DE ESTADO DE SAUDE DO DISTRITO FEDERAL,235_129.10.7.2018-R1
22,696,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R1,anotador_8128498,entidade_convenente,474,anotador_8128498,568038,21,FUNDACAO OSWALDO CRUZ,235_129.10.7.2018-R1
23,697,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R1,anotador_8128498,cnpj_entidade_convenente,475,anotador_8128498,568119,18,33.781.055/0001-35,235_129.10.7.2018-R1
24,698,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R1,anotador_8128498,objeto_convenio,476,anotador_8128498,568277,283,"O presente convenio tem por objeto a formacao de mestres em avaliacao em saude por meio da realizacao do Curso ""Mestrado Profissional em Avaliacao em Saude"", na modalidade presencial tendo como foco as politicas, programas, projetos e acoes, os servicos e as redes de atencao a saude",235_129.10.7.2018-R1
25,699,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R1,anotador_8128498,vigencia_convenio,477,anotador_8128498,568599,69,"a partir de sua data de assinatura, pelo periodo de 30 (trinta) meses",235_129.10.7.2018-R1
26,700,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R1,anotador_8128498,valor_convenio,478,anotador_8128498,569139,10,"788.070,81",235_129.10.7.2018-R1
27,701,235_129.10.7.2018,REL_EXTRATO_CONVENIO,R1,anotador_8128498,natureza_despesa,479,anotador_8128498,569583,6,332039,235_129.10.7.2018-R1
