,processo_gdf,modalidade_licitacao,numero_licitacao,valor_estimado_contratacao,text,labels
0,00410-00024534/2017-65,PREGAO ELETRONICO,116/2018,"767.907,37","AVISOS DE LICITACOES PREGAO ELETRONICO No 116/2018 OBJETO : Registro de Precos visando a eventual aquisicao de Material de Expediente ; Material de Acondicionamento e Embalagem ; Material de Limpeza e Producao de Higienizacao ; Material de Protecao e Seguranca ; Ferramenta ; Uniformes , Tecidos e Aviamentos ; e aquisicao de equipamentos e material permanente : Aparelho de Medicao e Orientacao , a fim de atender aos diversos orgaos integrantes da centralizacao de compras do Distrito Federal , conforme especificacoes e condicoes constantes no Termo de Referencia - Anexo I do Edital . Valor total estimado : R$ 767.907,37 . Tipo de licitacao : Menor preco . Elemento de despesa : 33.90.30 . Prazo de vigencia da Ata de Registro de Precos : 12 ( doze ) meses . Abertura das propostas dia 20/11/2018 , as 9h30min . Processo ( SEI ) n 00410-00024534/ 2017-65 . O edital podera ser retirado no endereco eletronico www.compras.df.gov.br . Informacoes pelo telefone : ( 61 ) 3313.8497 . Brasilia / DF , 1o de novembro de 2018 GERARDA DA SILVA CARVALHO Pregoeira ",O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1,00410-00010748/2018-35,PREGAO ELETRONICO,129/2018,"201.025,16","PREGAO ELETRONICO No 129/2018 OBJETO : Registro de Precos visando eventual aquisicao de material de consumo - generos alimenticios , contemplando Cha , Leite e Adocante , a fim de atender aos diversos orgaos integrantes da centralizacao de compras do Complexo Administrativo do Distrito Federal ( DF ) , conforme condicoes e especificacoes constantes no Termo de Referencia - Anexo I deste Edital . Valor total estimado : R$ 201.025,16 . Tipo de licitacao : Menor preco . Elemento de despesa : 33.90.30 . Prazo de vigencia da Ata de Registro de Precos : 12 ( doze ) meses . Abertura das propostas dia 21/11/2018 , as 9h30min . Processo ( SEI ) n 00410-00010748/ 2018-35 . O edital podera ser retirado no endereco eletronico www.compras.df.gov.br . Informacoes pelo telefone : ( 61 ) 3313.8497 . Brasilia / DF , 1o de novembro de 2018 GERARDA DA SILVA CARVALHO Pregoeira ",B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
2,00410-00012776/2018-97-SCG,PREGAO ELETRONICO,141/,"99.754.200,00","AVISOS DE LICITACOES PREGAO ELETRONICO No 141/ 2018-UASG 925041 Objeto : Registro de Precos para a contratacao de empresa para a prestacao de servicos de alimentacao e nutricao , para gestao de Restaurante Popular , a partir do preparo , fornecimento e distribuicao de refeicoes para atender as demandas da Secretaria de Estado do Trabalho , Desenvolvimento Social , Mulheres , Igualdade Racial e Direitos Humanos , conforme condicoes e especificacoes constantes do Termo de Referencia - Anexo I do Edital . Tipo de Licitacao : Menor Preco . Elemento de Despesa : 33.90.39 . Valor total anual estimado : R$ 99.754.200,00 . Validade da Ata de Registro de Precos : 12 ( doze ) meses . Processo ( SEI ) n.o 00410-00012776/ 2018-97-SCG / SEPLAG . Abertura das Propostas : Dia 10/12/2018 as 09h30min . O edital podera ser retirado no endereco eletronico www.comprasgovernamentais.gov.br . Informacoes pelo telefone : ( 61 ) 3313.8497 . Brasilia / DF , 21 de novembro de 2018 . GERARDA DA SILVA CARVALHO Pregoeira ",O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
3,61,Pregao Eletronico,071/2018,"11.703.718,00","PREGAO ELETRONICO No 142/ 2018-UASG 925041 Objeto : Registro de Precos para a contratacao de empresa especializada para a prestacao de servicos de manutencao predial , com fornecimento de pecas , equipamentos , materiais e mao de obra , sob demanda , na forma estabelecida nas planilhas nao desoneradas do catalogo de composicoes e insumos diversos descritos no Sistema Nacional de Pesquisa de Custos e indices da Construcao Civil - SINAPI , referente a unidade da federacao do Distrito Federal ( Brasilia / DF ) , para atender as necessidades da Secretaria de Estado de Politicas Para Criancas , Adolescentes e Juventude ( SECRIANCA ) , Secretaria de Estado de Planejamento , Orcamento e Gestao ( SEPLAG ) e demais orgaos integrantes do Complexo Administrativo do Distrito Federal , conforme condicoes e especificacoes constantes do Termo de Referencia - Anexo I do Edital , conforme condicoes e especificacoes constantes do Termo de Referencia - Anexo I deste Edital . Tipo de Licitacao : Menor Preco . Elemento de Despesa : 33.90.39 e 33.90.30 . Valor total anual estimado : R$ 11.703.718,00 . Validade da Ata de Registro de Precos : 12 ( doze ) meses . Processo ( SEI ) no 00410-00004508/ 2018-00 - SCG / SEPLAG . Abertura das Propostas : Dia 10/12/2018 as 09h30min . O novo edital podera ser retirado no endereco eletronico www.comprasgovernamentais.gov.br . UASG : 925041 . Informa-se que este processo refere-se ao Pregao Eletronico SRP no 071/2018 que se encontrava suspenso pela Decisao no 3113/ 2018-TCDF , de 26/06/2018 , Processo / TCDF 19317/ 2018-e . A posteriori , foi expedida a Decisao no 5107/ 2018-TCDF , de 23/10/2018 , que autorizou a continuidade do procedimento licitatorio , no entanto , o sistema de compras governamentais nao permitiu alteracao e inclusao de novos itens constantes do Pregao no 071/2018 , sendo necessario designar novo numero de Pregao para o referido processo . Demais informacoes pelo site www.comprasgovernamentais.gov.br ou pelo telefone ( 61 ) 3313.8497 . Brasilia / DF , 21 de novembro de 2018 . JANILDO NUNES DA MOTA Pregoeiro ",B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O O B-numero_licitacao O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O 
4,00060.00257811/2018-02,PREGAO ELETRONICO,488/2018,"432.163,20","AVISO DE ABERTURA PREGAO ELETRONICO POR SRP No 488/2018 - UASG 926119 Objeto : Aquisicao de material de ORTESES , PROTESES E MATERIAIS ESPECIAIS ( OPME ) - MATRIZ DE REGENERACAO DERMICA DE INTEGRACAO LENTA E MATRIZ DE REGENERACAO DERMICA DE INTEGRACAO RAPIDA , contemplados na Tabela SUS DE OPME do Ministerio da Saude , conforme especificacoes e quantitativos constantes no Anexo I do Edital . Processo SEI no : 00060.00257811/ 2018-02 . Total de 04 itens ( ampla concorrencia e cotas as ME / EPP ) . Valor Estimado : R$ 432.163,20 . Cadastro das Propostas : a partir de 22/11/2018 . Abertura das Propostas : 05/12/2018 , as 09:30 , horario de Brasilia , no site www.comprasnet.gov.br . O Edital encontra-se disponibilizado sem onus , no site ou com onus no endereco : SAIN - Setor de Areas Isoladas Norte - Parque Rural s / no - Asa Norte - Bloco "" A "" , 1 andar , sala 83/124 , Central de Compras da SUAG / SES , CEP 70770-200 , Br a s i l i a / D F. PRISCILLA MOREIRA FALCAO FIGUEIREDO Pregoeira ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
5,00060.00260541/2017-28,PREGAO ELETRONICO,489/2018,"51.247,5228","PREGAO ELETRONICO POR SRP No 489/2018 - UASG 926119 Objeto : Aquisicao de material de consumo dreno em t n.14 1 e outros em sistema de registro de precos para atender as necessidades da Secretaria de Estado de Saude / DF , conforme especificacoes e quantitativos constantes no Anexo I do Edital . Processo SEI no 00060.00260541/ 2017-28 . Total de 7 itens ( exclusivo ME / EPP ) . Valor Estimado : R$ 51.247,5228 . Edital e Cadastro das Propostas : a partir de 22/11/2018 . Abertura das Propostas : 05/12/2018 as 9 horas , horario de Brasilia , no site www.comprasnet.gov.br . O Edital encontra-se disponibilizado sem onus , no site ou com onus no endereco : SAIN - Setor de Areas Isoladas Norte - Parque Rural s / no - Asa Norte - Bloco "" A "" , 1 andar , sala 83 , Central de Compras da SUAG / SES , CEP 70770-200 , Brasilia / DF . CERIZE HELENA SOUZA SALES Pregoeira ",B-modalidade_licitacao I-modalidade_licitacao O O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
6,00060.00096786/2018-76,PREGAO ELETRONICO,490/2018,"546.756,7000","PREGAO ELETRONICO POR SRP No 490/2018 - UASG 926119 Objeto : Aquisicao em Sistema de Registro de Precos de material de ORTESES , PROTESES E MATERIAIS ESPECIAIS ( Ambulatoriais ) - cadeira de rodas para banho em concha e paraplegico adulto , contemplados na Tabela SUS / MS , para atender as necessidades da Secretaria de Estado de Saude / DF , conforme descritivo e quantitativo do Anexo I do edital . Processo SEI no 00060.00096786/ 2018-76 . Total de 4 itens ( ampla concorrencia e cota ME / EPP ) . Valor Estimado : R$ 546.756,7000 . Edital e Cadastro das Propostas : a partir de 22/11/2018 . Abertura das Propostas : 05/12/2018 as 10 horas , horario de Brasilia , no site www.comprasnet.gov.br . O Edital encontra-se disponibilizado sem onus , no site ou com onus no endereco : SAIN - Setor de Areas Isoladas Norte - Parque Rural s / no - Asa Norte - Bloco "" A "" , 1 andar , sala 83 , Central de Compras da SUAG / SES , CEP 70770-200 , Brasilia / DF . CERIZE HELENA SOUZA SALES Pregoeira ",B-modalidade_licitacao I-modalidade_licitacao O O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
7,113.00014123/2018-05,PREGAO ELETRONICO,95/2018,"5.881,80","AVISO DE LICITACAO PREGAO ELETRONICO No 95/2018 Aquisicao de material de Consumo - Bobina de Papel , tudo conforme especificacoes do anexo I do Edital , Processo SEI no 113.00014123/ 2018-05 . Data e horario para recebimento das propostas : ate 09h00min do dia 06 de dezembro de 2018 , com valor estimado de R$ 5.881,80 . Demais informacoes conforme edital . Brasilia / DF , 21 de novembro de 2018 . CELIA MARIA SIQUEIRA LEAL Diretora ",O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O 
8,113.00023272/2018-57,PREGAO ELETRONICO,96/2018,"153.374,62","PREGAO ELETRONICO No 96/2018 Aquisicao de material de Permanente - Microcomputadores , tudo conforme especificacoes do anexo I do Edital , Processo SEI no 113.00023272/ 2018-57 . Data e horario para recebimento das propostas : ate 09h00min do dia 06 de dezembro de 2018 , com valor estimado de R$ 153.374,62 . Demais informacoes conforme edital . Brasilia / DF , 21 de novembro de 2018 . CELIA MARIA SIQUEIRA LEAL Diretora ",B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O 
9,113.00021075/2018-01,PREGAO ELETRONICO,97/2018,"965.000,00","PREGAO ELETRONICO No 97/2018 Aquisicao de material de Consumo - Registro de Precos para aquisicao de botas taticas , tudo conforme especificacoes do anexo I do Edital , Processo SEI no 113.00021075/ 2018-01 . Data e horario para recebimento das propostas : ate 09h00min do dia 06 de dezembro de 2018 , com valor estimado de R$ 965.000,00 . Demais informacoes conforme edital . Brasilia / DF , 21 de novembro de 2018 . CELIA MARIA SIQUEIRA LEAL Diretora ",B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O 
