,numero_contrato,processo_gdf,data_escrito,text,labels
0,25/2018,0050-00473/2016,01 de novembro de 2018,"EXTRATO DO SEGUNDO TERMO ADITIVO AO CONTRATO PARA AQUISICAO DE BENS No 25/2018 Processo : 0050-00473/2016 . Partes : O DISTRITO FEDERAL , por meio da SECRETARIA DE ESTADO DA SEGURANCA PUBLICA E DA PAZ SOCIAL , inscrita no Cadastro Geral de pessoa Juridica do Ministerio da Fazenda sob o no . 00.394.718/ 0001-00 e a empresa TOYOTA DO BRASIL LTDA , inscrita no Cadastro Nacional de Pessoa Juridica do Ministerio da Fazenda sob o no . 59.104.760/ 0001-91 . Do Objeto : O presente Termo Aditivo tem por objeto a prorrogacao do prazo de entrega dos veiculos especificados nos itens 05,06 , 40 e 41 , por mais 30 ( trinta dias ) , restando estabelecida a data final de entrega ate o dia 05/11/2018 , nos termos da Lei 8.666 , de 21 de junho de 1993 , alterada pela Lei 9.648 , de 27 de maio de 1998 . Da Ratificacao : Permanecem inalteradas as demais clausulas do Contrato a que se refere o presente Termo Aditivo . Data da assinatura : 01 de novembro de 2018 . Signatarios : pelo DF : CRISTIANO BARBOSA SAMPAIO , Secretario de Estado da Seguranca Publica e da Paz Social ; pela Contratada : NELSON RESCALLI JUNIOR , Representante Legal . ",O O O O O O O O O O O O B-numero_contrato O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1,58/2015PRESTACAO,0530001247/2015),06/11/2018,"EXTRATO TERCEIRO TERMO ADITIVO DO CONTRATO DE PRESTACAO DE SERVICOS No 58/2015PRESTACAO DE SERVICO Processo : ( 0530001247/2015 ) . Contrato no58/2015 . Contratada : ESTERILAV ESTERILIZACAO DE MATERIAIS HOPITALARES LTDA-EPP , CNPJ no 00.814.860/ 0001-69 . Objeto : Prorrogar o prazo de vigencia do contrato por mais 12 ( doze ) meses , o qual passara a viger ate o dia 06/11/2019 , com base no inciso II do art. 57 da Lei n.o 8.666/93 . Reajustar o valor do contrato em 4,53 % , com base no Indice de Precos ao Consumidor Amplo-IPCA ( 13741920 ) , com fulcro no inciso XI do art. 40 da Lei no 8.666/93 . O valor do contrato passara de R$ 100.512,00 ( cem mil quinhentos e doze reais ) para R$ 105.120,00 ( cento e cinco mil cento e vinte reais ) ( 13736540 ) . Dotacao Orcamentaria : Unidade Orcamentaria : 73901 . Programa de Trabalho : 28845090300FM005 . Natureza da Despesa : 339039 . Fonte de Recursos : 0100 ( FCDF ) . O presente termo aditivo tera vigencia de 12 ( doze ) meses , estando em vigor ate o dia 06/11/2019 . Data da assinatura : 06/11/2018 . Permanecem inalteradas as demais clausulas do Contrato a que se refere este Termo . Signatarios : Pelo Contratante : Ten-Cel . QOBM / Comb . Marcelo Teixeira Dantas , Diretor de Contratacoes e Aquisicoes ; pela Contratada : Nazare de Souza Santos e Elenice Aires Borba , na qualidade de Representantes Legais . ",O O O O O O O O O O O B-numero_contrato O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
2,48/2016,87.389.086/0001-74,14/11/2018,"EXTRATO SEGUNDO TERMO ADITIVO DO CONTRATO DE PRESTACAO DE SERVICOS No 48/2016 PRESTACAO DE SERVICO Processo : ( SEI-053-043005/2016 ) . Contrato no48/2016 . Contratada : PRO - RAD CONSULTORES EM RADIOPROTECAO S / S LTDA . , CNPJ no 87.389.086/ 0001-74 . Objeto : O presente termo aditivo objetiva : Prorrogar o prazo de vigencia do contrato por mais 12 ( doze ) meses , o qual passara a viger ate o dia 06/11/2019 , com base no inciso II do art. 57 da Lei n.o 8.666/93.Reduzir o valor do contrato em 21,89 % ( vinte e um virgula oitenta e nove por cento ) sobre o valor original , correspondendo a R$ 1.802,40 ( um mil oitocentos e dois reais e quarenta centavos ) , em virtude da diminuicao do numero de dosimetros necessarios para o periodo , que decaira de 57 para 40 aparelhos , com fulcro no inciso II do 2o do art. 65 da Lei no 8.666/93 . O valor do contrato passara de R$ 9.165,60 ( nove mil cento e sessenta e cinco reais e sessenta centavos ) , para R$ 6.432,00 ( seis mil quatrocentos e trinta e dois reais ) . Dotacao Orcamentaria : Unidade Orcamentaria : 73901 . Programa de Trabalho : 28845090300FM005 . Natureza da Despesa : 339039 . Fonte de Recursos : 0100 ( FCDF ) . O presente termo aditivo tera vigencia de 12 ( doze ) meses . Data da assinatura : 14/11/2018 . Permanecem inalteradas as demais clausulas do Contrato a que se refere este Termo . Signatarios : Pelo Contratante : Ten-Cel . QOBM / Comb . Marcelo Teixeira Dantas , Diretor de Contratacoes e Aquisicoes ; pela Contratada : Alwin Wilhelm Elbern . , na qualidade de Representante Legal . ",O O O O O O O O O O O B-numero_contrato O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
3,8729/2017,,,"EXTRATO DE ADITIVO 3 Termo Aditivo ao Contrato 8729/2017 , publicado no DODF em 30/03/2017 . ASS I N AT U R A : 21/11/2018 . ALTERACAO DE CLAUSULAS : PRECO / VALOR : Supressao de R$ 604.558,19 ( seiscentos e quatro mil e quinhentos e cinquenta e oito reais e dezenove centavos ) . PRAZO DE VIGENCIA / EXECUCAO : Prorrogados por 45 ( quarenta e cinco ) dias . ASSINANTES : Pela CAESB : Mauricio Leite Luduvice - Presidente e Marcos Antonio dos Santos Mello - Diretor de Engenharia . Pela SANIT ENGENHARIA EIRELI : Helio Cesar Perini Rosas . ",O O O O O O O O B-numero_contrato O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
4,8747/2017,,,"3 Termo Aditivo ao Contrato 8747/2017 , publicado no DODF em 08/05/2017 . ASS I N AT U R A : 20/11/2018 . ALTERACAO DE CLAUSULAS : PRECO / VALOR : Acrescimo de R$ 2.223.489,64 ( dois milhoes e duzentos e vinte e tres mil e quatrocentos e oitenta e nove reais e sessenta e quatro centavos ) . GARANTIA : 5 % ( cinco por cento ) sobre o valor ora aditado . ASSINANTES : Pela CAESB : Mauricio Leite Luduvice - Presidente e Marcos Antonio dos Santos Mello - Diretor de Engenharia . Pela CAPUA PROJETOS E CONSTRUCOES LTDA : Jose Nassin Capua Baida . ",O O O O O B-numero_contrato O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
5,8815/2017,,,"3 Termo Aditivo ao Contrato 8815/2017 , publicado no DODF em 07/11/2017 . ASS I N AT U R A : 30/10/2018 . ALTERACAO DE CLAUSULAS : PRAZO DE EXECUCAO/ VIGENCIA : Prorrogados por 60 ( sessenta ) dias . ASSINANTES : Pela CAESB : Mauricio Leite Luduvice - Presidente e Marcos Antonio dos Santos Mello - Diretor de Engenharia . Pelo PROCABLE ENERGIA E TELECOMUNICACOES S.A. : Fumitaka Nishimura . ",O O O O O B-numero_contrato O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
6,8920/2018,,,"1 Termo Aditivo ao Contrato 8920/2018 , publicado no DODF em 03/07/2018 . ASS I N AT U R A : 01/11/2018 . ALTERACAO DE CLAUSULAS : PRAZO DE VIGENCIA / ENTREGA : Prorrogados por 30 ( trinta ) dias corridos . ASSINANTES : Pela CAESB : Mauricio Leite Luduvice - Presidente e Walter Lucio dos Santos Barros - Diretor Operacao e Manutencao . Pela APIS SOLUCOES TECNOLOGIA DA INFORMACAO LTDA : Sergio Santarem Taveira . ",O O O O O B-numero_contrato O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
7,8921/2018,,,"1 Termo Aditivo ao Contrato 8921/2018 , publicado no DODF em 03/07/2018 . ASS I N AT U R A : 01/11/2018 . ALTERACAO DE CLAUSULAS : PRAZO DE VIGENCIA / ENTREGA : Prorrogado por 30 ( trinta ) dias corridos e 15 ( quinze ) dias corridos , respectivamente . ASSINANTES : Pela CAESB : Mauricio Leite Luduvice - Presidente e Walter Lucio dos Santos Barros - Diretor de Operacao e Manutencao . Pela INTEGRA SOLUCOES EIRELI : Ivonete da Silva Teodoro . ",O O O O O B-numero_contrato O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
8,09/2018,00197-00000287/2018-46,31/10/2018,"EXTRATO DO PRIMEIRO TERMO ADITIVO AO CONTRATO No 09/2018 Processo : 00197-00000287/ 2018-46 . Partes : Adasa e ELAINE VASCONCELOS SILVA . Objeto : alteracao do valor do contrato devido a retificacao do Projeto Individual de Propriedade . Valor : fica alterado o valor do contrato para R$ 10.179,04 ( dez mil cento e setenta e nove reais e quatro centavos ) . Prazo / vigencia : fica inalterada a clausula de vigencia do contrato . Dotacao orcamentaria : UO : 21.206 ; P.T. : 18.544.6210.3068.0005 ; N.D : 3.3.90.36 ; Fonte : 231/431 . DATA DE ASSINATURA : 31/10/2018 . SIGNATARIOS : pela Adasa , Paulo Sergio Bretas de Almeida Salles , Diretor-Presidente ; e Elaine Vasconcelos Silva , produtora de agua . ",O O O O O O O O B-numero_contrato O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O 
9,23/2014,132.000.615/2014,16/12/2019,"EXTRATO DO 5o TERMO ADITIVO AO CONTRATO No 23/2014 , NOS TERMOS DO PADRAO No 14/2002 - PRORROGACAO DE PRAZO Processo : 132.000.615/2014 . PARTES : DF / RA-III e OI S/A - Empresa em Recuperacao Judicial . OBJETO : O presente Termo Aditivo tem por objeto prorrogar de forma excepcional a vigencia do presente contrato por mais 12 ( doze ) meses , ou ate que se conclua um novo processo licitatorio , com base no 4o do artigo 57 da Lei 8.666/1993 , periodo compreendido de 05/01/2020 a 04/01/2021 . DATA DA ASSINATURA : 16/12/2019 , devendo ser publicado no DODF a expensas da Administracao . VIGENCIA DO CONTRATO : 05/01/2020 a 04/01/2021 . VALOR : R$ 71.255,66 ( setenta e um mil duzentos e cinquenta e cinco reais e sessenta e seis centavos ) , recursos esses procedentes do Orcamento do Distrito Federal , devendo a importancia ser atendida a conta de dotacoes orcamentarias que estara consignado no orcamento de 2020 . DOTACAO ORCAMENTARIA : Unidade Orcamentaria 09105 ; Programa de Trabalho 04.122.6001.8517- * * * * ; Natureza da Despesa 339039 ; Fonte de Recursos 100/120/111 ; O empenho na modalidade estimativo inicial sera emitido em 2020 : Evento 400091 . SIGNATARIOS : pelo Distrito Federal , GERALDO CESAR DE ARAUJO , na qualidade de Administrador Regional e pela contratada , DAVI DE OLIVEIRA BERTUCCI , na qualidade de Executivo de Negocios Nacional ( Procurador ) e IVANILDE ROSA BEZERRA , na qualidade de Executivo de Negocios Nacional ( Procurador ) . ",O O O O O O O O B-numero_contrato O O O O O O O O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
