,processo_gdf,modalidade_licitacao,numero_licitacao,data_escrito,text,labels
0,110.000.252/2017,,,,"AVISO DE REVOGACAO Concorrencia no 015/2017 - ASCAL / PRES - para execucao de passeios e acessibilidade em areas dos Setores QNE , QNB , CNB de Taguatinga ; incluindo as Ruas do SESC e dos Bombeiros , consistindo de intervencao integrante do denominado Binario das Avenidas Comercial e Samdu de Taguatinga - RA III - DF ( Trecho 02 ) - processo no 110.000.252/2017 . Concorrencia no 016/2017 - ASCAL / PRES - para execucao de passeios e acessibilidade em areas dos Setores QSB e CSB de Taguatinga ; incluindo trecho a Igreja Nossa Senhora de Fatima , consistindo de intervencao integrante do denominado Binario das Avenidas Comercial e Samdu de Taguatinga - RA III - DF ( Trecho 03 ) - processo no 110.000.253/2017 . Comunicamos aos interessados nas licitacoes cima , que as mesmas ficam revogadas por Conveniencia Administrativa , conforme fundamentado nos autos dos processos . Para maiores informacoes ligar para o telefax ( 0xx61 ) 3403-2321 ou ( 0xx61 ) 3403-2322 . Brasilia / DF , 21 de novembro de 20l8 FERNANDO MORAIS Chefe da ASCAL / PRES . ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
1,00070-00004102/2019-61,PREGAO ELETRONICO,,,"AVISO DE ANULACAO PREGAO ELETRONICO ( SRP ) 10/2019 ( EXCLUSIVO PARA ENTIDADES PREFERENCIAIS ) A SECRETARIA DE ESTADO DA AGRICULTURA , ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL , torna publico que fica anulada a licitacao supracitada , referente ao Processo no 00070-00004102/ 2019-61 . Objeto : Contratacao de servico de investigacao geotecnica para execucao de sondagem a percussao . Serao aproximadamente 30 ( trinta ) furos de sondagem a percussao , distribuidos em diversos terrenos de propriedade do Governo do Distrito Federal , visando subsidiar a elaboracao de projetos de fundacoes para edificacoes voltadas para a area rural e/ou para a manutencao dos proprios da SEAGRI , sobretudo nas Regioes Administrativas de Brazlandia , Lago Norte , Paranoa , Planaltina , Plano Piloto ( Asa Norte ) e Sao Sebastiao , para fins de correcao da forma de apresentacao dos precos em termo de referencia , para que seja possivel aos licitantes incluir nos precos ofertados todos os custos necessarios a execucao do servicos . EDILENE DIAS CERQUEIRA Pregoeira ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
2,,PREGAO ELETRONICO,,,"AVISO DE ANULACAO PREGAO ELETRONICO POR SRP No 05/2019 - UASG 926119 A Pregoeira da Central de Compras / SUAG comunica a anulacao da licitacao supracitada , por decisao do Subsecretario de Administracao Geral , Antony Araujo Couto , haja vista as impropriedades tecnicas identificadas no termo de referencia . PRISCILLA MOREIRA FALCAO FIGUEIREDO ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
3,054.002.382/2017,PREGAO ELETRONICO,,08 de fevereiro de 2018,"AVISO DE ANULACAO PREGAO ELETRONICO No 16/2017 - SRP Processo no 054.002.382/2017 . O Chefe do Departamento de Saude e Assistencia ao Pessoal da Policia Militar do Distrito Federal torna publico aos interessados a ANULACAO do certame em epigrafe , inicialmente previsto para ocorrer em 23/1/2018 , as 14h , por vicio de incompetencia na autorizacao do processo licitatorio . Objeto : Registro de Preco para aqui- sicao de material farmacologico e hospitalar , conforme especificacoes e quantidades cons- tantes no Anexo I do edital . Valor estimado de R$ 11.187,75 ( onze mil cento e oitenta e sete reais de setenta e cinco centavos ) . Informacoes : ( 61 ) 3190-8054 e dsap.sspre- goes@pm.df.gov.br e dsap.sspregoes@gmail.com . Brasilia / DF , 08 de fevereiro de 2018 . ROGERIO BRITO DE MIRANDA ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O 
4,054.002.382/2017,PREGAO ELETRONICO,,08 de fevereiro de 2018,"AVISO DE ANULACAO PREGAO ELETRONICO No 16/2017 - SRP Processo no 054.002.382/2017 . O Chefe do Departamento de Saude e Assistencia ao Pessoal da Policia Militar do Distrito Federal torna publico aos interessados a ANULACAO do certame em epigrafe , inicialmente previsto para ocorrer em 23/1/2018 , as 14h , por vicio de incompetencia na autorizacao do processo licitatorio . Objeto : Registro de Preco para aqui- sicao de material farmacologico e hospitalar , conforme especificacoes e quantidades cons- tantes no Anexo I do edital . Valor estimado de R$ 11.187,75 ( onze mil cento e oitenta e sete reais de setenta e cinco centavos ) . Informacoes : ( 61 ) 3190-8054 e dsap.sspre- goes@pm.df.gov.br e dsap.sspregoes@gmail.com . Brasilia / DF , 08 de fevereiro de 2018 . ROGERIO BRITO DE MIRANDA ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O 
5,,PREGAO ELETRONICO,,,"AVISO DE ANULACAO PREGAO ELETRONICO SRP No 03/2017 O PREGOEIRO DA SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FE- DERAL , em atendimento a Decisao no 3816/2018 do Tribunal de Contas do Distrito Federal , comunica a ANULACAO do PREGAO ELETRONICO - SRP no 03/2017 , Contratacao de empresa especializada em transporte de pessoas para prestacao de servico de transporte escolar dos alunos da Rede Publica de Ensino do Distrito Federal na Regiao : "" C "" - Sao Sebastiao , por meio de veiculos com motorista , monitor e encarregado conforme espe- cificacao constante deste Termo Referencia e seu ENCARTE B , nos itinerarios residencia- escola e vice-versa , bem como nas atividades curriculares ou extracurriculares contidas nos Projetos Politicos Pedagogicos das Instituicoes Educacionais conforme especificacoes e con- dicoes estabelecidas no termo de referencia constante do Anexo I do Edital , objeto do procedimento administrativo no 080.000401/2016 . Os autos ficam com vistas franqueadas aos interessados , nesta Secretaria de Estado de Educacao , na SGAN 607 Projecoes "" D "" sala 309 ( telefone 3901-2319 ) , nos sites http://www.comprasnet.gov.br e http://w w w. s e . d f . g o v. b r. JOSEMAR SALVIANO DA SILVA . ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
6,,PREGAO ELETRONICO,,28 de marco de 2019,"AVISO DE ANULACAO DE INABILITACAO PREGAO ELETRONICO No 81/2018 O Pregoeiro comunica aos interessados que tendo em vista a Decisao 976/2019 do Tribunal de Contas do Distrito Federal , fica anulada a inabilitacao da empresa COMERCIAL JSM PROD U TO S AGROPECUARIOS EIRELI , no ambito do pregao supracitado . Brasilia / DF , 28 de marco de 2019 . ROGERIO CESAR PEREIRA ",O O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O 
7,00113.00024977/2018-91,PREGAO ELETRONICO,,28 de marco de 2019,"AVISO DE ANULACAO DE INABILITACAO PREGAO ELETRONICO No 083-2018 Aquisicao de material Permanente - Betoneira e Compactador de Solos , conforme especificacoes e condicoes constantes do termo de referencia em anexo I do Edital , Processo SEI no 00113.00024977/ 2018-91 . Data e horario para recebimento das propostas : ate 09h00min do dia 16 de outubro de 2018 , com valor estimado anual de R$ 93.211,65 . O Pregoeiro comunica aos interessados que em vista a Decisao no . 976/2019 do Tribunal de Contas do Distrito Federal fica anulada a inabilitacao da empresa COMERCIAL JSM PRODU TO S AGROPECUARIOS EIRELI , no ambito do pregao supracitado . Brasilia / DF , 28 de marco de 2019 GILBERTO NUNES VERAS Pregoeiro ",O O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O 
8,00400-00023725/2019-17,Pregao Eletronico,,,"AVISO DE REVOGACAO DE LICITACAO PREGAO ELETRONICO PE No 2/2019 ( UASG : 927507 ) A Secretaria de Estado de Justica e Cidadania do Distrito Federal , torna publico que , seguindo o interesse publico e com suporte na Manifestacao 233 da AJL , documento SEI no 26459672 , revoga o Pregao Eletronico no 02/2019 objeto : Contratacao empresa especializada para prestacao de servicos graficos - incluindo material e mao de obra necessaria para a execucao e acabamento dos servicos graficos , sob demanda , necessarios a realizacao da eleicao dos Conselheiros Tutelares do Distrito Federal para o Quadrienio 2020/2023 , conforme condicoes e exigencias estabelecidas no Projeto Basico constante do Anexo I do Edital . Processo SEI no 00400-00023725/ 2019-17 , Informacoes pelo telefone : ( 61 ) 3213-0712 . ERONILDO DE JESUS Pregoeiro ",O O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O 
9,092.000207/2019,Pregao Eletronico,,,"AVISO DE REVOGACAO DE LICITACAO A Caesb torna publico que o Pregao Eletronico PE No 221/2019 , processo no 092.000207/2019 , realizado no site : www.comprasnet.gov.br ( UASG : 974200 ) , tipo de licitacao : menor preco , para o registro de precos para aquisicao de parafusos , arruelas , porcas e chumbadores , foi revogada por tratar-se de licitacao fracassada . NARA MAGALHAES DA SILVA Pregoeira ",O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
10,0052.00015532/2018-46,PREGAO ELETRONICO,,12 de abril de 2019,"AVISO DE REVOGACAO PREGAO ELETRONICO No 08/2019 A Pregoeira responsavel pelo certame , Processo : 0052.00015532/ 2018-46 , Objeto : Aquisicao de eletrodomesticos ( bebedouro , freezer , televisor , fogao a gas GLP , fogao cooktop eletrico 4 bocas vitroceramico ) destinados a diversas unidades da Policia Civil do Distrito Federal , conforme Anexo I do Edital , comunica a revogacao da licitacao supracitada , em razao do interesse publico decorrente de fato superveniente consubstanciado na homologacao de Ata de Registro de Precos do Governo do Distrito Federal para aquisicao de eletrodomesticos . Maiores informacoes na CPL / PCDF fones : 3207-4071/4046 . Brasilia / DF , 12 de abril de 2019 KELLY CRISTINA CORDEIRO GUEDES ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O 
