tipo,nome,matricula,simbolo,cargo_comissao,lotacao,orgao,vigencia,pedido,cargo_efetivo,siape,motivo,texto
Exoneração, MICHELE CRISTHINA PEREIRA DE SOUSA,nan,CNE-07, Natureza Especial,"Unidade Especial de Avaliacao e Publicacao, da Subsecretaria de Atos
Oficiais, da Secretaria Adjunta da Casa Civil",Casa Civil do Distrito Federal,nan,nan,nan,nan,nan,"EXONERAR MICHELE CRISTHINA PEREIRA DE SOUSA do Cargo de Natureza Especial, Simbolo
CNE-07, de Assessor Especial, da Unidade Especial de Avaliacao e Publicacao, da Subsecretaria de Atos
Oficiais, da Secretaria Adjunta da Casa Civil, da Casa Civil do Distrito Federal"
Exoneração, BARBARA EDENIR ARAUJO FREITAS,nan,DFA-14,nan,"Coordenacao de Publicacao, da Unidade Especial de Avaliacao e Publicacao, da Subsecretaria
de Atos Oficiais, da Secretaria Adjunta da Casa Civil",Casa Civil do Distrito Federal,nan,nan,nan,nan,nan,"EXONERAR BARBARA EDENIR ARAUJO FREITAS do Cargo em Comissao, Simbolo DFA-14, de
Assessor, da Coordenacao de Publicacao, da Unidade Especial de Avaliacao e Publicacao, da Subsecretaria
de Atos Oficiais, da Secretaria Adjunta da Casa Civil, da Casa Civil do Distrito Federal"
Exoneração, MAURICIO SAMPAIO PERNA,nan,CNE-07,"
Natureza Especial","Coordenacao de Distribuicao e
Faturamento, da Unidade Especial de Avaliacao e Publicacao, da Subsecretaria de Atos Oficiais, da
Secretaria Adjunta da Casa Civil",Casa Civil do Distrito Federal,nan,nan,nan,nan,nan,"EXONERAR, por estar sendo nomeado para outro cargo, MAURICIO SAMPAIO PERNA do Cargo de
Natureza Especial, Simbolo CNE-07, de Assessor Especial, da Coordenacao de Distribuicao e
Faturamento, da Unidade Especial de Avaliacao e Publicacao, da Subsecretaria de Atos Oficiais, da
Secretaria Adjunta da Casa Civil, da Casa Civil do Distrito Federal"
Exoneração, MARCIO RICARDO GOMES,nan,nan," ASSISTENCIA
PUBLICA A SAUDE",nan,nan,nan,nan,nan,nan,nan,"EXONERAR, de oficio, MARCIO RICARDO GOMES, da Carreira de ASSISTENCIA
PUBLICA A SAUDE, cargo de AUXILIAR EM SAUDE - AOSD - PATOLOGIA CLINICA, Padrao AS-
01, Matricula no 16869672, do Quadro de Pessoal do Distrito Federal com lotacao na Secretaria de Estado
de Saude do Distrito Federal, com base nos termos do Artigo 51, Inciso II, da Lei Complementar no
840/2011, declarando vago o referido cargo a contar de 12 de julho de 2018, conforme Processo no 00060-
00350707/2018-88"
Exoneração, POLYANA OLIVEIRA SANTOS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"EXONERAR, de oficio, POLYANA OLIVEIRA SANTOS, da Carreira MEDICA, cargo de
MEDICO - MEDICINA DE EMERGENCIA, 3a Classe, Padrao I, Matricula no 16889789, do Quadro de
Pessoal do Distrito Federal com lotacao na Secretaria de Estado de Saude do Distrito Federal, com base
nos termos do Artigo 51, Inciso II, da Lei Complementar no 840/2011, declarando vago o referido cargo
a contar de 19 de dezembro de 2018, conforme Processo no 00060-00576118/2018-28"
Exoneração, KAREN ALVES DA SILVA DIAS,nan,nan," ASSISTENCIA
PUBLICA A SAUDE",nan,nan,nan,nan,nan,nan,nan,"EXONERAR, de oficio, KAREN ALVES DA SILVA DIAS, da Carreira de ASSISTENCIA
PUBLICA A SAUDE, cargo de AUXILIAR EM SAUDE - AOSD - ORTOPEDIA E GESSO, 3a Classe,
Padrao I, Matricula no"
Exoneração, FELIPE PEREIRA DE CASTRO SAMPAIO,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"EXONERAR, de oficio, FELIPE PEREIRA DE CASTRO SAMPAIO, da Carreira MEDICA,
cargo de MEDICO - MEDICINA DA FAMILIA E COMUNIDADE, 3a Classe, Padrao I, Matricula no"
Exoneração, BARBARA DIAS ANTUNES,nan,nan," ASSISTENCIA
PUBLICA A SAUDE",nan,nan,nan,nan,nan,nan,nan,"EXONERAR, de oficio, BARBARA DIAS ANTUNES, da Carreira de ASSISTENCIA
PUBLICA A SAUDE, cargo de TECNICO EM SAUDE - TECNICO ADMINISTRATIVO, 3a Classe,
Padrao I, Matricula no 16876032, do Quadro de Pessoal do Distrito Federal com lotacao na Secretaria de
Estado de Saude do Distrito Federal, com base nos termos do Artigo 51, Inciso II, da Lei Complementar
no 840/2011, declarando vago o referido cargo a contar de 6 de setembro de 2018, conforme Processo no
0 0 0 6 0 - 0 0 4 4 9 6 8 5 / 2 0 1 8 - 11 "
Exoneração, LUCIANO SORREQUIA OLIVEIRA,nan,nan," ASSISTENCIA
PUBLICA A SAUDE",nan,nan,nan,a pedido,nan,nan,nan,"EXONERAR, a pedido, LUCIANO SORREQUIA OLIVEIRA, da Carreira de ASSISTENCIA
PUBLICA A SAUDE, cargo de TECNICO EM SAUDE - TECNICO DE ENFERMAGEM, 3a Classe,
Padrao I, Matricula no 16855698, do Quadro de Pessoal do Distrito Federal com lotacao na Secretaria de
Estado de Saude do Distrito Federal, com base nos termos do caput do Artigo 51, da Lei Complementar
no 840/2011, lotado(a) no(a) SUPERINTENDENCIA DA REGIAO DE SAUDE NORTE - UNIDADE DE
MEDICINA INTERNA, declarando vago o referido cargo, a contar de 02 de junho de 2018, nos termos
do artigo 50, Inciso I, da supramencionada Lei, conforme Processo no 00060-00262707/2018-21"
Exoneração, FLAVIANE RABELO SIQUEIRA,nan,nan,nan,nan,nan,nan,a pedido,nan,nan,nan,"EXONERAR, a pedido, FLAVIANE RABELO SIQUEIRA, da Carreira MEDICA, cargo de
MEDICO - PEDIATRIA, 3a Classe, Padrao I, Matricula no 16869702, do Quadro de Pessoal do Distrito
Federal com lotacao na Secretaria de Estado de Saude do Distrito Federal, com base nos termos do caput
do Artigo 51, da Lei Complementar no 840/2011, lotada no HOSPITAL REGIONAL DE SANTA MARIA
- GERENCIA DE EMERGENCIA, declarando vago o referido cargo, a contar de 11 de dezembro de
2018, nos termos do artigo 50, Inciso I, da supramencionada Lei, conforme Processo no 00060-
00564052/2018-23"
Exoneração, NAIRA COUTINHO OLIVEIRA ROCHA,nan,nan,"
ASSISTENCIA PUBLICA A SAUDE",nan,nan,nan,a pedido,nan,nan,nan,"EXONERAR, a pedido, NAIRA COUTINHO OLIVEIRA ROCHA, da Carreira de
ASSISTENCIA PUBLICA A SAUDE, cargo de AUXILIAR EM SAUDE - AOSD ORTOPEDIA E
GESSO, Padrao AS-09, Matricula no 01894978, do Quadro de Pessoal do Distrito Federal com lotacao na
Secretaria de Estado de Saude do Distrito Federal, com base nos termos do caput do Artigo 51, da Lei
Complementar no 840/2011, lotada no HOSPITAL REGIONAL DO GAMA - UNIDADE DE
TRAUMATOLOGIA E ORTOPEDIA, declarando vago o referido cargo, a contar de 27 de novembro de
2018, nos termos do artigo 50, Inciso I, da supramencionada Lei, conforme Processo no 00060-
00541499/2018-24"
Exoneração, LARISSA TOSCANO VALADARES,nan,nan," ASSISTENCIA
PUBLICA A SAUDE",nan,nan,nan,a pedido,nan,nan,nan,"EXONERAR, a pedido, LARISSA TOSCANO VALADARES, da Carreira de ASSISTENCIA
PUBLICA A SAUDE, cargo de TECNICO EM SAUDE - TECNICO EM NUTRICAO, 3a Classe, Padrao
I, Matricula no 16816706, do Quadro de Pessoal do Distrito Federal com lotacao na Secretaria de Estado
de Saude do Distrito Federal, com base nos termos do caput do Artigo 51, da Lei Complementar no
840/2011, lotada no HOSPITAL REGIONAL DO GAMA - NUCLEO DE NUTRICAO E DIETETICA,
declarando vago o referido cargo, a contar de 27 de novembro de 2018, nos termos do artigo 50, Inciso
I, da supramencionada Lei, conforme Processo no 00060-00541236/2018-15"
Exoneração, MARCELO ALVES RIBEIRO,nan,nan," ASSISTENCIA
PUBLICA A SAUDE",nan,nan,nan,a pedido,nan,nan,nan,"EXONERAR, a pedido, MARCELO ALVES RIBEIRO, da Carreira de ASSISTENCIA
PUBLICA A SAUDE, cargo de ESPECIALISTA EM SAUDE - FARMACEUTICO BIOQ"
Exoneração," ABNER DA COSTA
PEIXOTO",nan,nan,nan,nan,nan,nan,a pedido,nan,nan,nan,"EXONERAR, a pedido, ABNER DA COSTA
PEIXOTO, do cargo de Monitor de Gestao Educacional, matricula 241"
