id,anotador,tipo,Ato_Retificacao_Cargo_Comissionado,tipo_documento,data_documento,numero_DODF,data_DODF,pagina_DODF,subato,tipo_ato,nome_servidor,orgao,informacao_errada,informacao_corrigida
R65,tatianafp,Ato_Retificacao_Cargo_Comissionado,"No Decreto de 07 de novembro de 2019, publicado no DODF n° 214, de 8 de novembro de 2019,
páginas 22, 23, 24 e 25, o ato que exonerou, a pedido, RAQUEL MENDONÇA E SILVA
MONTEIRO, da Secretaria de Estado de Desenvolvimento Urbano e Habitação do Distrito Federal,
ONDE SE LÊ: ""...a contar de 21 de outubro de 2019."" , LEIA-SE: ""...a contar de 22 de outubro de
2019."", o ato que nomeou ERISSON MACHADO MAGALHÃES, ONDE SE LÊ: ""...ERISSON
MACHADO MAGALHÃES..."", LEIA-SE: ""...ERISON MACHADO MAGALHÃES..."", o ato que
exonerou, por estar sendo nomeada para outro cargo, MARYANNE RACKEL NEGREIROS DA
SILVA, ONDE SE LÊ: ""EXONERAR, por estar sendo nomeada para outro cargo, MARYANNE
RACKEL NEGREIROS DA SILVA..."", LEIA-SE ""EXONERAR, a pedido, MARYANNE RACKEL
NEGREIROS DA SILVA..., a contar de 31 de outubro de 2019."", o ato que exonerou, por estar sendo
nomeado para outro cargo, ARTUR LEORNARDO COELHO ROCCI, ONDE SE LÊ: ""...ARTUR
LEORNARDO COELHO ROCCI..."", LEIA-SE: ""ARTUR LEONARDO COELHO ROCCI..."" o ato
que nomeou ANDRÉ CAVALVANTE MACHADO NEWTON, ONDE SE LÊ: ""...ANDRÉ
CAVALVANTE MACHADO NEWTON..."", LEIA-SE: ""...ANDRÉ CAVALCANTE MACHADO
NEWTON...""",Decreto,07 de novembro de 2019,214,8 de novembro de 2019,"22, 23, 24 e 25","o ato que exonerou, a pedido, RAQUEL MENDONÇA E SILVA
MONTEIRO, da Secretaria de Estado de Desenvolvimento Urbano e Habitação do Distrito Federal,
ONDE SE LÊ: ""...a contar de 21 de outubro de 2019."" , LEIA-SE: ""...a contar de 22 de outubro de
2019.""",exonerou,"RAQUEL MENDONÇA E SILVA
MONTEIRO",Secretaria de Estado de Desenvolvimento Urbano e Habitação do Distrito Federal,"""...a contar de 21 de outubro de 2019.""","""...a contar de 22 de outubro de
2019."""
R66,tatianafp,Ato_Retificacao_Cargo_Comissionado,"No Decreto de 07 de novembro de 2019, publicado no DODF n° 214, de 8 de novembro de 2019,
páginas 22, 23, 24 e 25, o ato que exonerou, a pedido, RAQUEL MENDONÇA E SILVA
MONTEIRO, da Secretaria de Estado de Desenvolvimento Urbano e Habitação do Distrito Federal,
ONDE SE LÊ: ""...a contar de 21 de outubro de 2019."" , LEIA-SE: ""...a contar de 22 de outubro de
2019."", o ato que nomeou ERISSON MACHADO MAGALHÃES, ONDE SE LÊ: ""...ERISSON
MACHADO MAGALHÃES..."", LEIA-SE: ""...ERISON MACHADO MAGALHÃES..."", o ato que
exonerou, por estar sendo nomeada para outro cargo, MARYANNE RACKEL NEGREIROS DA
SILVA, ONDE SE LÊ: ""EXONERAR, por estar sendo nomeada para outro cargo, MARYANNE
RACKEL NEGREIROS DA SILVA..."", LEIA-SE ""EXONERAR, a pedido, MARYANNE RACKEL
NEGREIROS DA SILVA..., a contar de 31 de outubro de 2019."", o ato que exonerou, por estar sendo
nomeado para outro cargo, ARTUR LEORNARDO COELHO ROCCI, ONDE SE LÊ: ""...ARTUR
LEORNARDO COELHO ROCCI..."", LEIA-SE: ""ARTUR LEONARDO COELHO ROCCI..."" o ato
que nomeou ANDRÉ CAVALVANTE MACHADO NEWTON, ONDE SE LÊ: ""...ANDRÉ
CAVALVANTE MACHADO NEWTON..."", LEIA-SE: ""...ANDRÉ CAVALCANTE MACHADO
NEWTON...""",Decreto,07 de novembro de 2019,214,8 de novembro de 2019,"22, 23, 24 e 25","o ato que nomeou ERISSON MACHADO MAGALHÃES, ONDE SE LÊ: ""...ERISSON
MACHADO MAGALHÃES..."", LEIA-SE: ""...ERISON MACHADO MAGALHÃES...""",nomeou,ERISSON MACHADO MAGALHÃES,nan,"""...ERISSON
MACHADO MAGALHÃES...""","""...ERISON MACHADO MAGALHÃES..."""
R67,tatianafp,Ato_Retificacao_Cargo_Comissionado,"No Decreto de 07 de novembro de 2019, publicado no DODF n° 214, de 8 de novembro de 2019,
páginas 22, 23, 24 e 25, o ato que exonerou, a pedido, RAQUEL MENDONÇA E SILVA
MONTEIRO, da Secretaria de Estado de Desenvolvimento Urbano e Habitação do Distrito Federal,
ONDE SE LÊ: ""...a contar de 21 de outubro de 2019."" , LEIA-SE: ""...a contar de 22 de outubro de
2019."", o ato que nomeou ERISSON MACHADO MAGALHÃES, ONDE SE LÊ: ""...ERISSON
MACHADO MAGALHÃES..."", LEIA-SE: ""...ERISON MACHADO MAGALHÃES..."", o ato que
exonerou, por estar sendo nomeada para outro cargo, MARYANNE RACKEL NEGREIROS DA
SILVA, ONDE SE LÊ: ""EXONERAR, por estar sendo nomeada para outro cargo, MARYANNE
RACKEL NEGREIROS DA SILVA..."", LEIA-SE ""EXONERAR, a pedido, MARYANNE RACKEL
NEGREIROS DA SILVA..., a contar de 31 de outubro de 2019."", o ato que exonerou, por estar sendo
nomeado para outro cargo, ARTUR LEORNARDO COELHO ROCCI, ONDE SE LÊ: ""...ARTUR
LEORNARDO COELHO ROCCI..."", LEIA-SE: ""ARTUR LEONARDO COELHO ROCCI..."" o ato
que nomeou ANDRÉ CAVALVANTE MACHADO NEWTON, ONDE SE LÊ: ""...ANDRÉ
CAVALVANTE MACHADO NEWTON..."", LEIA-SE: ""...ANDRÉ CAVALCANTE MACHADO
NEWTON...""",Decreto,07 de novembro de 2019,214,8 de novembro de 2019,"22, 23, 24 e 25","o ato que
exonerou, por estar sendo nomeada para outro cargo, MARYANNE RACKEL NEGREIROS DA
SILVA, ONDE SE LÊ: ""EXONERAR, por estar sendo nomeada para outro cargo, MARYANNE
RACKEL NEGREIROS DA SILVA..."", LEIA-SE ""EXONERAR, a pedido, MARYANNE RACKEL
NEGREIROS DA SILVA..., a contar de 31 de outubro de 2019.""",exonerou,"MARYANNE RACKEL NEGREIROS DA
SILVA",nan,"""EXONERAR, por estar sendo nomeada para outro cargo, MARYANNE
RACKEL NEGREIROS DA SILVA...""","""EXONERAR, a pedido, MARYANNE RACKEL
NEGREIROS DA SILVA..., a contar de 31 de outubro de 2019."""
R68,tatianafp,Ato_Retificacao_Cargo_Comissionado,"No Decreto de 07 de novembro de 2019, publicado no DODF n° 214, de 8 de novembro de 2019,
páginas 22, 23, 24 e 25, o ato que exonerou, a pedido, RAQUEL MENDONÇA E SILVA
MONTEIRO, da Secretaria de Estado de Desenvolvimento Urbano e Habitação do Distrito Federal,
ONDE SE LÊ: ""...a contar de 21 de outubro de 2019."" , LEIA-SE: ""...a contar de 22 de outubro de
2019."", o ato que nomeou ERISSON MACHADO MAGALHÃES, ONDE SE LÊ: ""...ERISSON
MACHADO MAGALHÃES..."", LEIA-SE: ""...ERISON MACHADO MAGALHÃES..."", o ato que
exonerou, por estar sendo nomeada para outro cargo, MARYANNE RACKEL NEGREIROS DA
SILVA, ONDE SE LÊ: ""EXONERAR, por estar sendo nomeada para outro cargo, MARYANNE
RACKEL NEGREIROS DA SILVA..."", LEIA-SE ""EXONERAR, a pedido, MARYANNE RACKEL
NEGREIROS DA SILVA..., a contar de 31 de outubro de 2019."", o ato que exonerou, por estar sendo
nomeado para outro cargo, ARTUR LEORNARDO COELHO ROCCI, ONDE SE LÊ: ""...ARTUR
LEORNARDO COELHO ROCCI..."", LEIA-SE: ""ARTUR LEONARDO COELHO ROCCI..."" o ato
que nomeou ANDRÉ CAVALVANTE MACHADO NEWTON, ONDE SE LÊ: ""...ANDRÉ
CAVALVANTE MACHADO NEWTON..."", LEIA-SE: ""...ANDRÉ CAVALCANTE MACHADO
NEWTON...""",Decreto,07 de novembro de 2019,214,8 de novembro de 2019,"22, 23, 24 e 25","o ato que exonerou, por estar sendo
nomeado para outro cargo, ARTUR LEORNARDO COELHO ROCCI, ONDE SE LÊ: ""...ARTUR
LEORNARDO COELHO ROCCI..."", LEIA-SE: ""ARTUR LEONARDO COELHO ROCCI...""",exonerou,ARTUR LEORNARDO COELHO ROCCI,nan,"""...ARTUR
LEORNARDO COELHO ROCCI...""","""ARTUR LEONARDO COELHO ROCCI..."""
R69,tatianafp,Ato_Retificacao_Cargo_Comissionado,"No Decreto de 07 de novembro de 2019, publicado no DODF n° 214, de 8 de novembro de 2019,
páginas 22, 23, 24 e 25, o ato que exonerou, a pedido, RAQUEL MENDONÇA E SILVA
MONTEIRO, da Secretaria de Estado de Desenvolvimento Urbano e Habitação do Distrito Federal,
ONDE SE LÊ: ""...a contar de 21 de outubro de 2019."" , LEIA-SE: ""...a contar de 22 de outubro de
2019."", o ato que nomeou ERISSON MACHADO MAGALHÃES, ONDE SE LÊ: ""...ERISSON
MACHADO MAGALHÃES..."", LEIA-SE: ""...ERISON MACHADO MAGALHÃES..."", o ato que
exonerou, por estar sendo nomeada para outro cargo, MARYANNE RACKEL NEGREIROS DA
SILVA, ONDE SE LÊ: ""EXONERAR, por estar sendo nomeada para outro cargo, MARYANNE
RACKEL NEGREIROS DA SILVA..."", LEIA-SE ""EXONERAR, a pedido, MARYANNE RACKEL
NEGREIROS DA SILVA..., a contar de 31 de outubro de 2019."", o ato que exonerou, por estar sendo
nomeado para outro cargo, ARTUR LEORNARDO COELHO ROCCI, ONDE SE LÊ: ""...ARTUR
LEORNARDO COELHO ROCCI..."", LEIA-SE: ""ARTUR LEONARDO COELHO ROCCI..."" o ato
que nomeou ANDRÉ CAVALVANTE MACHADO NEWTON, ONDE SE LÊ: ""...ANDRÉ
CAVALVANTE MACHADO NEWTON..."", LEIA-SE: ""...ANDRÉ CAVALCANTE MACHADO
NEWTON...""",Decreto,07 de novembro de 2019,214,8 de novembro de 2019,"22, 23, 24 e 25","o ato
que nomeou ANDRÉ CAVALVANTE MACHADO NEWTON, ONDE SE LÊ: ""...ANDRÉ
CAVALVANTE MACHADO NEWTON..."", LEIA-SE: ""...ANDRÉ CAVALCANTE MACHADO
NEWTON...""",nomeou,ANDRÉ CAVALVANTE MACHADO NEWTON,nan,"""...ANDRÉ
CAVALVANTE MACHADO NEWTON...""","""...ANDRÉ CAVALCANTE MACHADO
NEWTON..."""
R70,tatianafp,Ato_Retificacao_Cargo_Comissionado,"No Decreto de 16 de dezembro de 2019, publicado no DODF nº 239, de 17 de dezembro de 2019,
página 16, o ato que nomeou JÂNIO AGOSTINHO DE DEUS, da Secretaria de Estado de Saúde do
Distrito Federal, ONDE SE LÊ: ""...DFA-07..."", LEIA-SE: ""...DFG-07...""",Decreto,16 de dezembro de 2019,239,17 de dezembro de 2019,16,nan,nomeou,JÂNIO AGOSTINHO DE DEUS,"Secretaria de Estado de Saúde do
Distrito Federal","""...DFA-07...""","""...DFG-07..."""
R71,tatianafp,Ato_Retificacao_Cargo_Comissionado,"No Decreto de 09 de janeiro de 2020, publicado no DODF nº 7, de 10 de janeiro de 2020, página
9, o ato que nomeou VANESSA NOGUEIRA DA SILVA LESSA, da Administração Regional da
Candangolândia do Distrito Federal, ONDE SE LÊ: ""...VANESSA NOGUEIRA DA SILVA LESSA..."",
LEIA-SE: ""...VANESSA NOGUEIRA DA SILVA LESSA DE SOUZA...""",Decreto,09 de janeiro de 2020,7,10 de janeiro de 2020,9,nan,nomeou,VANESSA NOGUEIRA DA SILVA LESSA,"Administração Regional da
Candangolândia do Distrito Federal","""...VANESSA NOGUEIRA DA SILVA LESSA...""","""...VANESSA NOGUEIRA DA SILVA LESSA DE SOUZA..."""
R72,tatianafp,Ato_Retificacao_Cargo_Comissionado,"No Decreto de 12 de novembro de 2019, publicado no DODF nº 217, de 13 de novembro de 2019,
página 12, o ato que nomeou RODOLPHO HOTH DOS REIS, da Secretaria de Estado de
Atendimento à Comunidade do Distrito Federal, ONDE SE LÊ: ""...de Assessor Especial, da
Secretaria...""; LEIA-SE: ""...de Assessor Especial, do Gabinete, da Secretaria...""",Decreto,12 de novembro de 2019,217,13 de novembro de 2019,12,nan,nomeou,RODOLPHO HOTH DOS REIS,"Secretaria de Estado de
Atendimento à Comunidade do Distrito Federal","""...de Assessor Especial, da
Secretaria...""","""...de Assessor Especial, do Gabinete, da Secretaria..."""
R73,tatianafp,Ato_Retificacao_Cargo_Comissionado,"No Decreto de 09 de janeiro de 2020, publicado no DODF nº 7, de 10 de janeiro de 2020, página
9, o ato que nomeou FELIPE VITOR RAMOS DIAS, da Administração Regional do Gama do Distrito
Federal, ONDE SE LÊ: ""...FELIPE VITOR RAMOS DIAS..."", LEIA-SE: ""...FILIPE VITOR RAMOS
DIAS...""",Decreto,09 de janeiro de 2020,7,10 de janeiro de 2020,9,nan,nomeou,FELIPE VITOR RAMOS DIAS,"Administração Regional do Gama do Distrito
Federal","""...FELIPE VITOR RAMOS DIAS...""","""...FILIPE VITOR RAMOS
DIAS..."""
R92,tatianafp,Ato_Retificacao_Cargo_Comissionado,"Na Ordem de Serviço de 01 de dezembro de 2009, publicado no DODF nº 234, de 04 de dezembro de
2009, página 40, ONDE SE LÊ: ""...WILLIA DA COSTA GONÇALVES, 128.781-8, NUTRICIONISTA,
HAB. 871 dias, ou seja, 2 anos, 4 meses e 21 dias..."", LEIA-SE: ""...WILLIA DA COSTA GONÇALVES,
128.781-8, NUTRICIONISTA, HAB. 869 dias, ou seja, 2 anos, 4 meses e 19 dias...""",Ordem de Serviço,01 de dezembro de 2009,234,"04 de dezembro de
2009",40,nan,nan,nan,nan,"""...WILLIA DA COSTA GONÇALVES, 128.781-8, NUTRICIONISTA,
HAB. 871 dias, ou seja, 2 anos, 4 meses e 21 dias...""","""...WILLIA DA COSTA GONÇALVES,
128.781-8, NUTRICIONISTA, HAB. 869 dias, ou seja, 2 anos, 4 meses e 19 dias..."""
