id_geral,id_dodf_rel,id_dodf,tipo_rel,id_rel,anotador_rel,tipo_ent,id_ent,anotador_ent,texto,estado_ent
1811912620138198,18_119.12.6.2013R81,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R81,matheus_stauffer,a_pedido_ou_nao,98,DODFMiner,a pedido,nao_confirmado
18119126201381104,18_119.12.6.2013R81,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R81,matheus_stauffer,orgao,104,pedro_henrique,Governadoria do Distrito Federal,nao_confirmado
18119126201381105,18_119.12.6.2013R81,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R81,matheus_stauffer,vigencia,105,pedro_henrique,3 de junho de 2013,nao_confirmado
1811912620138197,18_119.12.6.2013R81,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R81,matheus_stauffer,Ato_Exoneracao_Comissionado,97,pedro_henrique,"EXONERAR, a pedido, DELMIR MOREIRA DURAES, matricula 1.657.652-7, do Cargo em 
Comissao, Simbolo DFA-05, de Assessor Tecnico, da Coordenadoria de Comunicacao para a 
Copa, da Secretaria de Estado Extraordinaria da Copa 2014, da Governadoria do Distrito Federal, 
a contar de 3 de junho de 2013.",nao_confirmado
1811912620138199,18_119.12.6.2013R81,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R81,matheus_stauffer,nome,99,DODFMiner, DELMIR MOREIRA DURAES,nao_confirmado
18119126201381100,18_119.12.6.2013R81,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R81,matheus_stauffer,matricula,100,DODFMiner,1.657.652-7,nao_confirmado
18119126201381101,18_119.12.6.2013R81,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R81,matheus_stauffer,simbolo,101,pedro_henrique,DFA-05,nao_confirmado
18119126201381102,18_119.12.6.2013R81,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R81,matheus_stauffer,cargo_comissionado,102,pedro_henrique,Assessor Tecnico,nao_confirmado
18119126201381103,18_119.12.6.2013R81,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R81,matheus_stauffer,hierarquia_lotacao,103,pedro_henrique,"Coordenadoria de Comunicacao para a 
Copa, da Secretaria de Estado Extraordinaria da Copa 2014",nao_confirmado
18119126201382115,18_119.12.6.2013R82,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R82,matheus_stauffer,orgao,115,pedro_henrique,Governadoria do Distrito Federal,nao_confirmado
18119126201382112,18_119.12.6.2013R82,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R82,matheus_stauffer,simbolo,112,pedro_henrique,DFA-14,nao_confirmado
18119126201382113,18_119.12.6.2013R82,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R82,matheus_stauffer,cargo_comissionado,113,pedro_henrique,Assessor,nao_confirmado
18119126201382107,18_119.12.6.2013R82,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R82,matheus_stauffer,Ato_Exoneracao_Comissionado,107,pedro_henrique,"EXONERAR, por ter sido nomeada para outro cargo, VANDA ARAUJO DE SOUSA COR-
DEIRO, matricula 260.939-8, do Cargo em Comissao, Simbolo DFA-14, de Assessor, da Coor-
denadoria de Comunicacao para a Copa, da Secretaria de Estado Extraordinaria da Copa 2014, 
da Governadoria do Distrito Federal, a contar de 4 de junho de 2013.",nao_confirmado
18119126201382108,18_119.12.6.2013R82,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R82,matheus_stauffer,motivo,108,pedro_henrique,por ter sido nomeada para outro cargo,nao_confirmado
18119126201382109,18_119.12.6.2013R82,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R82,matheus_stauffer,nome,109,DODFMiner, VANDA ARAUJO DE SOUSA COR,nao_confirmado
18119126201382110,18_119.12.6.2013R82,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R82,matheus_stauffer,nome,110,pedro_henrique,"VANDA ARAUJO DE SOUSA COR-
DEIRO",nao_confirmado
18119126201382111,18_119.12.6.2013R82,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R82,matheus_stauffer,matricula,111,pedro_henrique,260.939-8,nao_confirmado
18119126201382114,18_119.12.6.2013R82,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R82,matheus_stauffer,hierarquia_lotacao,114,pedro_henrique,"Coor-
denadoria de Comunicacao para a Copa, da Secretaria de Estado Extraordinaria da Copa 2014",nao_confirmado
18119126201382116,18_119.12.6.2013R82,18_119.12.6.2013,Ato_Exoneracao_Comissionado,R82,matheus_stauffer,vigencia,116,pedro_henrique,4 de junho de 2013,nao_confirmado
