,descricao_objeto,modalidade licitatoria,processo,objeto,valor_estimado,tipo,texto
0,,nPREGAO,00060-00500694/2018-02," Aquisicao de material de consumo COMPRESSAS DE GAZE e outros em sistema de registro\nde precos para atender as necessidades da Secretaria de Saude - DF, conforme especificacoes e\nquantitativos constantes no Anexo I deste Edital", 5.898.569,,"('\nPREGAO ELETRONICO POR SRP No 19/2019 - UASG 926119\nObjeto Aquisicao de material de consumo COMPRESSAS DE GAZE e outros em sistema de registro\nde precos para atender as necessidades da Secretaria de Saude - DF, conforme especificacoes e\nquantitativos constantes no Anexo I deste Edital. Processo 00060-00500694/2018-02. Total de 20 itens\n(Ampla concorrencia, cota e exclusivo ME/EPP). Valor Estimado: R$ 5.898.569,3300. Edital e\nCadastro das Propostas: a partir de 18/02/2019. Abertura das Propostas: 28/02/2019 as 9h00min,\nhorario de Brasilia, no site www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no\nsite ou com onus no endereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte\n- Bloco ""A"", 1 andar, sala 83, Central de Compras da SUAG/SES, CEP 70770-200, Brasilia/DF', '')"
1,,nPREGAO,011994," Aquisicao de PRODUTOS PARA HIGIENIZACAO DE ENXOVAL HOSPITALAR\n(DETERGENTE CONCENTRADO LIQUIDO, ADITIVO ALCALINO LIQUIDO, DESINFETANTE /\nALVEJANTE LIQUIDO COM ACIDO PERACETICO NA SUA COMPOSICAO, DESINFETANTE /\nALVEJANTE LIQUIDO A BASE DE PEROXIDO DE HIDROGENIO, NEUTRALIZADOR DE\nRESIDUOS LIQUIDO, AMACIANTE PARA ROUPAS), em regime de COMODATO, com fornecimento\nde Dosadores e Balancas, para atender a demanda das lavanderias hospitalares da Secretaria de Saude do\nDistrito Federal, conforme especificacoes e quantitativos constantes no Anexo I do Edital", R$\n6.142.400,,"('\nPREGAO ELETRONICO POR SRP No 496/2018 - UASG 926119\nObjeto: Aquisicao de PRODUTOS PARA HIGIENIZACAO DE ENXOVAL HOSPITALAR\n(DETERGENTE CONCENTRADO LIQUIDO, ADITIVO ALCALINO LIQUIDO, DESINFETANTE /\nALVEJANTE LIQUIDO COM ACIDO PERACETICO NA SUA COMPOSICAO, DESINFETANTE /\nALVEJANTE LIQUIDO A BASE DE PEROXIDO DE HIDROGENIO, NEUTRALIZADOR DE\nRESIDUOS LIQUIDO, AMACIANTE PARA ROUPAS), em regime de COMODATO, com fornecimento\nde Dosadores e Balancas, para atender a demanda das lavanderias hospitalares da Secretaria de Saude do\nDistrito Federal, conforme especificacoes e quantitativos constantes no Anexo I do Edital. Processo SEI:\n00060-011994/2015. Total de 01 lote com 06 itens (ampla concorrencia). Valor Estimado: R$\n6.142.400,00. Cadastro das Propostas: a partir de 08/02//2019. Abertura das Propostas: 22/02/2019, as 09\nhoras, horario de Brasilia, no site www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem\nonus, no site ou com onus no endereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa\nNorte - Bloco ""A"", 1 andar, sala 83, Central de Compras da SUAG/SES, CEP 70770-200,\nB r a s i l i a / D F', '')"
2,,nPREGAO,, do procedimento\nadministrativo no 00080-00069248/2018-34, 972.157,,"(' DE LICITACAO\nPREGAO ELETRONICO - SRP No 22/2018\n(UASG 450432)\nO Pregoeiro da Secretaria de Estado de Educacao do Distrito Federal comunica aos interessados que\napos as adequacoes no Termo de Referencia efetuadas pelo setor tecnico, fica a reabertura do Pregao\nem epigrafe, referente a aquisicao de oculos prontos (armacoes e lentes), embalados em estojo de\nplastico individual com flanela de limpeza, para atendimento aos estudantes da Educacao Infantil, do\nEnsino Fundamental, do Ensino Medio e da Educacao de Jovens e Adultos - EJA, de acordo com as\nespecificacoes, quantidades estimadas e condicoes constantes no Edital e seus Anexo, estimado no\nvalor global de . R$ 972.157,18 (novecentos e setenta e dois mil cento e cinquenta e sete reais e\ndezoito centavos), marcada para as 13h 00min do dia 15 de marco de 2019, objeto do procedimento\nadministrativo no 00080-00069248/2018-34. O Edital podera ser retirado exclusivamente no endereco\neletronico www.comprasgovernamentais.gov.br, Informacoes referentes ao cadastro para participacao e\ndemais procedimentos serao obtidas atraves do endereco www.comprasgovern a m e n t a i s . g o v. b r\nBrasilia/DF, 27 de fevereiro de 2019', '')"
3,,nPREGAO,000.354," Contratacao de empresa especializada\nna PRESTACAO DE SERVICO TELEFONICO FIXO COMUTADO (STFC), destinado ao uso do publico em\ngeral na modalidade Local e Longa Distancia Nacional, com fornecimento de 02 (dois) feixe E1 (60 canais) e\nsinalizacao R2 digital, com servico de DDR - Discagem Direta a Ramal para 200 (duzentos) ramais e Instalacao\nde 28 (vinte e oito) Linhas Diretas nao Residenciais em areas urbanas e rurais dentro do DF e/ou regiao do\nentorno, com a devida portabilidade, pelo periodo de 12 (doze) meses, podendo ser prorrogado na forma da\nLei.Valor estimado: R$ 193.668,20 (cento e noventa e tres mil seiscentos e sessenta e oito reais e vinte\ncentavos)", 193.668, Menor Preco por lote,"(' DE LICITACAO\nPREGAO ELETRONICO No 04/2018\nProcesso SEI no 0072.000.354/2017. Tipo: Menor Preco por lote. Objeto: Contratacao de empresa especializada\nna PRESTACAO DE SERVICO TELEFONICO FIXO COMUTADO (STFC), destinado ao uso do publico em\ngeral na modalidade Local e Longa Distancia Nacional, com fornecimento de 02 (dois) feixe E1 (60 canais) e\nsinalizacao R2 digital, com servico de DDR - Discagem Direta a Ramal para 200 (duzentos) ramais e Instalacao\nde 28 (vinte e oito) Linhas Diretas nao Residenciais em areas urbanas e rurais dentro do DF e/ou regiao do\nentorno, com a devida portabilidade, pelo periodo de 12 (doze) meses, podendo ser prorrogado na forma da\nLei.Valor estimado: R$ 193.668,20 (cento e noventa e tres mil seiscentos e sessenta e oito reais e vinte\ncentavos). Programa de Trabalho; 20.122.6001.8517.0093. Fonte: 100. Prazo de entrega: Conforme Termo de\nReferencia. Recebimento das Propostas: ate 14/02/2019 as 14h00min no endereco eletronico\nwww.comprasnet.gov.br UASG 926241. Data da Sessao Publica: 14/02/2019 as 14h01min. Edital disponivel no\nendereco descrito acima', '')"
4,,nPREGAO,," Contratacao de empresa especializada para o fornecimento de materiais bibliograficos, durante o\nexercicio de 2019, a fim de atender a demanda da Biblioteca ""Cyro dos Anjos"" do Tribunal de Contas do\nDistrito Federal (TCDF)", 130.000,,"('\nPREGAO ELETRONICO No 01/2019\nObjeto: Contratacao de empresa especializada para o fornecimento de materiais bibliograficos, durante o\nexercicio de 2019, a fim de atender a demanda da Biblioteca ""Cyro dos Anjos"" do Tribunal de Contas do\nDistrito Federal (TCDF). Processo: 26674/2018-TCDF. Valor estimado: R$ 130.000,00; enquadramento:\nnatureza 44.90.52.18 - Equipamentos e Material Permanente; classificacao funcional e programatica\n01.122.6003.8517.0019 - Manutencao de Servicos Administrativos Gerais do TCDF; fonte de Recursos\n100. Data limite de recebimento das propostas: 14/03/2019, as 14h30min. Copia do Edital encontra-se a\ndisposicao no Servico de Licitacao, localizado no 2o Andar do Ed. Anexo do TCDF, telefone (61) 3314-\n2742 ou pelos sitios: www.tc.df.gov.br e www.comprasnet.gov.br (UASG: 974003). A Sessao Publica sera\nprocessada no sitio do ComprasNet, nos termos do Edital. Em atendimento a Lei Distrital no 5.453/2015,\nas informacoes referentes ao certame tambem estao disponiveis no sitio www.tc.df.gov.br, link: Consulta\nProcesso do TCDF', '')"
5,,nPREGAO,00060.00104534/2018-28," Aquisicao de material de ORTESES, PROTESES E MATERIAIS ESPECIAIS (OPME) PARA\nO TRAUMA - PLACA E PARAFUSOS DE PEQUENOS FRAGMENTOS E PARAFUSOS\nCANULADOS, contemplados na tabela SUS do Ministerio da Saude, para atender a demanda da\nUnidade de Traumatologia e Ortopedia da Rede SES/DF",,,"('\nPREGAO ELETRONICO POR SRP No 411/2018 - UASG 926119\nObjeto: Aquisicao de material de ORTESES, PROTESES E MATERIAIS ESPECIAIS (OPME) PARA\nO TRAUMA - PLACA E PARAFUSOS DE PEQUENOS FRAGMENTOS E PARAFUSOS\nCANULADOS, contemplados na tabela SUS do Ministerio da Saude, para atender a demanda da\nUnidade de Traumatologia e Ortopedia da Rede SES/DF. Processo SEI no: 00060.00104534/2018-28', '')"
6,,nPREGAO,00060-00336564/2018-00," Contratacao de empresa especializada no fornecimento ininterrupto de alimentacao especialmente\npreparada para pacientes, respectivos acompanhantes legalmente instituidos e servidores autorizados do\nHospital de Apoio de Brasilia",,,"('\nPREGAO ELETRONICO No 37/2019 - UASG 926119 (*)\nObjeto: Contratacao de empresa especializada no fornecimento ininterrupto de alimentacao especialmente\npreparada para pacientes, respectivos acompanhantes legalmente instituidos e servidores autorizados do\nHospital de Apoio de Brasilia. O fornecimento envolve todo o processo de preparacao e distribuicao, sendo\ncaracterizado pela aquisicao de insumos e armazenamento dos mesmos, ate a entrega ao destinatario final,\nconsiderando o fato da Unidade de Saude funcionar durante 24 horas por dia, conforme especificacoes e\nquantitativos constantes no Anexo I do Edital. Processo SEI no: 00060-00336564/2018-00. Total de 01 lote', '')"
7,,nPREGAO,00060-00336564/2018-00," Contratacao de empresa especializada no fornecimento ininterrupto de alimentacao especialmente\npreparada para pacientes, respectivos acompanhantes legalmente instituidos e servidores autorizados do\nHospital de Apoio de Brasilia",,,"('\nPREGAO ELETRONICO POR SRP No 37/2019 - UASG 926119\nObjeto: Contratacao de empresa especializada no fornecimento ininterrupto de alimentacao especialmente\npreparada para pacientes, respectivos acompanhantes legalmente instituidos e servidores autorizados do\nHospital de Apoio de Brasilia. O fornecimento envolve todo o processo de preparacao e distribuicao, sendo\ncaracterizado pela aquisicao de insumos e armazenamento dos mesmos, ate a entrega ao destinatario final,\nconsiderando o fato da Unidade de Saude funcionar durante 24 horas por dia, conforme especificacoes e\nquantitativos constantes no Anexo I do Edital. Processo SEI no: 00060-00336564/2018-00. Total de 01 lote', '')"
8,,nPREGAO,," Contratacao de empresa especializada, mediante Sistema de Registro de Precos, para\nfornecimento de impressoras multifuncionais monocromaticas (ITEM 1) e policromaticas (ITEM 2),\ncom tecnologia de impressao eletrofotografica a seco, laser ou LED, com garantia on site de 36 (trinta\ne seis) meses, incluindo suprimentos e leitor RFID, bem como para o fornecimento de software de\ngerenciamento das impressoes e copias (ITEM 3), com vistas ao atendimento de demandas internas\ndo Tribunal de Contas do Distrito Federal", R$\n867.495,,"(' DE LICITACAO\nPREGAO ELETRONICO No 12/2019\nObjeto: Contratacao de empresa especializada, mediante Sistema de Registro de Precos, para\nfornecimento de impressoras multifuncionais monocromaticas (ITEM 1) e policromaticas (ITEM 2),\ncom tecnologia de impressao eletrofotografica a seco, laser ou LED, com garantia on site de 36 (trinta\ne seis) meses, incluindo suprimentos e leitor RFID, bem como para o fornecimento de software de\ngerenciamento das impressoes e copias (ITEM 3), com vistas ao atendimento de demandas internas\ndo Tribunal de Contas do Distrito Federal. Processo: 14293/2018-TCDF. Valor estimado: R$\n867.495,16; enquadramento: natureza 44.90.52.35 - Equipamentos de impressoras (subitens 1 e 3) e\n44.90.39.24 - Software de gerenciamento de impressoes (item 3), classificacao funcional e\nprogramatica 01.126.6003.1471.0005 - Modernizacao de Sistema de Informacao do TCDF;\nenquadramento: natureza 33.90.30.17 - Suprimentos para impressao (subitens 2 e 4), classificacao\nfuncional e programatica 01.126.6003.2557.2568 - Gestao da Informacao e dos Sistemas de TI do\nTCDF; fonte de recursos: 100. Data limite de recebimento das propostas: 30/05/2019, as 14h30min', '')"
9,,Pregao,," Contratacao de empresas especializadas em transporte\nde pessoas para prestacao de servico de transporte para os alunos residentes na Regiao ""I"" Brazlandia, no\nDistrito Federal e que nao dispoem de oferta de linhas de onibus regulares e distam no minimo 2 (dois)\nquilometros da escola", 21.014.680,,"(' DO PE No 11/2018\n(UASG 450432)\nO Pregoeiro da Secretaria de Estado de Educacao do Distrito Federal comunica aos interessados, a\nreabertura do Pregao eletronico no 11/2018. Objeto: Contratacao de empresas especializadas em transporte\nde pessoas para prestacao de servico de transporte para os alunos residentes na Regiao ""I"" Brazlandia, no\nDistrito Federal e que nao dispoem de oferta de linhas de onibus regulares e distam no minimo 2 (dois)\nquilometros da escola. Alem disso, o aluno deve estar regularmente matriculado em instituicao da Rede\nPublica de Ensino do Distrito Federal, na regiao acima descrita, a fim de ser beneficiado nos itinerarios\nresidencia-escola e vice-versa, e em atividades curriculares ou extracurriculares contidas nos Projetos\nPolitico Pedagogicos das Instituicoes Educacionais; reposicoes de aulas da Secretaria de Estado de\nEducacao do Distrito Federal - SEEDF. Valor total global estimado em R$ 21.014.680,50 (vinte e um\nmilhoes quatorze mil seiscentos e oitenta reais e cinquenta centavo). Abertura do certame agendado para\nas 10h do dia 14 de maio de 2019. Objeto do procedimento administrativo SEI no 00080-00009929/2019-\n24  .  O  Edital  podera  ser  retirado  exclusivamente  no  endereco  eletronico\nhttps://www.comprasgovernamentais.gov.br, Informacoes referentes ao cadastro para participacao e demais\nprocedimentos serao obtidas atraves do endereco https://www.comprasgovernamentais.gov.br. Brasilia -\nD F', '')"
